nPsoRun,n_iter,S,fgbest,optDes
1,385,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
2,373,300,-19.512631368174784,[-1.0; 1.0; 0.6963202947436825; -0.6963202947436825]
3,75,300,-19.510836632191477,[-1.0; 0.6963022124822111; 1.0; -0.6963166152508609]
4,367,300,-19.512631368174784,[1.0; 0.6963202947436826; -0.6963202947436825; -1.0]
5,446,300,-19.512631368174784,[1.0; -0.6963202947436826; 0.6963202947436825; -1.0]
6,257,300,-19.512631367350036,[-0.6963202947403397; -0.9999999999973934; 0.6963202947361055; 1.0]
7,410,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; -1.0; 1.0]
8,92,300,-19.509434921922693,[-0.6962537055110346; -1.0; 1.0; 0.696256541230056]
9,59,300,-19.502405767323385,[0.6962522591868445; 1.0; -0.6961889466412117; -1.0]
10,386,300,-19.512631368174784,[1.0; 0.6963202947436825; -0.6963202947436825; -1.0]
11,414,300,-19.512631368174784,[1.0; 0.6963202947436826; -1.0; -0.6963202947436826]
12,453,300,-19.512631368174784,[-0.6963202947436826; -1.0; 1.0; 0.6963202947436826]
13,357,300,-19.512631368174794,[-0.6963202947436828; 0.9999999999999998; 0.6963202947436827; -1.0]
14,375,300,-19.512631368174784,[1.0; 0.6963202947436817; -0.6963202947436817; -1.0]
15,392,300,-19.512631368174784,[1.0; -1.0; 0.6963202947436826; -0.6963202947436825]
16,230,300,-19.512631316682743,[1.0; 0.6963202939631301; -0.6963202938191615; -1.0]
17,377,300,-19.512631368174784,[-0.6963202947436826; 1.0; -1.0; 0.6963202947436825]
18,486,300,-19.512631368174794,[0.6963202947436828; 1.0; -0.6963202947436827; -0.9999999999999998]
19,388,300,-19.512631368174784,[-1.0; 1.0; 0.6963202947436817; -0.6963202947436817]
20,324,300,-19.512631368174727,[0.6963202947436827; -0.6963202947436825; -1.0; 1.0]
21,201,300,-19.51262524079564,[-0.6963203024918051; 1.0; -1.0; 0.696320343691863]
22,382,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
23,377,300,-19.512631368174784,[0.6963202947436817; 1.0; -0.6963202947436817; -1.0]
24,60,300,-19.47428363763273,[-1.0; 1.0; 0.696336021230053; -0.6959902962669438]
25,372,300,-19.512631368174784,[1.0; 0.6963202947436825; -0.6963202947436826; -1.0]
26,357,300,-19.512631368174784,[0.6963202947436817; -1.0; -0.6963202947436817; 1.0]
27,351,300,-19.512631368174784,[1.0; 0.6963202947436826; -1.0; -0.6963202947436826]
28,346,300,-19.512631368174784,[0.6963202947436825; -0.6963202947436825; 1.0; -1.0]
29,383,300,-19.512631368174784,[-1.0; -0.6963202947436817; 1.0; 0.6963202947436817]
30,399,300,-19.512631368174784,[0.6963202947436826; 1.0; -1.0; -0.6963202947436825]
31,78,300,-19.51127315222651,[-0.6963077582096738; 0.6963007483826613; 1.0; -1.0]
32,361,300,-19.512631368174784,[-1.0; -0.6963202947436826; 1.0; 0.6963202947436826]
33,394,300,-19.512631368174784,[-1.0; 0.6963202947436826; 1.0; -0.6963202947436825]
34,345,300,-19.512631368174784,[-1.0; -0.6963202947436817; 1.0; 0.6963202947436817]
35,382,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
36,346,300,-19.512631368174784,[-0.6963202947436826; 1.0; 0.6963202947436825; -1.0]
37,390,300,-19.512631368174784,[0.6963202947436826; -1.0; -0.6963202947436825; 1.0]
