nPsoRun,n_iter,S,fgbest,optDes
1,142,300,1.5884868000136243,[-1.0; 1.0; -0.5554148417797798; 0.555414412368462]
2,135,300,1.5885245167980737,[1.0; -0.9999771629040702; 0.5540137746887024; -0.554002379959739]
3,122,300,1.5885498612389095,[-1.0; -0.554338278599768; 1.0; 0.5543153202787714]
4,276,300,1.5884772097058273,[-1.0; 1.0; -0.5547488631123312; 0.5547488631121648]
5,54,300,1.5884870166510785,[-0.5542473130322526; 1.0; 0.5542462330695989; -1.0]
6,60,300,1.588530937670594,[1.0; -0.5532906888101022; 0.5532920361091846; -1.0]
7,341,300,1.5884796165493151,[0.9999996186333274; -0.5546525518790252; 0.5546528847079627; -1.0]
8,149,300,1.58860824145823,[0.5562458872830889; -0.9999456600462369; -0.5562255719193944; 1.0]
9,50,300,1.588587797297513,[0.5525733113415451; -0.5525740454472972; 1.0; -1.0]
10,87,300,1.5885225502611704,[-1.0; 0.5550051990254794; -0.5549901342450888; 1.0]
11,153,300,1.5884779497351846,[0.554608255194292; 1.0; -1.0; -0.5546082564195691]
12,69,300,1.5885037766425736,[1.0; 0.5537560069128613; -0.5537550694416754; -1.0]
13,225,300,1.5884772243952072,[0.5548495100105534; -1.0; -0.5548495127452576; 1.0]
14,280,300,1.5884827521355,[0.5552817995153632; 1.0; -0.5552819477074084; -1.0]
15,55,300,1.5887635214713183,[-0.5516635632538474; 0.5516400173133096; -1.0; 1.0]
16,351,300,1.5884771607033756,[-0.5547852214432567; 0.5547852214434863; -1.0; 1.0]
17,243,300,1.5884779866523284,[0.999999840364504; -0.5548943057970076; 0.5548942140585699; -0.9999998672681736]
18,93,300,1.5885782612216395,[-0.5540356958087682; 0.5540657679463317; -1.0; 1.0]
19,260,300,1.5884778932320223,[1.0; -1.0; -0.5546275644451363; 0.5546275982365533]
20,271,300,1.5884772544151233,[-0.5548641608645664; -1.0; 0.554864160864567; 1.0]
21,292,300,1.588477419375416,[-1.0; -0.5547918222441373; 0.5547917337982413; 0.999999824877281]
22,258,300,1.5884800802847874,[1.0; 0.5546314498808561; -0.999999998277439; -0.5546306671453545]
23,76,300,1.5884891227484064,[0.5555003293167947; 1.0; -1.0; -0.5554999542898492]
24,256,300,1.5884774335102472,[-1.0; 1.0; -0.5548877560971184; 0.5548877229459923]
25,244,300,1.5884772267334812,[1.0; 0.5548516983233553; -0.5548516965187107; -0.9999999965445636]
26,400,300,1.588477274270807,[-1.0; -0.5548347573468396; 1.0; 0.5548347279652431]
27,189,300,1.5884775227183676,[0.5549250375587486; -1.0; 1.0; -0.554925040555452]
28,225,300,1.5884771742936965,[0.5547732440130292; -1.0; 1.0; -0.5547732427041874]
29,307,300,1.5884771583573787,[1.0; 0.5547907211143727; -0.5547907211122903; -1.0]
30,109,300,1.5886502344426003,[1.0; 0.5556640027459907; -0.555716631744402; -1.0]
31,148,300,1.5884816213302249,[-0.5551841136715743; -1.0; 1.0; 0.5551845117705358]
32,215,300,1.5884779155093238,[-1.0; -0.5548716167681005; 0.9999996431381393; 0.5548715113501453]
33,171,300,1.5884908222199707,[0.5540089629018223; -1.0; 1.0; -0.554008962929971]
34,54,300,1.5892745743592107,[1.0; -0.5549379444229008; -1.0; 0.5546682094888216]
35,386,300,1.588477173115834,[-1.0; 0.5548245311955756; -0.5548245311955758; 1.0]
36,57,300,1.5885522118714486,[-0.5536723768837614; -1.0; 0.5536885047939318; 1.0]
37,334,300,1.5884771572830605,[0.5547979242826934; -1.0; -0.554797924282695; 1.0]
38,295,300,1.5884771574502392,[-0.5547949281131508; 1.0; -1.0; 0.5547949281131505]
39,134,300,1.5884810506328302,[-1.0; 0.5545808483731318; -0.5545798819980151; 1.0]
40,141,300,1.588477294457832,[1.0; -0.5548485817925247; -1.0; 0.5548486089401266]
41,274,300,1.5884771573540868,[-0.5547958831972523; 0.5547958831972525; -1.0; 1.0]
42,244,300,1.5884776136961039,[1.0; -0.5549417648109574; -1.0; 0.5549417648117994]
43,156,300,1.5884779534770155,[-0.5549879720889083; 1.0; 0.5549879720964577; -1.0]
44,188,300,1.5884771607743067,[-1.0; -0.5548101336101217; 0.5548101336408713; 1.0]
45,77,300,1.5885209145294872,[-0.5562019086369681; 1.0; -1.0; 0.5562017942512837]
46,152,300,1.5884854536886501,[0.5552598949852672; -1.0; 1.0; -0.5552586734277534]
47,91,300,1.5884890851833329,[-1.0; 1.0; -0.5551680702377074; 0.5551710775575414]
48,147,300,1.5885132770507138,[1.0; -0.5556287855938041; -1.0; 0.5556216625359337]
49,66,300,1.5887187159903016,[1.0; -1.0; -0.5525090345816106; 0.5524668644207144]
50,328,300,1.5884814131139322,[0.5544637349100603; -0.5544631259410288; -1.0; 0.9999999995946741]
51,68,300,1.588564991149481,[-1.0; -0.5534720880613787; 0.5534889273857574; 1.0]
52,328,300,1.588477159151841,[0.5547884727870125; -0.5547884727870059; -1.0; 1.0]
53,278,300,1.5884773352408446,[-1.0; 0.5547095502960773; 1.0; -0.5547095478749052]
54,330,300,1.5884771592090225,[0.55478833279971; -1.0; 1.0; -0.5547883327997081]
55,107,300,1.5886208765908492,[1.0; -1.0; 0.5524060304689853; -0.5523999426356738]
56,102,300,1.5884778860324742,[1.0; -0.9999999872726197; -0.554698649530322; 0.5546988233196236]
57,155,300,1.5884776389522606,[-0.5549331058110977; -1.0; 0.5549331323446328; 1.0]
58,211,300,1.5884774889920126,[0.5548003145575658; -0.9999998413082386; -0.5548002838853056; 0.9999999998583633]
59,86,300,1.5884919240250093,[0.999999565820667; 0.5548618540645458; -0.554866818758773; -1.0]
60,378,300,1.5884779005666552,[0.5548115001591575; -0.9999997782555631; 1.0; -0.5548115506275619]
61,160,300,1.5884855921053442,[-0.5543144160956839; -1.0; 0.5543133021979239; 1.0]
62,273,300,1.5884771649959901,[-0.5548164138246774; -1.0; 1.0; 0.5548164138211484]
63,66,300,1.5885456270896587,[1.0; -1.0; 0.5535926450328393; -0.5536051414649271]
64,69,300,1.588506454957479,[-1.0; -0.5559321774165429; 0.5559325007549558; 1.0]
65,139,300,1.588477454077443,[0.5546817545265085; -1.0; -0.5546817549664108; 1.0]
66,69,300,1.5886004845611916,[-0.5551919085733398; 1.0; -1.0; 0.5552323640145166]
67,141,300,1.5884849198102222,[1.0; 0.5543885844334601; -0.5543872061387881; -1.0]
68,241,300,1.5884775061846863,[0.554672109987053; 1.0; -0.5546721092421141; -1.0]
69,280,300,1.5884772703191843,[1.0; 0.5548505453499748; -0.9999999967187769; -0.5548505278707797]
70,96,300,1.5885016448000546,[-0.5537925871481199; -1.0; 1.0; 0.5537933723362591]
