nPsoRun,n_iter,S,fgbest,optDes
1,361,300,-25.718204247698395,[-0.017000078703156857; -1.0; 0.7271662000814478; -0.7304349802476404; 1.0]
2,1506,300,-25.708610271982277,[-0.9999999832764684; 0.7250593550790776; -0.7326723539202551; 0.9999998453503157; -0.039648301454034154]
3,524,300,-25.720357434274465,[0.0006577079810166283; -1.0; 0.7288491636386112; 1.0; -0.7287226612821155]
4,565,300,-25.70323685929526,[-0.7243098036141903; 0.04787402517176798; -0.9999999955956843; 0.7334951828525593; 1.0]
5,180,300,-25.719783626405885,[0.008713473256625021; 1.0; -0.727951779018566; 0.7296278367936327; -1.0]
6,559,300,-25.72013147092267,[-0.7282542526039026; 1.0; -1.0; 0.005544587631641939; 0.7293206538817489]
7,84,300,-25.701738131610885,[1.0; -0.01608526387472619; 0.7271584937712677; -1.0; -0.7306159742365017]
8,788,300,-25.718145549100164,[-0.7271440442689201; 1.0; -0.9999999982718933; 0.7304579389921111; 0.017234995439678713]
9,521,300,-25.711689758107234,[-0.9999999998948905; 0.725571066464445; 1.0; -0.7321188838361111; -0.034085675899018335]
10,289,300,-25.717594723111496,[0.7289917969056622; 0.9999782773977156; -1.0; 0.0023401149031226035; -0.7285931881657239]
11,441,300,-25.716812445486244,[0.7309011241174876; -0.9999999999925684; 0.021757069047250895; 0.9999999882485581; -0.72671880085715]
12,141,300,-25.720163017150462,[-0.0017598840881733982; -0.7289564028512827; -1.0; 0.7286154680440987; 1.0]
13,216,300,-25.7140812617571,[0.7311465125293326; 1.0; -0.9999993009016311; -0.7264825400243425; 0.024391649590275677]
14,44,300,-25.53054749152502,[0.02145307683572871; -1.0; 0.7336027100043674; -0.7259972329370015; 1.0]
15,475,300,-25.71523004991836,[-0.7312911774101913; -0.02573587071007075; 0.7263454412081809; 1.0; -0.999998428248067]
16,152,300,-25.713725597689223,[1.0; 0.7260012152024349; -1.0; -0.7316591453289514; -0.02942783057597831]
17,134,300,-25.717579850588177,[-1.0; 0.7269995616781414; -0.7306096558550503; -0.01876487412839324; 1.0]
18,548,300,-25.718854156358844,[0.9999905725069206; 0.01065266642270715; -1.0; -0.7277635209612243; 0.7298172538050146]
19,830,300,-25.72016036667845,[-0.9999999996991441; -0.005180194870653805; -0.7292854133273109; 1.0; 0.7282890959136135]
20,595,300,-25.72035757942755,[-1.0; 1.0; 0.0006427384728009202; 0.7288477230463535; -0.7287240998954632]
21,222,300,-25.716715306112288,[0.7269491118981304; -0.019437223962865357; -0.7306696770390504; -1.0; 1.0]
22,564,300,-25.720265993497897,[0.7284438446263535; -0.003563471939055442; -1.0; 1.0; -0.7291292273316007]
23,263,300,-25.71448279160982,[-0.01112060430035906; -0.729936115842975; 0.9999997433971657; 0.7276985321238819; -0.9999976599931231]
24,406,300,-25.720152574276195,[-0.7282792530172316; 0.7292953655489666; -0.9999999998813053; 0.005283102995505889; 1.0]
25,424,300,-25.71622789014941,[-0.023525960964572674; 0.7265528632540363; 0.9999998939557997; -0.7310751593636627; -1.0]
26,453,300,-25.719532469447543,[-1.0; 0.7277780799268043; 1.0; -0.010539536127625445; -0.7298049948814085]
27,304,300,-25.71382966841802,[-0.009776980632262717; -1.0; -0.7298033181355383; 0.7278091493847262; 0.9999999754718124]
28,327,300,-25.719347966354288,[-0.729028707613493; -0.9999723376180221; 0.9999979833009478; 0.7285316608675232; -0.00260404293470019]
29,584,300,-25.71058508240345,[0.036120847542111506; 1.0; -0.9999999994327073; 0.7323212983384952; -0.7253831001755885]
30,775,300,-25.72034768620483,[-0.7289128414582133; -1.0; -0.0013191629891069919; 1.0; 0.728659116404712]
31,110,300,-25.71669803397014,[-0.7307971721653803; 1.0; 0.7268141068760492; -1.0; -0.020735362077880848]
