nPsoRun,n_iter,S,fgbest,optDes
1,342,300,0.9452312002794407,[0.6192391269738575; -0.6210266514934355; 1.0; -0.007680467663406335; -1.0]
2,275,300,0.9453305130379464,[-0.9999995575682454; -0.6183441874996058; 0.6219645695339567; 1.0; 0.015570562726650682]
3,71,300,0.945511479719212,[-0.0087892142341649; 0.6190489817341527; 1.0; -1.0; -0.6213829564682904]
4,121,300,0.9454071959177889,[-0.999913233194758; 0.9999300882568718; 0.015254645184207098; -0.618360495788359; 0.6219182056606849]
5,785,300,0.9453232882506989,[-0.015687276380141342; 0.6183339780602948; 0.9999996942771727; -0.621986527864539; -0.9999967697922238]
6,488,300,0.945207658341019,[0.6197859093589148; -0.002919615329548479; -1.0; 1.0; -0.6204654076140467]
7,315,300,0.945206571084154,[-0.000882582904196451; 0.6200214721877552; -0.6202279871557748; 1.0; -0.9999981204112787]
8,487,300,0.9452119388816893,[-0.6196370187988455; -0.999999999865496; 0.620616942451224; 0.004210467387964872; 1.0]
9,212,300,0.9452042878064097,[0.0010699750704836859; -1.0; -0.6200001134641233; 1.0; 0.6202490889850051]
10,324,300,0.9452139410518855,[0.004693782550089411; 1.0; 0.6206738021063226; -0.6195813949316449; -1.0]
11,533,300,0.945271627754081,[0.011094424481960507; 0.6214276383967703; -1.0; -0.6188467906964207; 1.0]
12,48,300,0.9485106436569322,[0.6232379692095961; 0.018086856723301674; 1.0; -0.6189607134120275; -1.0]
13,548,300,0.9452062052848031,[-0.002323204656762424; -1.0; 1.0; 0.6198548634683028; -0.6203955552508759]
14,115,300,0.9456768260548908,[-0.6194380888188097; 0.004971034212546226; 0.621090834602062; 1.0; -1.0]
15,116,300,0.9452827974390371,[0.0036783611685014543; -1.0; 0.6205148724213493; 0.9999986390747495; -0.619659121852057]
16,600,300,0.9452915637635529,[0.6185523271569561; -1.0; 0.9999999998356776; -0.6217508178433676; -0.013743517573599203]
17,426,300,0.9453827282001528,[-0.018331971296798668; 1.0; -0.6223140448077021; 0.618044798201133; -1.0]
18,920,300,0.9452047536990325,[-0.619949111265358; 0.6203004113097189; 0.0015094368792909654; -1.0; 1.0]
19,956,300,0.9452582050974783,[0.6213815513601424; 0.01066197258674494; -1.0; -0.6188994079505559; 0.9999999999131503]
20,596,300,0.9452151623788211,[0.9999999784304092; -0.6195504564921743; 0.6207054824170982; 0.004962865688161931; -0.9999999992404964]
21,286,300,0.9453456101027201,[-0.618137437690034; 0.01745298042233008; 0.6221990804956403; 1.0; -1.0]
22,482,300,0.9452348172490908,[-0.9999993300590984; -0.6210493055066325; 0.9999999858434091; -0.007860381351841004; 0.6192180871233534]
23,328,300,0.9452177822514004,[0.6197423055694444; -1.0; 0.9999994673203279; -0.6205147078674287; -0.003352423318002483]
24,246,300,0.9452124762687211,[-0.0028922684991556005; -0.6204609153750935; 0.9999999999622352; 0.6197867088848885; -0.9999999996194121]
25,490,300,0.9452630888439857,[-1.0; 0.01129317392012484; 0.999999999771519; 0.6214568536476199; -0.6188286101049177]
26,323,300,0.9453034713285737,[0.6184511400082296; 1.0; -0.014644774329124094; -0.6218593593890136; -1.0]
27,279,300,0.9452097705997956,[-0.6205438955575476; 0.6197086247478649; 1.0; -1.0; -0.0035890530847939883]
28,480,300,0.9452052965354252,[-0.9999992906209619; 0.0016043209287582366; 0.6203114860347398; 1.0; -0.6199379382789817]
29,691,300,0.9452098829830174,[0.0036479591956237838; -0.9999999999773973; 0.6205508501122389; -0.6197018411520777; 1.0]
30,575,300,0.9452042447098052,[-0.6202512219782436; -1.0; -0.001088082421072566; 1.0; 0.6199979861581078]
31,599,300,0.9452045533388778,[1.0; -1.0; 0.6199665260019742; -0.6202828727967463; -0.0013592525407359534]
32,293,300,0.9452040927276618,[-0.6202197784228797; -0.9999999997016835; 0.9999999904230881; 0.6200293135959553; -0.000818025640040474]
33,252,300,0.9455975358414083,[1.0; -0.9999999999799211; 0.6232968289682571; -0.6171932481118961; 0.026276914905283548]
34,278,300,0.9454319737837349,[0.019913263166031887; 0.99993063340427; -0.6178619465941066; -0.9999953905264154; 0.622481980855437]
