nPsoRun,n_iter,S,fgbest,optDes
1,178,300,-59.99999999999989,[-1.0; 1.0; 7.0159902515913375e-9; -1.0; 1.0; 3.6010813850518965e-8]
2,177,300,-60.00000000000002,[-1.0; -1.0; -1.779239002330333e-8; 1.7785487691250687e-8; 1.0; 1.0]
3,246,300,-60.00000000000002,[1.0; -1.0; 1.4974112991842846e-9; 1.0; 1.572950789973682e-8; -1.0]
4,190,300,-60.00000000000002,[1.0; 5.1968119083196335e-9; 1.0; -1.0; -1.0; -1.538087024159565e-8]
5,226,300,-60.00000000000002,[1.0; -1.0; -1.0; -1.8571997378937445e-8; 1.0; 1.9302745432131406e-8]
6,194,300,-60.00000000000002,[-1.0; 1.0; -1.0; 1.0; -1.6474645011418262e-8; 1.586039479472143e-8]
7,192,300,-60.00000000000002,[-1.0; -1.0; 1.0; 2.491786984523174e-8; -1.952168276793073e-8; 1.0]
8,176,300,-60.00000000000002,[-1.0; 1.0; -1.9924483230989503e-8; 1.0; 2.0382048147356736e-8; -1.0]
9,166,300,-59.999999999994714,[-1.0; -1.0; 1.0; 1.0; 1.4508657295281364e-8; -1.9841851074717144e-7]
10,220,300,-60.00000000000002,[-1.0; 1.0; -1.0; 1.0; -1.999251335084555e-8; 1.760184240183673e-8]
11,167,300,-60.0,[1.0; 1.0; -1.0; -7.352983608141166e-9; -1.0; 1.9644982249408854e-9]
12,238,300,-60.00000000000002,[1.0; -1.0; -1.8886794360724984e-8; 1.0; -1.0; 1.5120137175073918e-8]
13,154,300,-60.000000000000014,[1.5301900083091214e-8; -1.0; -1.0; 1.0; 3.808351516070314e-10; 1.0]
14,206,300,-60.00000000000002,[-1.0; 1.0; -7.063339351991819e-9; 2.3922249894492472e-8; -1.0; 1.0]
15,199,300,-60.00000000000002,[1.0; 2.2384718253472334e-8; -1.4491017814362542e-8; -1.0; -1.0; 1.0]
16,137,300,-60.0,[1.356631392534988e-9; 1.0; -2.1210012795411166e-8; -1.0; -1.0; 1.0]
17,213,300,-60.00000000000002,[-2.3293586126122035e-8; 1.0; 1.0; -1.0; -1.0; 1.753371291544102e-8]
18,180,300,-60.00000000000002,[-1.0; -1.9111577918542824e-8; 1.0; -1.0; 1.0; 1.9700905917453015e-8]
19,193,300,-60.00000000000002,[1.0; 1.0; -1.9958963269248555e-8; -1.0; 2.5342872727421406e-8; -1.0]
20,231,300,-60.00000000000002,[1.0; -1.0; -1.0; -1.7211074763725713e-8; 1.0; -6.078037010724439e-9]
21,160,300,-60.00000000000002,[1.0; -1.9010372369174793e-8; -1.0; 1.5361083575502945e-8; 1.0; -1.0]
22,193,300,-60.00000000000002,[1.0; -2.0567360338204795e-8; -1.0; 1.8726628050716988e-8; 1.0; -1.0]
23,90,300,-59.999994597778496,[0.00018325272979021964; -1.0; 0.00020004113784819226; 1.0; -1.0; 1.0]
24,208,300,-60.00000000000002,[7.806364880257984e-9; -2.335440084208769e-8; 1.0; -1.0; 1.0; -1.0]
25,185,300,-60.00000000000002,[-1.0; 2.2353828859674836e-8; -1.0713382731874617e-8; -1.0; 1.0; 1.0]
26,206,300,-60.00000000000002,[-1.0; -2.2676696336550814e-8; -1.0; 1.0; 1.2957815596609906e-8; 1.0]
27,221,300,-60.00000000000002,[-1.0; 1.0; -1.0; 1.0; -1.507427912732103e-8; 1.951577974707592e-8]
28,194,300,-60.00000000000002,[-1.0; -1.8897390071398173e-8; 1.512729050373267e-8; 1.0; 1.0; -1.0]
29,186,300,-60.000000000000014,[1.0; 5.769258650229752e-9; -1.0; -1.0; -3.2878080887907393e-9; 1.0]
30,182,300,-60.00000000000002,[1.0; 1.0; -1.0; -1.0; -1.8649237721503415e-8; 7.100299475939291e-9]
31,201,300,-59.99999999999974,[-2.0515350115642623e-8; 1.0; -1.0; -1.0; -4.2485380942739843e-8; 1.0]
32,217,300,-60.00000000000002,[1.0; -1.0; 1.0; -1.629989622759013e-8; -1.7337979375006026e-8; -1.0]
33,215,300,-60.00000000000002,[1.0; 2.053473087400337e-8; 1.0; -2.0290885056092526e-8; -1.0; -1.0]
34,203,300,-60.00000000000002,[-1.0; 1.0; -2.2543204898241873e-8; 2.3473861291694636e-8; -1.0; 1.0]
35,135,300,-59.99999999999998,[1.0; -2.8142920505034544e-9; -1.0; 1.2505035768860528e-8; 1.0; -1.0]
36,177,300,-60.00000000000002,[-1.0; 1.0; 1.0; -1.0; -1.64016282065937e-8; 1.7856932855695524e-8]
37,212,300,-60.00000000000002,[1.0; 2.17464903851711e-8; 1.0; -1.5114767210418312e-8; -1.0; -1.0]
38,164,300,-60.00000000000002,[1.0; -1.0; -1.0; 1.7529482401680496e-8; 1.0; -1.6350535769624002e-8]
39,251,300,-60.00000000000002,[1.3849069370161603e-8; 1.0; 2.0540362140059135e-8; -1.0; -1.0; 1.0]
40,75,300,-59.99999938768043,[-1.0; -1.0; 1.0; 2.7234405236761794e-5; 1.0; -6.734761134632745e-5]
41,173,300,-60.00000000000002,[-1.0; 1.0; -1.0; 1.0; -1.785313756947822e-8; 1.5380530116665394e-8]
42,263,300,-60.00000000000002,[1.0; -1.0; 1.9671370935778386e-8; 1.0; -2.201392607555699e-8; -1.0]
43,205,300,-60.000000000000014,[1.0; -1.0; 1.0; -1.0; -1.6969427608348617e-8; 2.028200719573835e-8]
44,134,300,-59.99999999967571,[1.1511236714870049e-6; -1.0; -1.0; 1.0; 1.0; -1.5499043115912996e-6]
45,160,300,-60.0,[1.0; -1.6417764614352023e-8; -1.0; 1.0; -1.0; -1.3175426598035113e-8]
46,191,300,-60.00000000000002,[1.0; -1.0; -1.0; -2.102038612845515e-8; 1.0; 8.99415047417095e-9]
47,188,300,-60.00000000000002,[8.094285658131962e-9; 2.27440381754627e-8; -1.0; 1.0; -1.0; 1.0]
48,231,300,-60.00000000000002,[2.3448057467036094e-8; 1.0; -1.0; -2.2588228356955113e-8; -1.0; 1.0]
49,208,300,-60.00000000000002,[1.0; 2.0234986156628073e-8; -1.0; 1.0; -1.0; -1.643123342992328e-8]
50,209,300,-60.0,[-1.0; 2.1005572582813174e-10; 1.0; -2.4008020210922565e-8; 1.0; -1.0]
51,172,300,-60.00000000000002,[1.0; 1.918566948624172e-8; 1.0; -1.0; -1.0; -1.5358482698609815e-8]
52,185,300,-60.00000000000002,[1.0; -1.0; -1.0; 1.0; -1.914508188142068e-8; 1.5716147786251706e-8]
53,227,300,-60.00000000000002,[1.0; -1.0; 1.0; -2.108821705390449e-8; -1.9192207678040303e-8; -1.0]
54,151,300,-59.99999999999999,[-1.0; 7.329248385997492e-9; 1.612293765352597e-8; 1.0; 1.0; -1.0]
55,167,300,-60.000000000000014,[-1.0; -2.130658437080992e-8; -1.0; 2.504002196307592e-8; 1.0; 1.0]
56,237,300,-60.00000000000002,[1.857106302691847e-8; 1.0; -1.0; 1.0; -2.3983639246224264e-8; -1.0]
57,182,300,-60.00000000000002,[1.3129022989588915e-8; 1.0; -1.9987748745413398e-8; 1.0; -1.0; -1.0]
58,37,300,-59.99939465848312,[-1.0; 1.0; 1.0; 0.0021175511718801096; -1.0; -5.224023552829332e-5]
59,159,300,-60.00000000000002,[2.1789226051406572e-8; -1.0; -1.985100675162803e-8; -1.0; 1.0; 1.0]
60,159,300,-60.00000000000002,[2.1939004224122516e-8; -1.0; 1.0; -1.0; -2.1166451691275537e-8; 1.0]
61,205,300,-60.00000000000002,[1.0; -1.0; 1.0; -9.978310715801985e-9; -1.0; 1.9738323751191197e-8]
62,194,300,-60.00000000000002,[2.1461163202993502e-8; 1.0; -1.0; -1.7653668974728455e-8; -1.0; 1.0]
63,216,300,-60.00000000000002,[1.0; -1.388288567024983e-8; -2.0398301051209466e-8; -1.0; -1.0; 1.0]
64,216,300,-60.00000000000002,[-1.0; 1.0; -2.038985950481273e-8; 1.0; -1.0; 1.8260406654852292e-8]
65,212,300,-60.00000000000002,[-1.0; 1.167677129275641e-8; 1.0; -1.897652625524193e-8; 1.0; -1.0]
66,211,300,-60.00000000000002,[2.313019514414766e-8; -7.012374641011486e-9; 1.0; -1.0; 1.0; -1.0]
67,161,300,-60.00000000000002,[-2.0391253083114775e-8; 1.0; 1.6994106419216505e-8; 1.0; -1.0; -1.0]
68,208,300,-60.00000000000002,[1.0; 2.3163439758507133e-8; -2.1915893555858094e-8; -1.0; -1.0; 1.0]
69,176,300,-60.00000000000002,[2.162409990287671e-8; -1.0; -1.0; 1.0; -1.784860464232529e-8; 1.0]
70,195,300,-60.00000000000002,[1.0; -1.0; -1.9106213319063326e-8; 2.5154481072325482e-8; -1.0; 1.0]
71,234,300,-60.00000000000002,[1.0; -1.0; 1.0; -1.0; -1.834114273134017e-8; 1.6113320428175204e-8]
72,178,300,-60.00000000000002,[-1.0; 2.0016110187404895e-8; 1.0; -1.0; 1.0; -1.6770192676438515e-8]
73,209,300,-60.00000000000002,[-1.0; -1.0; 2.4468687716421782e-8; 1.0; 1.0; 1.6562736295097106e-8]
74,211,300,-60.00000000000002,[1.8871144896836387e-8; -1.0; 1.0; -1.75131643819136e-8; 1.0; -1.0]
75,251,300,-60.00000000000002,[-1.0; -1.8428661207752943e-8; -1.0; 1.0; 2.078908838084458e-8; 1.0]
76,172,300,-60.000000000000014,[-2.1563433236172782e-8; 1.0; 1.0; -1.0; 6.605520316618433e-9; -1.0]
77,207,300,-60.00000000000002,[-1.0; -9.594900380378699e-9; -1.0; 1.0; 1.0; -8.257240339767123e-9]
78,189,300,-60.00000000000002,[-1.0; -1.0; -1.713701007857836e-8; 1.0; 1.0; 1.0594535602094505e-8]
79,150,300,-60.0,[-1.0; 2.162202513451965e-9; -1.0; 1.0; 1.0; -2.026175046486246e-8]
80,218,300,-60.00000000000002,[-2.308155281619782e-8; 1.2800083614207117e-8; -1.0; -1.0; 1.0; 1.0]
81,216,300,-60.00000000000002,[-1.0; -1.0; -2.2494587953578827e-8; 1.0; 1.0; -4.23784326282957e-9]
82,246,300,-60.00000000000002,[-1.8350951406954962e-8; -1.0; 1.0; 1.0; 1.7915960483194412e-8; -1.0]
83,204,300,-60.00000000000002,[-1.0; -2.0819400365689175e-8; 1.0; 1.494456407032216e-8; 1.0; -1.0]
84,162,300,-60.00000000000002,[1.0; -2.31147925979674e-8; 1.9776476315402787e-8; -1.0; -1.0; 1.0]
85,224,300,-60.00000000000002,[-2.328492529068996e-8; 2.0222899199873954e-8; -1.0; 1.0; 1.0; -1.0]
86,184,300,-60.00000000000002,[-1.0; 1.0; -1.9356289261437603e-8; -1.0; 2.3699512018059626e-8; 1.0]
87,210,300,-60.00000000000002,[-1.0; 1.0; 1.8977611359951394e-8; -1.0; -1.614555095500354e-8; 1.0]
88,178,300,-60.00000000000002,[1.0; 1.0; -1.0; 1.509881149358838e-8; -1.0; -1.7185906312383933e-8]
89,229,300,-60.00000000000002,[-1.0; -5.523884919412333e-9; 1.0; 1.0; -1.0; 1.7700644678111254e-8]
90,162,300,-59.99999999999978,[-6.131738721615711e-9; 1.0; 1.0; -1.0; 3.427016141481184e-8; -1.0]
91,202,300,-60.00000000000002,[-1.0; 1.0; -1.0; 2.2366476105664723e-8; -2.1464252308503277e-8; 1.0]
92,194,300,-60.00000000000002,[-1.4970017602160748e-8; -1.0; 2.1695469241569727e-8; 1.0; -1.0; 1.0]
93,220,300,-60.00000000000002,[1.0; -1.0; 1.0; -1.0; 1.2783533560520235e-8; -1.5360278127047384e-8]
94,199,300,-60.00000000000002,[-1.0; 1.9654630203155698e-8; 1.0; -1.795452364655115e-8; -1.0; 1.0]
95,180,300,-60.00000000000002,[-2.222388498893057e-8; -1.8169158187163993e-8; 1.0; -1.0; 1.0; -1.0]
96,208,300,-60.00000000000002,[-1.0; -2.0077094403822734e-8; 1.0; 1.0; 2.0874785342888633e-8; -1.0]
97,185,300,-60.00000000000002,[-1.5432760309188125e-8; -1.0; 2.3449193616361708e-8; -1.0; 1.0; 1.0]
98,199,300,-60.00000000000002,[-1.0; -8.756940222366732e-9; 1.0; 1.886199768930983e-8; -1.0; 1.0]
99,272,300,-60.0,[6.711653652413157e-9; 1.0; -1.0; -1.0; 2.041629739794498e-8; 1.0]
100,186,300,-60.00000000000002,[1.0; -1.0; -1.0; 1.911660979006959e-8; 1.0; -1.5384422467728843e-8]
101,223,300,-60.00000000000002,[1.0; -1.0; 1.0; -1.0; 1.76851036986945e-8; -1.0826898160842768e-8]
102,205,300,-60.00000000000002,[-1.0; -1.0; -1.917136012277487e-8; 1.0; 1.0; 1.6074274656391838e-8]
103,186,300,-60.00000000000002,[-2.0512247400553597e-8; 1.0; -1.0; 1.0; 1.9273813613869173e-8; -1.0]
104,111,300,-59.999999999999275,[-7.353645273455735e-8; -6.009872858810266e-8; -1.0; 1.0; 1.0; -1.0]
105,202,300,-60.000000000000014,[1.0; -2.553799142613805e-9; -1.0; -1.0; 1.0; -8.758358010085813e-9]
106,195,300,-60.00000000000002,[1.0; -1.0; 1.984298507072926e-8; -1.0; -2.3098349467103904e-8; 1.0]
107,255,300,-60.00000000000002,[1.0; -1.0; 1.0; -1.0; 2.0576083798138846e-8; -1.694793616418915e-8]
108,221,300,-60.00000000000002,[1.9828838142604568e-8; 1.0; -1.0; -1.0; 1.0; -1.787102392754225e-8]
109,142,300,-59.99999999995122,[-1.0; 1.0; 5.730381768577486e-8; 1.0; -1.0; 6.013848647592668e-7]
110,63,300,-59.999995422857666,[-1.0; 0.00018413244993226163; 1.0; -1.0; -0.0001342098996394061; 1.0]
111,206,300,-60.00000000000002,[-1.0; 1.0; -2.4303454814033237e-8; 2.1688968596128904e-8; 1.0; -1.0]
112,189,300,-60.00000000000002,[1.0; 1.0; -1.0; -2.2815342964835172e-8; 2.5497893614644366e-8; -1.0]
113,170,300,-60.00000000000002,[2.2503737347357862e-8; -1.5974312220736754e-8; -1.0; -1.0; 1.0; 1.0]
114,178,300,-60.00000000000002,[-1.0; 1.0; -1.0; -2.062629011849649e-8; 1.0; 1.324996696595401e-8]
