nPsoRun,n_iter,S,fgbest,optDes
1,358,300,0.5794087163760715,[1.0; -0.0002110213298651988; -0.999999997347789; 0.00021373319393169608; 0.7799355566607712; -0.7799353008120424]
2,1200,300,0.5794120387983575,[-0.0021734064719074963; -0.999999999999719; 0.9999999999997611; -0.0021734060884417; -0.7801310047613684; 0.7797391035689165]
3,484,300,0.5794090145329183,[-0.00043761613235530997; -0.7799867309492606; 0.9999999902725064; -0.0007029756568197916; -0.9999999968433199; 0.7798838984693509]
4,652,300,0.5794094453489633,[0.7798423258623512; 1.0; -0.7800283814572075; -0.0010310264661793941; -0.0010326678068527505; -0.9999999999684431]
5,476,300,0.5794088044098444,[1.0; -0.7799114472355652; 0.00045149599321834996; -0.9999999999666312; 0.7799592950349471; 7.921974884330976e-5]
6,507,300,0.5794089774448028,[-0.7799867274806368; 0.7798840287227694; 0.999999983231685; -1.0; -0.0004886070554787474; -0.0006507242220773038]
7,268,300,0.5794091120751177,[-0.9999994538712443; 0.9999999250107237; -0.7799276979509864; 0.779942582767428; 0.0006610182451307505; -0.0004973017750976197]
8,305,300,0.5794088021600405,[-0.7799239131184244; 0.7799468010626123; 0.00041232057936626453; -0.9999999003732175; -0.0001586646016030527; 1.0]
9,449,300,0.5794092321230211,[-1.0; 0.7798565493152338; -0.0008726235942193674; -0.7800142096520236; 1.0; -0.0008760853868941541]
10,741,300,0.5794132282929543,[0.9999999992548767; -0.9999999998984683; -0.7801629940696075; 0.7797068373787845; -0.002529744456053902; -0.0025297244733918597]
11,314,300,0.5794090950634203,[0.7799512166911845; 0.9999995996191173; -0.7799191771196495; -0.9999999871360479; -0.0003805488511193094; 0.0007354706171966067]
12,301,300,0.5794090863194385,[-0.00021222341536609906; 1.0; 0.7798884072879837; -0.0008260963443454622; -1.0; -0.7799820166102794]
13,484,300,0.5794088439727757,[-0.779943297200758; -0.0004792522767991304; 0.7799274527179024; -0.9999999870461922; 0.00030277021615495646; 0.9999999688882221]
14,179,300,0.5794107225374981,[-0.7800036163211769; 1.0; 0.7798695202615864; -1.0; -0.0013377834147298945; -0.00010294224991187633]
15,59,300,0.5820932008053143,[-0.7784823247919473; -0.05447969565902641; 0.043240049278226625; -1.0; 0.7821510344881624; 1.0]
16,669,300,0.5794089717633466,[-0.7799017285028245; -1.0; 3.4334991516240226e-5; 0.7799687734357512; 0.000709323017429175; 0.9999999996203789]
17,400,300,0.5794089169308527,[0.0004716638823762058; -1.6973027802684873e-5; -1.0; 0.9999994967679146; -0.7799148405367832; 0.7799557428126815]
