nPsoRun,n_iter,S,fgbest,optDes
1,227,300,0.4000000000000011,[-5.944396662746022e-8; 1.0; 1.0; -1.0; 4.049888613701145e-8; -1.5042005783742157e-8; -1.0]
2,170,300,0.4000000000000025,[1.0; -1.0; 1.3949809494632666e-8; -3.6535294584120283e-8; -6.379425155430003e-8; -1.0; 0.9999999999999677]
3,273,300,0.3999999999999999,[-1.962766942084043e-8; 1.0; 7.204412318278786e-9; -1.0; 1.0; -1.0; -1.5671464084212367e-8]
4,172,300,0.4000000000000005,[-1.0; -9.889917546257673e-10; 1.0; -3.5795044196889677e-8; -2.1721989173386037e-8; -1.0; 1.0]
5,188,300,0.4000000000000005,[1.0; -2.7189409698667656e-8; -1.0; 1.0; 3.936058688443989e-8; 1.940223845960031e-8; -1.0]
6,175,300,0.40000000000000013,[-1.5508477151493132e-8; 1.0; -1.0; -1.0; -6.8827521227964805e-9; 1.0; 3.433564857541192e-8]
7,208,300,0.400000000000039,[-1.5169524955373285e-7; -1.0; -0.9999999999987133; 1.0; 1.0; 5.636442067149998e-8; 9.252066855952519e-8]
8,172,300,0.40000000000000235,[-1.0; 1.0; -1.3270465571113889e-8; -1.0; 1.0; -3.421371505517785e-8; -8.665784490505102e-8]
9,171,300,0.3999999999999999,[2.0946996166379606e-9; -1.0; 1.0; 1.0; -1.0; -1.0347303765425234e-9; 1.3815559398856735e-8]
10,158,300,0.4000000000000059,[6.740739044047143e-9; -1.343005470621655e-7; 5.564237898309856e-8; 0.9999999999999986; -1.0; -1.0; 0.9999999999999514]
11,191,300,0.4000000000000004,[-1.0; -2.468045653746142e-8; -3.110656776320192e-8; 1.0; 5.490281603021382e-9; -0.999999999999997; 1.0]
12,157,300,0.4000000000000138,[1.0; 5.757969237182797e-8; 6.608577137226213e-8; -1.0; -2.33895818182492e-7; -1.0; 1.0]
13,175,300,0.400000000000283,[-1.0; -3.2768464282768114e-7; 1.0; 8.263160573812637e-7; -1.0; -8.052467150214252e-7; 1.0]
14,241,300,0.40000000000000246,[-1.0; -9.293550102708246e-8; -2.4677218624560485e-8; 1.0; 4.7802903187207106e-8; -1.0; 1.0]
15,178,300,0.4000000000000004,[-1.0; 1.0; 1.0; 3.5935589098623543e-10; -1.0; -3.018586872388395e-8; 3.418210042442105e-8]
16,204,300,0.4000000000000014,[-7.500391832288538e-8; -1.0; 1.0; -1.0; 1.948045431756459e-8; -5.990979549868491e-9; 1.0]
17,190,300,0.4000000000000006,[1.0; -1.0; 0.9999999999999998; -4.8725461521023776e-8; 2.2038798529502528e-8; -1.0; 8.457975905943848e-9]
18,171,300,0.3999999999999999,[1.0; 2.255018301356033e-8; -1.0; -1.4817639285708291e-8; -1.0; -3.6232583301022076e-9; 1.0]
19,242,300,0.4000000000000118,[5.4177186286173796e-8; 1.9942211208978952e-7; 1.0; -1.0; -1.0; -3.7326420829833905e-8; 1.0]
20,238,300,0.4000000000000006,[-1.0; -1.0; 1.0; 0.9999999999999999; -2.569254243321094e-8; 4.174060766257313e-8; -1.2506715999744563e-8]
21,162,300,0.4000000000000002,[-6.3739308669826235e-9; -1.0; 1.0796721500326883e-8; 1.0; 1.0; -0.9999999999999968; 2.2440136784585322e-10]
22,202,300,0.40000000000000013,[2.902954981351397e-9; 1.0; 3.2059240617719496e-8; -1.0; -1.0; 1.8727173305269984e-9; 1.0]
23,184,300,0.40000000000000013,[-1.0; -2.1241491413837136e-8; -1.2614709500288086e-8; -8.587135237488768e-9; 1.0; 1.0; -1.0]
24,185,300,0.4000000000000041,[-1.0; 0.9999999999999963; -1.1062955623682444e-7; 1.8310774331016974e-8; 8.274534418795835e-8; -1.0; 1.0]
25,204,300,0.4000000000000006,[-1.943383047550445e-8; -9.702380617649727e-9; -1.0; 1.0; 1.0; -2.9524213097233104e-8; -1.0]
26,155,300,0.4000000000000005,[3.133950090421625e-8; 2.3281353430856297e-8; 1.0; -1.0; 1.0; -1.65827383918716e-8; -1.0]
27,183,300,0.40000000000000047,[3.68273867695192e-8; -1.0; -2.048773632242589e-8; 1.0; 1.357013098491533e-9; 1.0; -1.0]
