nPsoRun,n_iter,S,fgbest,optDes
1,651,300,-59.000953563315065,[-0.0010347216487602464; 0.9999999917047708; -0.7321540435316531; 0.7319465667589129; -0.0007161844713518468; 0.9999999999926102; -0.9999999897682663; -0.9999999999981549]
2,1126,300,-59.00098761689282,[1.0; 0.7321448705385633; -0.9999999999929066; 0.9999999999995326; -0.7319560354127673; -0.9999999999887738; 0.0007793699691591355; 0.0008189491499081932]
3,513,300,-59.00080879430961,[0.9999999999982738; -0.002288933781624767; -1.0; 0.7317775930355253; -1.0; -0.002289367263980783; 1.0; -0.7323185025498669]
4,924,300,-59.00097699128361,[0.9999997880763737; 0.7320485068937432; 0.0007643063386386998; -1.0; -0.732052404581052; 0.9999999817256541; -0.999999999862452; -0.0008012010219655297]
5,471,300,-59.00093846852444,[0.9999999999496615; -1.0; -0.0009045270101163562; 0.9999999997620342; -0.7320290705398537; 0.0012593901496477746; 0.7320705382254824; -0.9999997995194437]
6,380,300,-59.00099406735204,[0.7320110027470116; -0.732090036935484; -0.9999999998084; 0.9999999858663147; 0.9999999999274684; -0.0007139736536487695; -1.0; 4.471561622599737e-5]
7,98,300,-58.86717806092564,[-1.0; 1.0; -1.0; 1.0; 0.054457873266404146; -0.7264431263258729; 0.7341368895725787; 0.01450762114851256]
8,1613,300,-59.00015981952999,[-0.00467281321722472; 1.0; -0.9999999999999998; 0.9999999999999999; 0.7314872306890619; -0.9999999999999992; -0.004672813217157463; -0.7325913914741471]
9,466,300,-58.99961211526891,[-0.005954396396630805; -0.7327333807038561; -0.005916519238830832; 1.0; 0.7313309953861702; 0.9999999928589252; -1.0; -0.9999999069255708]
10,470,300,-59.0009825365775,[1.0; 0.7320534129641892; 0.00013673227639927316; -0.9999995152660351; -0.732048417865197; -8.649902080943284e-5; 1.0; -0.9999996547991472]
11,1044,300,-59.0010087857772,[-1.0; -1.0; -0.0003140384843690177; 0.732054771571381; 0.00038265671625865974; -0.7320466646037255; 0.9999999999994887; 1.0]
12,592,300,-59.000564945902994,[-0.003309616724690527; -0.7324401318089152; -1.0; 0.7316494101881313; 0.9999999801745527; 0.9999999854915559; -0.003383378134949908; -0.9999999999966545]
13,258,300,-59.00061390459068,[1.0; 0.0014029601544823008; -0.9999999760415789; -1.0; 0.003211610308707475; 0.7323175901909879; -0.731772598877913; 1.0]
