nPsoRun,n_iter,S,fgbest,optDes
1,231,300,-75.00000000000003,[-1.0; 1.0; -1.0; 1.0; -1.1194109120743957e-8; 1.1428564252423591e-8; -1.0; 1.0; 3.4680953178425114e-9]
2,235,300,-75.00000000000001,[-1.0; -7.034619676044356e-10; 1.0; -1.0; -1.0; -1.2919254597015775e-8; 1.6915030813664067e-9; 1.0; 1.0]
3,238,300,-75.00000000000001,[1.0; -7.928323238740707e-9; -1.0; -1.0; 9.876829463732835e-9; 8.212481668224271e-9; -1.0; 1.0; 1.0]
4,286,300,-75.00000000000003,[-1.0; -1.4249224293770906e-8; 1.8093458114169846e-8; 1.119374342368497e-8; 1.0; 1.0; -1.0; 1.0; -1.0]
5,281,300,-75.00000000000003,[-1.9976462437028374e-9; 8.331127536003494e-10; 1.0; 1.0; 1.4791445357401148e-8; 1.0; -1.0; -1.0; -1.0]
6,222,300,-75.00000000000001,[1.0; 8.221182409135485e-9; 1.2654685930738707e-8; 4.358008133927467e-9; 1.0; 1.0; -1.0; -1.0; -1.0]
7,248,300,-75.00000000000003,[1.0; 1.4661086815571851e-8; 1.0729965005154794e-8; 1.0; -1.0; -1.7077912418798627e-8; -1.0; 1.0; -1.0]
8,367,300,-75.00000000000001,[1.0; 1.0; -1.0; -1.0; 1.0; -1.0; 8.254448309086372e-9; -1.946381550463773e-8; -7.78699783762185e-9]
9,235,300,-75.00000000000001,[1.3319523589449323e-8; -1.0; -1.0; -1.7427501384317177e-8; 1.0; 1.0; 1.2985375138336695e-8; -1.0; 1.0]
10,282,300,-75.00000000000001,[1.0; -1.0; -6.676225227592056e-9; -1.0; -0.9999999999999999; 9.056481449872833e-9; 1.0; 1.803782634001443e-8; 1.0]
11,261,300,-75.00000000000001,[1.0703737892815209e-9; -1.0; -1.0; 1.3653822894604087e-8; 1.0; 1.0; -1.0; 1.0; -1.7658905453373305e-8]
12,272,300,-75.00000000000001,[-1.0; 1.0; -6.455411570779252e-9; -1.0; -2.3072617032649813e-8; -1.0; 1.2152806431510627e-8; 1.0; 0.9999999999999999]
