nPsoRun,n_iter,S,fgbest,optDes
1,2588,300,-32.21160240773065,[0.9999999997770938 0.9999999999963859; -0.999999999785633 0.997029351465607; -0.45430922350384734 0.9999999952786949; 0.24669205024679192 -0.0011795721650139405; -0.5146470383163442 -0.9999999990948887; 0.9674609586202577 -0.6453833294678499; 0.9999999994489243 -0.9999999999875819; 0.9995608849335064 0.6093097784218627; -0.9999999999303666 -0.9999999738147487; -0.9999999962897427 0.08859111591678454]
2,10000,300,-32.321276869043466,[-0.9999999999999998 -1.0; -0.999999520248628 1.0; 0.9999999999985151 0.3812065859958816; 0.2280211652450605 0.9958821606998566; -0.6458818919425222 -0.9860698170116869; 1.0 -1.0; 0.9999999999999993 1.0; 0.6222041019762363 -0.9788828324130051; -0.01841554011332336 -0.2542950153445563; -0.9998780562657575 0.5502207342701987]
3,570,300,-32.44331311833135,[0.999998241944567 -0.9999954374592814; 0.18424494181260936 -0.061068590262928074; -0.9999796663769623 -0.9999109396090284; -0.2998267245357646 0.9969169325910071; -0.5912369071054715 -0.9836526690752768; 0.9628706463256153 0.6249214964291387; 0.999992554030085 0.9999940735753838; -0.9999915650573703 0.999770504285214; -0.9860782830485817 0.34452731045135937; 0.9999336793285631 -0.6570450032618543]
4,3884,300,-32.150513075633704,[0.9999999992076914 -0.9999999999999925; 0.6945693449405418 0.9999999665654483; -0.5529520153346461 0.9999893876659542; -0.5410979450990678 -0.9999997589132322; 0.9999463415222872 -0.6167796322395068; -0.999999988856135 -0.9687052315569074; -0.9203013419061504 -0.006034805301007807; -0.9999999981676688 0.9999999951285046; 0.2784364880597053 0.02445159343139803; 0.9999999965356664 0.9999999995981689]
5,8421,300,-32.51034485730852,[-0.5829154484455773 -0.9999999999610547; 0.9999999999999998 -0.9999999999999991; -0.9999999999999962 0.3822321086220025; -0.21978438516003931 0.9999623319415551; 0.9527676473035166 -0.690660127391882; 0.1521137879815693 -0.12396358531102107; -0.9999999999999996 -0.9999999999999983; 0.9967739852049905 0.5766121410506873; -0.9999999999999988 1.0; 0.9999999999999944 0.9999999999999983]
6,2158,300,-32.57367700868067,[0.08374453223378958 -0.14703397752243483; 0.9957038031147536 0.2740416873865699; -0.9719148850463141 0.5940397765605161; 1.0 -0.9999993505768804; -0.9999999798774775 0.9999999999999826; -0.6930088779707714 -0.9378335120055528; -0.9999999491364031 -0.9999820277776841; 0.9999633734943186 0.9999423179970157; 0.3794296333634845 0.9999997393158782; 0.6040128216391357 -0.9999999999697863]
7,3590,300,-32.259276236834346,[0.9967124049301627 0.5485639064826352; -0.9842755636495258 0.9999999999999991; -1.0 0.44655872671364666; -0.5937606427515109 -0.9990144902640642; -0.12015017633168618 0.9966559424014594; 0.9999324202643401 0.9999999999999991; -0.9999999999999992 -0.9999999999999769; 0.9999999999999795 -0.9999999999999989; 0.04850582901280466 -0.12076474341878726; 0.942281866284513 -0.697907887982728]
8,6778,300,-32.2246693399787,[-0.049528539723145415 0.9998839994003365; -0.9999999999999999 -0.9999999999999687; 0.6660175476719224 -0.927502653992745; 0.9999999999999983 -0.9999999999998987; 0.0021628136082517367 -0.09148781125012684; 0.9848594043866925 0.9999999999999998; 0.9999999999999707 0.5147006108263396; -0.9999999999999993 0.4816329076315677; -0.6046553749696393 -0.9999444370798815; -0.9999999585703184 0.9999999999999992]
9,10000,300,-32.40554017432156,[-0.08486760680891867 -0.2257253278728275; 0.9999999999999306 -1.0; -0.9999999063130249 -0.6727455175977701; -0.9999999999994575 -0.9999999999999821; 0.999999999918285 0.41450531970574817; -0.9999999999999789 0.9999999999980773; 0.6038363889901066 -0.9906157763346138; -0.9530119074588735 0.604307365331884; 0.9952979688932251 0.9999999999997932; 0.1929136833034257 0.9860939985129584]
10,3749,300,-32.158721962397685,[-0.9999999999999994 0.4820204204649304; -0.9999999999999996 -0.9910473088620558; 0.026947077333862538 -0.10887917776745702; 0.9824191838801081 -0.6876413457306435; 0.9999999999999982 -0.9999999999999992; -0.6240012451510338 -0.963309241374506; -0.9609995959466894 0.9999999999999998; -0.1387884312685891 0.9476761914032137; 0.9945397674753881 0.5779766369852873; 0.9999840979535405 1.0]
