nPsoRun,n_iter,S,fgbest,optDes
1,762,300,0.5125758965806877,[0.9999999997643833 0.9999998480581432; -0.9999979550811119 -0.9999991015866012; 0.0643278588792664 0.9999999197452584; -0.06432021995134242 -1.0; -0.9999983425397122 0.06522953255137927; -0.0024287162619399077 0.015009335258514998; -0.9999999119037207 1.0; 0.001612145734459506 -0.005834914278389363; 0.9999999998193209 -0.999999328335725; 1.0 -0.06341098968695211]
2,2018,300,0.5127419738753745,[1.0 0.9999999999999809; -0.9999999996359882 0.9999999982252612; 0.017043322186953366 -0.011838492595488454; 0.09028947423512992 -0.999999994337678; -0.9999999451317334 -1.0; -0.999999961754532 -0.09008076785320555; -0.0036263576261775744 -0.0031851350433282034; -0.08732561464117021 0.999999995548688; 0.9999999315894645 -0.9999999019593862; 1.0 0.08751243008596515]
3,948,300,0.5125112165648472,[-0.9999999396087699 -0.04199827329740609; 0.9999965206592257 -0.9999999324658669; 0.9999999598481529 0.042223365421251935; 0.02129911357847293 0.01179677642789538; 0.04215990526183784 -0.9999996502848291; 0.9999986935661449 0.9999998824699059; -0.04225014095164721 0.9999993118313694; -0.9999999970948192 -0.9999999547495956; -0.9999987771142334 0.999999807079814; -0.021677963704320024 -0.010638418377129472]
4,898,300,0.514092504537218,[-0.9999893448590338 0.9999997303665243; 0.999999905141971 0.17969167883895965; 0.9999998059486567 -0.9999907879734925; -0.9999976614525822 -0.9999953643103318; -0.004404163959739166 -0.018680310012484918; 0.007565009747928345 0.019156711959511116; 0.9999917593436743 1.0; 0.17985829988504135 -1.0; -0.1793335096397772 0.9999985870888403; -0.9999960582105564 -0.1794738631797845]
5,2053,300,0.512520439810958,[0.9999999999974778 0.999999999999165; -0.00020467904706338908 -0.010428296330492812; -1.0 1.0; -0.9999999999999993 0.05161651773144815; 0.052287086638465645 1.0; 0.9999999999927432 -0.9999999999992464; -0.9999999999987319 -0.9999999999975857; 0.007571795064101683 0.011479689255037976; -0.050815206848171056 -0.9999999999997341; 0.9999999999986495 -0.05151905204143256]
6,1220,300,0.5125358678931187,[-0.0513823554301217 1.0; 0.0483981778103389 -0.9999999999974509; -0.9999999996593792 -0.999999999855043; -0.0037642598520413427 -0.0019890449902255198; -0.999999999918732 0.9999999999708958; -0.9999999999643769 -0.05168167781688673; 1.0 0.048144945939894414; 0.9999999992758067 -1.0; 0.9999999986988719 0.9999999992326811; -0.012535513370589314 -0.01469392746547245]
7,1736,300,0.5138882875544053,[-0.999999999997125 0.9999999999156263; 0.9999999999995456 0.17092132488106154; -0.9999999999426 -1.0; 0.011435263151176737 -0.012309969664551147; -0.17161100275060784 0.9999999996920762; -0.9999999999768772 -0.17171039221868323; 0.17092730996990702 -0.9999999999627255; -0.016107510784589912 0.008955824797216936; 0.9999999998046929 0.9999999996831945; 0.9999999997241805 -0.9999999988780428]
8,1057,300,0.5135382587569594,[-0.015589517209538722 0.003462160623990279; -0.9999998745363968 -0.99999994350234; 0.15240603175906678 0.9999999544763968; 0.002139837398660642 0.01584835008828502; -0.15408711114852136 -0.999999982765531; -1.0 0.15530204909345974; -0.9999997831944794 0.9999999629677081; 0.9999999842230757 0.9999999225068364; 0.9999998674610482 -0.9999999968818151; 0.9999999955526396 -0.15128688824784176]
9,816,300,0.5149499237239878,[0.9999999904786832 -0.20760566158022647; 0.9999845524840133 -0.9999955321618437; -0.99999919134124 -0.9999992753203084; -0.004864542084306986 0.014371261612256282; -0.9999993053434147 0.20971003029538995; -0.9999580199714175 0.9999999457661317; 0.20946960731722924 0.9999999940894438; 0.009441008809333788 -0.0006333862629922177; 0.9999997492404832 0.9999942877836301; -0.2079845274995208 -0.9999999490863425]
10,852,300,0.5145079940723882,[0.9999997460455943 0.1957903633646404; 0.999998314533513 1.0; 0.196008703147235 -0.9999974002763604; -0.9999979111065949 -0.19452628877270492; 0.014232999275931626 0.0073430741968095615; -0.0034837848614548933 -0.0027425572646011995; -0.19436736575536093 0.9999928376744033; -1.0 -0.9999849422267425; 0.9999992145620223 -0.999999893340422; -0.99999943720759 0.99997656844239]
11,811,300,0.5133840029679035,[-0.9999993420481504 0.1459549923647625; 0.004125427262122772 0.009346793159289787; -0.9999780369839477 0.9999918180483856; 0.9999984175214983 -0.1456738503910554; 0.9999961950579872 0.9999994290331414; 0.9999970683918505 -1.0; 0.1457074006867001 1.0; -0.14585795496754897 -0.9999987255182655; -0.9999998852695974 -0.9999989446445174; -0.005374178034857245 -0.007918766828503215]
12,827,300,0.5125116392868259,[0.04936991425212408 -1.0; 0.0026495675092529174 -0.01163558394870479; -0.04912364615956344 0.9999996471323658; -0.9999862743262238 0.9999982196885613; 0.9999996704164986 0.048439691697621225; -0.9999980704003918 -0.050070149924940695; -0.001983165294031582 0.0033498737491683603; -0.9999957920275694 -0.9999999060973741; 0.9999994757150854 -0.999996780124648; 0.9999940062010916 0.9999966505713209]
13,1497,300,0.5124784257059878,[-0.037385061505183746 -1.0; -0.9999999999999987 -0.9999999999999004; 0.999999999997726 -1.0; 0.0077952733956620415 0.005975453298495238; -0.00911778184682154 0.007115338862927035; 0.037264738336800864 0.9999999999995318; -0.9999999999999977 0.038633031398259944; 0.9999999999999989 0.9999999999990786; -0.9999999999996297 0.9999999999999981; 1.0 -0.03601555396511278]
14,879,300,0.5124671622082553,[-0.9999998387470467 -0.03484481779277588; 0.9999987950824675 -0.9999999235243581; 0.9999998324857972 0.034420056893000595; -0.03501188812615374 0.9999999974086506; 0.002827988120388269 -0.006207186890515392; -0.9999863619496534 -0.999996528209744; -0.007119597571265036 0.004182797813508773; -0.9999837141444265 0.9999966678974482; 0.034206313907370105 -0.9999999736341008; 0.999999988772562 0.9999999961964364]
15,1615,300,0.5130706809039589,[-0.003774967814676279 -0.009810294985879316; 0.9999999999738297 0.12409218662492894; 0.9999999998633288 -0.9999999998009705; 0.12426720282874242 -1.0; -1.0 -0.1227942413100257; -0.999999999965483 -0.9999999968538996; 0.01321903705288172 0.015093351085953841; -0.12267494925774967 0.9999999998535289; -0.9999999999553696 0.9999999998642592; 0.9999999999886663 0.9999999999803765]
16,1183,300,0.5161551428992908,[-1.0 0.9999887065178462; 0.9999972133977432 -0.999995763312969; 0.00910794908566524 0.010254308383745293; 0.9999999959429317 0.9999999987849183; -0.0010266288253300301 -0.012033222674421083; -0.99999461911266 -0.999988656232584; 0.23967358536186514 -0.9999989459830456; -0.2383038344431227 0.9999962420711493; 0.99999986850566 0.2390404682496117; -1.0 -0.23891295712484895]
17,2331,300,0.512924701156377,[0.0008282483730868186 0.006988937945975137; 0.9999999999931971 -0.9999999999901448; -1.0 -0.10835283461197233; -0.013742094192993751 0.010050416352117876; 0.9999999999997427 0.11119982473919787; -0.11128028863101178 0.9999999999981075; 0.10832044918312372 -0.9999999999824042; -0.9999999999999023 -0.9999999999925804; 0.9999999999998914 0.9999999999988022; -0.9999999999992258 0.9999999999816427]
18,804,300,0.5152486858068458,[0.2188383348915427 -0.9999999149567914; -1.0 -0.21741003767937137; 1.0 0.21759676782991622; 0.010183579902526274 -0.0031659034360970286; -0.2161818939446823 0.9999999844740635; 0.004994866667851908 -0.00012979418837586815; 0.9999998001626377 -0.9999999981799237; 0.9999999644791729 0.9999999983856098; -0.9999998402410314 1.0; -0.9999998740555145 -0.9999976887909978]
19,1404,300,0.5124793731468648,[-0.9999999976930807 -0.02629901093194557; -0.028331467189261945 0.9999999993134093; 0.026239529697307962 -0.9999999822851369; -0.9999999983461166 -0.9999999931895127; -0.9999999436791196 0.9999999905329968; 0.9999999935362545 0.02809987830025648; 0.9999998142863558 -0.9999996642349612; -0.02465129687708279 -0.005209454434972304; 0.9999999255811017 0.9999999932039985; 0.014542241878634248 0.014629525520621477]
20,557,300,0.5136902943357857,[-0.9999970594619673 -0.15939154121570584; 0.9999987320570439 -0.9999988078385043; 0.9999999628520931 0.16291577010062464; 0.16149275273083738 -0.9999997249107322; -0.9999953621479524 -0.9999994721332371; 0.9999944396237124 0.9999970656329225; -0.999999724433503 0.9999993977322486; -0.16069552272328957 0.99999987597059; -0.000998476383801856 0.024688166390591685; 0.009471292310328621 -0.006899438765291301]
21,1636,300,0.5124226418645791,[0.9999999107728862 0.9999997920075708; 0.003027360152166995 0.0005614848028967269; 0.999999985515299 -1.0; -0.9999999870877483 0.002095631290352833; -0.999999983501846 0.9999999401551325; 0.004787789412996665 0.003500353352126434; -0.0009115200655504142 -0.9999999852190833; 0.0024775512394661554 0.9999999638614576; 0.9999999992394252 -0.0012866813081016926; -0.9999999453780214 -0.9999999663508291]
22,1196,300,0.5124717445394622,[-0.009763440853205109 -0.01296324211483736; 0.01643907626204879 0.006614973676830689; -0.9999995769165974 -0.9999999202387357; 0.999999880827853 0.9999999705038112; -0.9999999949661829 -0.0325835654498732; 0.9999999638072832 -0.9999998054600514; 0.03273077951290951 -0.9999999999929835; -0.031341265862245386 0.9999999530668329; 0.999999999205153 0.0313820687278985; -0.9999999773715282 0.9999999650433519]
23,1635,300,0.5126571031207405,[0.9999999999998456 -0.9999999999987238; -0.9999999999985486 -0.07688958058065408; -0.007731443495661417 -0.0030891723341300885; 0.0215820808449167 -0.008943579648371622; 0.999999999996655 0.07484258694116168; 0.9999999999401553 0.9999999999983575; -0.9999999999982184 1.0; -0.07439749940906643 0.9999999999976151; -0.9999999999964025 -0.9999999999932598; 0.07735534020532166 -0.9999999999994524]
