nPsoRun,n_iter,S,fgbest,optDes
1,4994,300,-42.28193854604807,[0.9999999999986318 -0.8436110199726815; 0.5715372565242324 0.9999999999996453; -0.9999999999988893 0.7799123251833652; 0.9999999999954076 0.9879845616941358; -0.9999999999987581 -0.8087366490407752; -0.810357658084018 -0.9999999999998629; 0.999999999999453 0.5275588648040664; 0.7778767463424903 -0.9999999999999233; -0.12148965116705893 0.5072559742652444; 0.5107495462152385 -0.15928998970118233; -0.8423740367262413 0.9999999998484799]
2,4127,300,-41.750536232960556,[0.7712307354247891 -0.9999999999999999; -0.8430790113559571 1.0; -0.9999999999999999 0.9616767574521928; -0.6705021063009661 -0.0336349659387351; 1.0 0.6104647364213566; -0.9999999999999999 -0.8207099955767267; 0.38870540645186646 0.9999999999999993; -0.7731936235815179 -0.9999999999999997; 0.9999999999999857 -0.8196896426424778; 0.015982979075351962 0.4636776906453862; 0.9962908721923744 1.0]
3,8779,300,-40.05496355043386,[-0.7843478433792955 0.9999999999999996; 0.5614168222057716 1.0; -1.0 -0.7418682369202786; -0.9486335060300707 -0.9999999999999999; -0.04478678360884221 -0.7570622723509413; 0.30500342258785856 -0.02614332939170324; 0.9999999999999801 -0.9999999999999957; -0.9999999999943159 0.7479181721772312; 1.0 -0.8151091827769849; 0.9999999746805376 0.36110539466259917; 1.0 0.9999561854476178]
4,2655,300,-41.12541547168923,[0.9999999999999998 -0.6271264239018577; 0.0580392760910569 0.32838638321057073; -0.7952171719769604 -1.0; -0.9999999999999991 0.8333354200907809; 0.18211391058144874 -0.9999724426217541; 0.7725582175731078 1.0; 0.9999999999999998 0.7999660453861546; -0.9999999999999998 -0.9999999999999958; -0.7937864479897844 0.9999999999999996; 0.9003390715473351 -0.9999999999999992; -0.7020879238335666 -0.038387351709377245]
5,4320,300,-39.424989799097254,[-0.9999999979365009 -0.7250737213613724; 0.9999999444959096 -0.8167803176593186; 0.2833148549242673 -0.1885737164043362; 0.9999986617163396 0.22285442564220956; -0.9996425614440211 -0.9999999691821048; -0.9999999172987738 0.7398563530391824; -0.7689170889818483 0.9999996901642043; 0.9999998626307419 0.9835309535071427; 0.9999999639783478 -0.9999998692101889; -0.07330561971381097 -0.8068291505971804; 0.5998898781322142 0.9999999975122021]
6,3589,300,-38.78142438384931,[-0.9999999999999999 -0.5761578787931356; -0.04419652947384318 0.03304398369183926; 0.9999999999999819 -0.9838527289902314; -0.22847327137130152 -0.9985799632784755; -0.9999999999999998 0.9724598038347517; 0.8331725935174388 0.03768643960714367; -0.7418813205351913 0.9999999999999996; 0.7123937480130231 0.9999999999999601; 0.7552717436552917 -0.9999999999999992; -0.9999959027711535 -0.9999999999999976; 0.9999999999999893 0.9993444758662854]
7,3459,300,-38.84798229295609,[0.7529473806370774 1.0; 0.8190930496994322 -0.052536551522711715; 1.0 -0.999999999999996; -0.015599322210183841 0.2810977424418631; -1.0 0.9755362213876536; -0.742070650107776 0.9999999999999991; -0.9981435428127161 -1.0; 0.9999999999999983 0.9983175938439124; -0.9999999999999997 -0.4627981803986191; -0.3944462122122599 -0.9820249027033285; 0.7372175369605769 -0.9999999999999999]
8,2497,300,-39.946101915239346,[0.9999999999999998 -0.5511104214692615; 0.2537957828646509 -1.0; -0.7689635595851279 -0.9999999999999993; -0.7543432287554391 -0.121957084504965; -0.9980413301177413 0.9999999999999989; -0.9999999999999853 0.818001970952762; 0.9684664591294089 -0.9999999999999956; 0.7577146461598807 0.9999999999999997; 0.9999999999999998 0.7942978387089742; -0.033269262793151747 0.49580101435726415; -0.9999999999999994 -0.9932074835763532]
9,6841,300,-41.19875208691252,[0.30325876710889443 -0.12270573089843013; 0.8368592771795399 0.9999999999999994; 0.8042591129292922 -1.0; 0.9999999999999993 -0.7894903248735655; -0.9999999999999994 -0.8949457538731254; -0.03650786816436769 0.7005921136319907; -0.9999999999999999 0.795043729718237; -0.7699910426487864 0.9999999999999999; 0.9999999999999997 0.7775934363558484; -0.6944326333145086 -0.9999999999999997; -0.8917291970630653 -0.11288291532262462]
10,10000,300,-42.47167146831234,[-0.3176961576987485 0.9999999999999996; -0.09663072207091358 0.5226232181768495; -0.7846458315073597 -1.0; 1.0 0.8245443066342198; 0.9999999999999777 -0.8330120812878179; 0.7720227277330068 -0.9999999999999999; -0.9999999999999994 0.99999999999995; -0.9999999999999997 -0.8185895874247041; -0.9999999999999911 0.6673771757589844; 0.6400073580018225 -0.059987886711752855; 0.8517515803587791 1.0]
11,2422,300,-38.754074912162615,[0.999243411576949 1.0; 0.049801188278815724 -0.027132007434380302; -0.5723869347527759 0.9999999999999958; 0.06770616132678055 -0.8441684994619869; 0.9999219844912279 -0.9999999999999998; 0.9999999999999983 -0.7109596088131183; 0.9999999999990705 0.7446270206358858; -0.952508856318854 -0.9999999999999997; -0.9999999999999984 -0.7568769937357375; -0.9999999999999997 0.9974678446702071; -0.9585104943772998 0.27006631333299314]
12,3725,300,-39.004130247774434,[0.9861290209572703 1.0; 0.3190327332258579 0.9997373734756543; 0.7387942537081215 -0.9999999999999488; -0.815053157375359 0.02443214590067808; 0.0217305751179081 0.1264729181678798; -0.7288677498510019 -0.9999999999999983; -0.9999999999999989 0.9999999482067834; -0.9999999999999999 -0.9999999891520801; 0.9999999999999998 -0.9878130823645968; -0.7656283958121411 0.9999999999999994; 1.0 0.5456746813054794]
13,4883,300,-41.65261887303692,[-0.9999999999999984 0.784623312872495; 0.9999999999999984 -0.8201304403187613; -0.8050121692980834 0.9999645492514688; 0.9523343519184014 0.10239918140008424; -0.02199086747613444 -0.7254004918679812; 0.0991913183942035 0.03293388884285652; 0.7033638206937336 0.9999999999999991; -0.832158236456075 -0.9999999999999997; -0.9999999999999998 -0.7701668955147439; 0.9999686964756306 -0.9999999999999886; 1.0 0.8748512926385289]
14,10000,300,-41.115914831954576,[0.8231451171084 0.9999999999999675; -0.9999999534140144 0.9999974936344201; 0.9999999999999415 0.7644425312359702; 1.0 -0.8002713028255295; -0.9999999999997283 0.4996619122246149; 0.017101703506662184 0.23087974011324355; -0.28780453142057744 -0.24163258860299724; 0.7964091520450596 -0.999999999999313; -0.9999999999991059 -0.8260338169197153; -0.7716619653342945 -1.0; -0.47894846189470097 0.9999999999998326]
15,2945,300,-40.31414538067131,[-0.999961216496573 -0.9999999999999999; -0.1402102402910788 -0.8499935885327687; -0.7827963536900409 0.9999999999999996; -0.9999999999999988 -0.6927271858003753; 0.7020438527686447 0.9999999999999994; 1.0 0.9985956693473407; -0.05209128963760641 0.006818935558072883; 0.9999999999999997 -0.7857321900178109; 0.7801853675696693 -0.9999999999999997; 0.844076597908145 0.0759994978380818; -0.9999999999999999 0.7832138713690198]
16,2905,300,-40.10857406026757,[-0.9999999989303405 -0.7658236894795203; 0.9999999850233983 0.5362902145601592; -0.9999998660861502 0.7313027180145557; 0.9999999999961734 -0.9999999987801079; -0.9999999581208593 -1.0; 0.34095528820662946 -0.010209409957146932; -0.015354798432446052 -0.7245482457707165; 1.0 -0.8186933721043554; 0.3921670932147961 0.9999999999994938; -0.8446700407400551 1.0; 0.9999999473184638 0.9999999998608058]
17,2880,300,-41.67615671170124,[-0.9999999999999997 0.717260357300901; -0.7841430554802162 -0.9999999999999993; 0.757070771834028 -0.9999999999999997; 0.9999999999999998 0.775676050819105; 0.8422985794683925 0.9999999999999997; -0.004276006232483727 0.9750221974097731; -1.0 -0.8098508439516428; 0.6849093878543302 -0.09007595648738576; -0.09001891394750457 0.3350296436813112; 0.9999999999999997 -0.9997354342083962; -0.8635955805541149 0.9999999999999981]
