nPsoRun,n_iter,S,fgbest,optDes
1,2959,300,-49.952864750613216,[-0.34842315570578714 0.9999999999999998; 0.9999999999999999 -0.9623048909004162; -0.9202617281370166 -1.0; 0.17683692583455218 0.9999999999999999; 0.4190888125071491 -0.1194381407943753; -0.9999999999999999 0.7300956823289413; 0.943564702202697 -0.9999999999995041; 1.0 0.9998905080483684; 1.0 0.8843302289538197; 0.39267447980751224 -0.06305792352808456; -0.9999999999999999 0.7300956823289408; -0.9999999999999966 -0.999998760808114]
2,4942,300,-46.181420764366855,[0.7175032373468498 -0.055516320458346875; -0.1796212488211863 0.9999999999999997; -0.9999999999999974 0.7561901994826152; -0.9999999999999999 -0.55041026994356; 0.9999999999999977 0.8946352661978838; 0.9984018298583233 0.9999999999999979; 0.12792406340620088 0.3340390539545597; -0.8495073718577173 1.0; -0.4833152533169183 -1.0; 0.9999999999999991 -1.0; -0.9841618092392027 -0.999999999999999; 0.861828381827718 -0.9999537844667844]
3,2382,300,-47.46433193107634,[0.007887746681728699 -0.1968837836581346; -0.8829770677354258 -0.9999999717209631; 0.9999999314293982 -0.999999972116302; -1.0 -0.8273475347773023; -0.017884019420694577 0.9999998952070291; -0.9601728370516879 0.9999997552479661; 0.9999999471228699 -0.8526528140994396; -0.9999999973460366 0.7975842159369332; 0.024422636538130798 -0.9999987889276406; 1.0 0.8414184704457063; 0.8650217545434695 0.9999999493537949; 0.6176991384351966 0.037935927911853747]
4,5030,300,-47.969110553124985,[-0.8695667757397265 -0.9999999999999992; -0.07885096273620627 0.21147559348055478; -0.7948134342446705 0.999999999999999; 0.8215135162613755 -1.0; 0.9999785198030186 -0.8801265565404485; -0.10399533199980412 -0.545038238042849; 0.9999999999999998 0.889848897571263; -0.9999999999999993 0.16888156618408315; -0.9999999999999997 -0.8810780296403921; 0.8408197936475402 0.9999999999999999; 0.9999999999999999 -0.09034148982198065; -1.0 0.9164358852231307]
5,3940,300,-47.77381627371782,[-0.9999999999999957 -0.8905502789154804; 0.8676185290242381 -0.9999999999999989; -0.04329203313258147 0.010607642086647218; 0.9995210878070961 0.9009257938227477; 0.9999999999999594 -0.8869716067010578; -0.9999999999999831 0.212225559456988; -0.8830635318179971 -0.9999999999999984; 0.7796824014365419 0.9999999999999997; 0.005211147032945128 -0.6081328275361298; 0.9999999999999967 0.1341124824761404; -0.759220497890298 0.9999999999999983; -0.9999999999999982 0.9232004762352907]
6,5042,300,-44.524835356311854,[-0.9986459019967717 0.9999999999999923; -0.012322957457567835 0.4186802713939915; -0.6630901431275822 -0.9999999999999194; 0.9999999999998795 -0.9876936333778075; -1.0 -0.8891841483427065; 0.9999999999998728 0.9065831296119431; -0.024640685256647653 0.9978273438561268; -0.999999999999993 -0.2893159281542571; 0.7618594669132988 -0.06809768554049514; 0.803246522075377 -0.9999999999999637; 0.9308201254725046 0.9999999999999969; -0.9999999999724781 0.9999999999983419]
7,9567,300,-49.54326057668244,[-0.3700926310076554 -0.17627162038566907; -1.0 -0.9509806822876059; 0.09273268905749674 -0.09316545676111612; 0.9999999999999993 -0.950627164186102; 0.9999999999999956 0.7398459858574333; 0.9201316482369827 -0.9999999999999999; -0.2395380662043938 0.9999999999999993; 0.3408391944127411 0.9999999999999999; -0.9256661336664528 -0.9999999999999997; -0.9999990749903406 0.8958242206234692; -0.9999999999999999 0.8097847365223665; 0.9999999999999979 0.7398459858574311]
8,6390,300,-44.954091463244545,[0.5655777348272352 -0.999999999999999; 0.02352721583742633 -0.05633108200923089; 0.9999999999999999 -0.5135107246517921; 0.949258565597966 -1.0; -0.9973496323438961 0.9999999999997895; -1.0 0.1703715251113733; -0.7695812488773278 0.9999999999999998; -0.9999999999997842 -0.9525591075786125; -0.8467477254261911 -0.9999999999999994; -0.4632069394550759 -0.2342184257663082; 0.9999999999999999 0.8627018136115943; 0.855261737218395 0.999999999999997]
9,6873,300,-49.32757838445649,[-0.9999999999998702 0.669319498772158; -0.9999999999998301 -1.0; 0.0853842871457513 -0.1733939356945878; 0.9999998062016741 0.9999686786882659; 0.22304287955245 1.0; 1.0 -0.9524813038405456; -0.999999999999969 0.6693194987720157; -0.4289120217657429 0.9999999999999987; 0.46550614562665926 -0.14044167692873188; 0.9326478762222727 -0.9999871286318895; -0.9089445253348748 -0.9999999999999043; 0.9999999999999996 0.8240088207018278]
10,1855,300,-47.05474314106163,[-0.6705443469004564 0.01007920483043608; -0.9999999999440093 0.9999999909833767; -0.9999999999995514 0.9999999996269564; 0.9068728677354972 -0.9718572965747821; 0.9999999990577472 -0.904790332239373; -0.670545035461248 0.010068984239387936; -0.89433402935091 -0.9999999999938477; -0.888811419417954 -0.9999999980712829; 0.9999999999017444 0.8295169714608026; -0.024315140150195525 0.9970474835718305; -0.030301856290429887 0.993731206675915; 0.9999999975126469 0.9984874693639956]
