nPsoRun,n_iter,S,fgbest,optDes
1,2283,300,0.4044908830840783,[0.999999887907069 -0.9999999996167981; 0.017744596165990594 -0.030136978654767332; 0.4461777250444181 0.9999999552270482; 0.9999999933923872 0.9999999786723397; 0.28685426743916975 -0.9999999673855547; -0.40944793058447115 0.9999999734443319; 0.015559889924585929 -0.03997925121225657; -1.0 -0.5129550907172069; 0.9999999970597447 -0.12335317120189376; -0.8492377211337337 0.2172591968300948; -0.9999999889162046 1.0; -0.9999995118975517 -0.9999999999609944]
2,649,300,0.39545635385228717,[-0.055847701527680885 -0.03143512499479887; -0.04503637854298462 -0.0359938170726665; 0.4661450212463722 -0.9999961405884562; 0.9999998753567463 0.9999393418135927; 0.9999994106587498 0.19111894854398198; -0.9999963278023 -0.578476117724177; -0.9999999546391634 1.0; 0.24198384538513845 0.9999999999999971; -0.9999989705730417 0.5022524265755713; -0.04118868700712841 -0.021908152006010862; 0.99999075666572 -0.9043316880291238; -0.9719930873232137 -0.9999961360227742]
3,931,300,0.39520516812581563,[-0.510911765692904 -0.9999995937351122; 0.5978542236430666 -0.9999999797893623; 0.007908316143884037 -0.03147201509179792; -0.22501506460385137 0.9999998820323439; 0.008870589375626434 -0.034632936240246014; 0.9999993731255351 -0.8619264874138165; -0.005019899330014668 -0.03266995338716967; -0.999997836195414 0.9999999889260874; 0.9322689456084483 0.9999979159056012; -0.9999989356771064 0.24107797887254792; -0.9999999428788059 -0.977605276412341; 0.9999999651484991 0.49346062896236165]
4,1260,300,0.4004038072968315,[0.42833378794711746 -0.9921432056651891; 0.9999999178367288 -0.9999808542032579; 0.3248184980255629 0.9999973786100571; -0.422433756928275 0.874785545311912; -0.9999902943236935 0.08522995645366686; -0.9999997846409082 1.0; -0.42749343744494767 -0.9950308769916072; 0.024616533828030675 -0.04638351572583745; -0.9999935326227362 -0.9999700170974017; 0.9999978367116045 0.9999982841194153; 0.9999874316902813 0.08878926364625306; 0.02326400426928425 -0.04495561363991264]
5,3058,300,0.39621139437383635,[0.9999993663767047 -0.9999998833666629; -1.0 -0.9687508722080188; -0.9999999927369071 0.9404298219758044; 0.9999999992917171 0.5128894843990017; -1.0 0.06678065530736622; -0.3136980596239829 0.9999999809465737; 1.0 0.9999999968788749; 0.04573197019747204 -0.019952373722207418; 1.0 -0.54859245630941; -0.4026056189143632 -0.99999999974855; 0.05151645244671908 -0.03471848671162797; 0.045906654517675 -0.008137560288655298]
6,1422,300,0.4005185990291163,[0.40928512301100023 -1.0; -1.0 0.9999999990291525; 0.025551336256744356 -0.01921959233770245; -1.0 0.12862246904105534; 0.9999999999281902 -1.0; 0.9999999946071834 0.9999999965143914; 0.9999999859119623 0.06799179675210561; -0.2983847199324504 0.9999744010639917; -0.999999985239345 -1.0; 0.33643603885244594 0.9955048325174094; -0.5680646521314989 -0.8369828007875277; 0.03164649703636028 -0.013877221478423721]
7,1725,300,0.4002287490543509,[-0.997531941648816 0.35503711825154516; 0.013634115756485076 -0.01134928641191493; 0.9999991696083296 -0.9999999414780469; -0.9999995526507973 0.9999999949861895; 0.9120345405240929 0.46783179873503716; 0.007868426939922912 -0.018218392957005967; 0.9820067280644436 -0.4169971730040774; 0.9999997693111861 1.0; -0.9800501039209845 -0.36178417963163606; -0.9999998275201488 -0.9999999678940812; -0.04007448723775957 0.9999999925689375; -0.04892515896519419 -0.9999999988527785]
8,2735,300,0.39599725714095413,[0.016153996498824603 -0.03412213090496793; -0.47737778852625645 -0.9999986320199834; -1.0 -0.9999408733839826; 0.9999973009498621 -0.944714131141458; -0.999999991600689 0.20599868846433475; 0.5739416856108582 -0.9999836227335731; 0.03361776216265016 -0.03304404930589571; -0.21343329459493982 0.9999995057284623; -1.0 1.0; 0.021221865264941082 -0.03776897994099868; 0.9544104679632259 0.9999988867331723; 0.9999991520225024 0.46710929671046386]
9,975,300,0.3947314402720247,[-0.007577279295401149 0.051589066795271143; 0.017076163470896237 0.050648925664321644; 0.9999992620224677 0.9148919333648295; -0.9999999155103441 0.9999858062667494; -0.543231545802639 0.9999997180847408; 0.9999998918214854 -0.47619020862400396; 0.5933078231102961 0.9999999816307055; 0.01895604488483864 0.05581838609490074; -1.0 -0.9999990584963363; -0.1681698288234539 -0.9999998720231571; 0.8601007872108055 -0.9999999914352083; -0.9999997598072674 -0.30277010235324214]
10,2221,300,0.39629221819792604,[0.0012914188048057302 -0.057539512923225976; 0.04699067905300214 -0.02734089905382067; 0.5583862607036223 -0.9999743574934407; -0.9999999991932927 0.23197353383790092; 0.9999991875656132 0.4412937017000229; 1.0 -0.999999900121564; -0.9999992661897145 -0.9999957336727145; -0.16987375345020625 0.9999999998509226; 0.9363155323870276 0.9999732682082652; 0.04964439637947991 -0.04210300026035011; -0.999995438954977 0.9999966842650988; -0.4810459360701999 -0.9999952780172465]
11,2614,300,0.4000834331812667,[-0.9036023358497142 -0.41720879234613356; -0.061926542497951306 -0.9999999706666273; 0.025191818615942992 0.006956120587623765; 0.9999999985009156 1.0; 0.022966919539121108 0.012495419516152266; 0.9754245545913095 0.40656077069092544; -0.021081724509527 0.9999996848870697; -0.9999999992016148 -1.0; -1.0 0.36373629737008656; -0.9999999539687461 0.9999999984359645; 0.9999832889472684 -0.4107635639609701; 0.999999998465988 -0.9999999963929782]
12,1501,300,0.40001009982312563,[1.0 0.017776004040550263; 0.9999999985937024 0.9999998317307016; -0.3828971388860533 0.9999999999999996; 0.3832215225144331 -0.9999807391629895; 0.999999997825007 -0.9999987640679895; 0.003129541676398056 -0.001254162460398249; -0.9999999985425044 -0.9999999986529158; -0.41289305743685845 -0.9393374073690537; -0.9999999940327989 -0.0166544064785539; -0.005641419198322577 -0.007635248873042166; -0.9999999255040785 0.9999992530571191; 0.3957147664442158 0.9551631221444191]
