nPsoRun,n_iter,S,fgbest,optDes
1,2316,300,-10.153264740317535,[0.9999999999999999 0.11152799577669144; -0.9999999999999994 0.9999999999999996; 0.9627174381987229 -0.9999999999999993; 0.2993788542241579 -0.47368058165541127; -0.9999999999999996 -0.9999999999999999; 0.4231080825243851 0.9999999999999997; -0.9999999999999998 -0.23705663012431633]
2,2064,300,-10.134573356195787,[0.19834439600585885 0.9999999999999986; -0.09183868093596888 -0.9999999999999986; 0.9999999999999997 -0.923307168485328; 0.430060906282825 -0.32362370181139716; 0.999999999999999 1.0; -0.9999999999999993 -0.47182256213341767; -0.9999999999999999 0.9999999999999998]
3,4059,300,-9.978780316409736,[0.9744015003083789 0.9887854990193534; 0.9985871060712501 -0.9999999999973187; -0.9999999994531678 -0.9999999999999754; -0.9999981571659587 0.14374972862020893; -0.18972343726769694 -0.6183385454832133; 0.999999999999999 -0.347621494824571; -0.27950372855194705 0.9999999999922143]
4,493,300,-10.203940243975639,[0.9999946601810742 0.36022541256386625; 0.10923285995033458 0.9999284337111353; 0.9997701937095443 -0.9999997719355762; -1.0 -0.9999352341280833; -0.2820290412657576 -0.9999979335139305; -0.5234295528274994 0.24826994131916283; -0.9999994524787534 0.9999695785063105]
5,2730,300,-10.148487878716814,[-1.0 -0.44532627907890643; -0.09277238800435063 -0.9999999999999998; 0.9999999999999998 -0.9415481066872355; -0.9999999999999998 0.9999999999999978; 0.21697143173645783 1.0; 0.4494507133067892 -0.30354433650128587; 0.9999999999999999 0.9999999999999993]
6,292,300,-9.87243440531165,[-0.9684977804172348 -0.9896705494907123; 0.6636244484300955 0.1560847786248012; -0.15626083689801049 0.9983000561867352; 1.0 0.999974881979103; -0.999974710066898 0.2483124724807648; 0.9999991353091569 -0.9999999976167622; 0.37725777315205133 -0.9999708575710458]
7,1911,300,-10.181267352303307,[-0.5011887252036442 -0.2743029997000926; -0.9999999999999998 0.9999999999999992; 0.9999999999999971 0.9999999999999991; -0.999999999999998 -0.9851404624970375; 0.11369104121851148 -0.9999999999999984; 0.9999999999999999 -0.3887172479143263; -0.26224886628016175 0.9999999999999998]
8,5021,300,-10.204746128697034,[-0.9999879335490013 -0.999999999999999; -0.9999999999999994 -0.2817206341117032; -0.9999999994670109 0.999999999999953; 0.9999999999999993 0.10949651270538807; 0.3607468699790812 0.9999999999999996; 1.0 -0.9999999999999994; 0.24893355621128116 -0.5228447249491894]
9,2933,300,-10.206577147883033,[-0.9999999999999909 -0.10421222087747548; 0.9999948977735535 0.9999999999929537; -0.2418926893810299 0.5240964390085401; 0.9999999999322573 0.2830769386236842; 0.9999995500036076 -0.9999999998843109; -1.0 0.9999999999993041; -0.3572054088140071 -0.999999999988488]
10,952,300,-10.200810961070635,[-0.2849247326202883 -0.9999999953355467; -1.0 0.9999999976549826; 0.9999934261562186 -0.9978693199028876; 0.10651752982207735 0.9999999961798458; -1.0 -0.999551322457419; -0.5271091304035184 0.24200478346230492; 0.9999999797222257 0.35504066209543983]
11,7429,300,-9.3599967243363,[-0.9999999999999538 0.9985126016933504; -0.11530877171984331 -1.0; 0.09749346261892153 0.9999999999956728; 0.999999999999995 0.6935701691623949; -0.9873751897281215 -0.4749366337703351; 0.164951141959491 -0.15848322725621114; 0.950958630443804 -0.6123088268249387]
12,7411,300,-9.944837604633284,[0.3462434147338908 0.38105311824017735; 0.14211990037744374 -0.9999999999999996; -0.9708059667773214 0.5564262897278154; -0.08284582877684184 0.9999999999999999; 0.9999999999999998 0.8747739965114234; 1.0 -0.9999999999999972; -1.0 -0.9999999997754722]
13,1026,300,-10.051411033563442,[0.35434665210914684 -0.39471430059038276; -0.9974156567131799 -0.16486456502876157; 0.5246403435786442 0.9973291334516685; -1.0 0.999999996325737; 0.999999933133859 0.0902292724954027; 0.892415735241883 -0.999999994555577; -1.0 -0.9999999821957126]
14,2126,300,-10.011476819961471,[0.5506166381137318 0.9973922552628458; 0.362532640191727 -0.38796227556029056; 0.9999999999998813 0.0926256087459847; 0.8624087390163321 -0.9999999978770184; -0.9999999980109017 -0.9999999998567481; -0.999999999578737 0.9999999999157545; -0.9998226307888513 -0.1472531458682798]
15,793,300,-10.177570790063797,[0.3881652945992369 -1.0; -0.9999999970538913 0.26875916887488555; 0.99999999999835 -0.13969996922773686; 0.2926070280549683 0.5094901116695157; -1.0 1.0; 0.9956976181500545 0.9999999929275745; -1.0 -0.9999999893245015]
16,2821,300,-10.18712517766461,[-0.9999999999999993 -0.9846146213793757; 0.9999999999999994 0.999999999999995; 0.9999999999999999 -0.3826110402142149; -0.9999999999999999 0.9999999999999918; 0.1024820532608884 -0.999999999999998; -0.26401764088792284 0.9999999999999987; -0.5022092223603246 -0.2610209726323536]
17,840,300,-10.029422873802485,[-0.8840801049994996 0.9999707973538788; 1.0 0.17497755993186068; -0.5002734448783345 -0.9899607107351331; 0.9995084500131497 -0.9998977333339021; -0.9999782033193974 -0.08948314599164708; -0.3354022153301742 0.39632538585527677; 0.9789256757589522 0.9999200476614916]
18,3014,300,-10.061567462861602,[-0.9999999999999961 0.9999999999999967; 1.0 0.08873542397259303; -0.9999999999999978 -0.9999999999999982; 0.5184903558557303 0.991499246277876; 0.35349044070905145 -0.392501309404313; 0.8951559856106482 -0.9999999999999984; -0.9999142046055913 -0.16764238153502822]
19,735,300,-10.099576964311078,[0.9999988950011107 0.9999376790593658; -0.9999801259980075 -0.9999975457286906; -0.19888733812426454 -0.5600198121874859; -0.3201568332354798 0.9999991763331698; 0.9999783439136585 -0.3110418377462505; 0.9997604201064881 -0.9999995100556841; -0.9997465750990555 0.11124727579061294]
20,1617,300,-10.167209445132833,[-0.9999999999999998 -0.999999999999995; -0.4753568633972538 0.27978764715683635; 1.0 0.41275460125269625; -1.0 0.9635870351092407; -0.2406359600183296 -0.9999999999999993; 0.9999999999999897 -0.9999999999999948; 0.09551390705912854 0.9999999999999974]
21,2847,300,-10.018099095331195,[0.9999982197148605 -0.16115451377978798; 0.3103854843859332 -1.0; 0.9999999597497162 0.9999999598456426; 0.2482860970821685 0.6231413874491297; -0.9756311690295674 -0.9484282010814302; -0.9951421165293796 0.9999999974441067; -1.0 0.32830243007039234]
