nPsoRun,n_iter,S,fgbest,optDes
1,813,300,0.8583652686336143,[0.0066327908928716815 -0.588472460144147; -0.9119624194165113 0.999911183430202; 0.9883070220385409 -0.012264638621543538; -0.9030837978844022 -0.9999959324632804; 0.024709982375732086 0.609097490517933; 0.9998459233773771 0.9999999785276418; 0.99996746170768 -0.9999995363464809; -0.9999615370259564 -0.006293063957589477]
2,1187,300,0.8353807146429282,[-0.999991713923009 -0.04240661220580273; 0.999999658414995 -0.9999998884154822; 0.47281018832335947 0.9999996814498361; -0.01530538525432851 -0.798614496728705; -0.00891920249302974 0.17154821276048954; 1.0 0.1516244022366698; -0.7825680369392751 0.9999974406424624; -0.9999980241595188 -0.9999994199227348]
3,785,300,0.8355418886587099,[0.14870210636447667 0.017583685823586822; 0.14089067686558504 0.9991369259582682; 0.9999999744003318 -0.7653405225571436; 0.9999997188873827 0.46486989165777015; -0.999999815250126 0.999998273720843; -0.04458023625188779 -0.9999761534664041; -0.7998595723712237 -0.007243757949275776; -0.9999995654423323 -0.9999998617480179]
4,1559,300,0.8340764925512785,[1.0 -0.9999999998158507; 1.0 0.13086740592612964; -1.0 -0.999999999831153; -0.9999994882761056 -0.01103399140225975; -0.0024658987473259028 0.17089135031067074; -0.01234897129758988 -0.796063865023333; 0.5234174556086227 0.999999999989429; -0.7524671385884978 0.9999999985171766]
5,2055,300,0.8334823965242752,[1.0 0.9999999999772576; -0.9999999995131374 0.6506554680086388; -0.06454104685058804 -0.9999304861363094; -0.07507950363876646 0.9999999985232949; 0.9999999999991501 -0.9999999988208409; -0.15256343665085922 -0.006359096537785866; 0.7923576044218656 -0.0021446891390303627; -0.999999999533806 -0.6651944859021967]
6,921,300,0.8342229174076299,[0.999999379183987 0.5120517366020435; -1.0 1.0; -0.9999999627176345 -0.9999988339973424; -0.7973971944834065 -0.006728058659693106; 1.0 -0.7392867728203871; 0.12185744078588634 0.999999988664151; -0.014653827278604103 -0.999820819684555; 0.15641602453551326 0.0233204124106508]
7,1047,300,0.8352132110728145,[-0.011581537420998272 0.7984261857964006; -0.7786857085296045 -0.9999972140693628; -0.9999978552608488 0.9999950968710583; 0.001061897787867722 -0.15445927513567062; -0.9999742279090059 0.03719865572058494; 0.48170354042450736 -0.9999971292611136; 0.9999989636131817 0.9999979598748973; 0.9999028936050921 -0.1492852998293421]
8,1767,300,0.834540531834391,[-0.9999999997095864 0.7525760854894169; 0.02841615661910931 0.9999999277423514; 0.7976480772083792 0.011747493968834274; 0.9999999780323192 -1.0; -1.0 -0.49212346120300837; -0.16763440631014606 -0.003068252323707903; 0.9999999972817423 0.9999999553383575; -0.13209552485306836 -0.9999999960531134]
9,1704,300,0.8381436720924557,[-0.005777085420373056 0.8366333894401218; -0.8354435126255844 0.006519782149561334; -0.008967907221819504 -0.84214137513215; -0.9999999999992181 0.9999999999999093; 0.9999999999985769 -1.0; 0.8437321439835609 0.003388842651302059; 1.0 0.9999999999984663; -0.9999999999974148 -0.9999999999999709]
10,1176,300,0.838362188398453,[0.9999999999995702 -0.9999999999933071; 0.8405219986858744 -0.012464285523161886; -0.9999999999948631 0.9999999999930671; -0.0053710973271743016 0.8484194119361578; -0.9999999999983439 -1.0; -0.8378449362175538 -0.01866532068697001; 0.999999999975748 0.9999999999999382; 0.0009152629932544273 -0.8310079320375081]
