nPsoRun,n_iter,S,fgbest,optDes
1,915,300,0.632583317992992,[0.9591990289032203 0.11644592729151178; 0.9999442497862912 -0.9999998824636255; -0.06071853322618384 0.8539309400709937; 0.061355560570672436 -0.08787046586614863; -1.0 0.9999843193631568; 0.021374355934857047 -0.9999265435570835; 0.9999652566280017 0.9999069745159725; -0.9173799450062906 0.029592492202893617; -0.9999742026942752 -0.999966602142064]
2,2390,300,0.6274585964168844,[0.8671412356229378 0.005526461188993092; 0.003959741982167221 0.9969583768661144; 0.02477649779885637 -0.977183242650469; 0.9999999999410831 0.9999999978566049; -0.8947231675427562 -0.016714773647291806; -0.9999999999999956 0.9999999999538768; -0.022288155442189657 0.026292352194412973; -1.0 -1.0; 0.999999999998267 -1.0]
3,420,300,0.6328197613114721,[-0.999563993839253 -0.9998687719110977; 0.9993961666439891 -0.9999999142908842; -0.7954743840197305 -0.04667986700691284; -1.0 0.9999989915860091; 0.0939340484528272 0.0037640946459781242; -0.045194734496463454 -0.9996964080522299; 0.9477101670157243 0.040452500913620106; 0.9997913789839287 0.999937379440979; -0.12266396439524241 0.9944152116218421]
4,1379,300,0.6276742238848804,[0.9999999999964896 -0.9999999999995777; 0.0026824272764699696 -0.023224402101586356; -0.9823642539770654 0.03177025639655017; 0.9853818242569075 0.023662018461132427; -0.9999999999963116 0.9999999999979282; 0.9999999999999208 0.9999999999924438; -0.0052124987662773405 -0.9074197949936592; -0.9999999999985735 -0.9999999999986183; 0.003347395511730129 0.8599753087191986]
5,912,300,0.6286089782917478,[-0.913934218577808 -0.018222887370671494; 0.8270955989494234 0.019082403055137472; 1.0 -1.0; -0.9999997044081971 -1.0; 0.06757237283392505 -0.9987983431976117; -1.0 1.0; 1.0 0.9999997590947115; -0.04915136378096266 -0.0056946412394459; 0.03219153994633879 0.9999570637429245]
6,561,300,0.6304223379450349,[-0.8727337771738171 0.0030434998793723534; 0.018399307957491326 0.0559106007423136; -0.0348389718696951 0.9762237213101879; 0.9600336955109356 -0.04290613174035698; 0.9998931880084936 0.9998894518257605; -0.9997966474628892 0.9994425574108892; -0.9982031168458292 -0.9995388068859072; -0.07224752200591475 -0.920782967095507; 0.9999411126106913 -0.9997360219313708]
7,694,300,0.6707026525313701,[0.6179417851886422 -0.9999987823435518; -0.9999973602948434 -0.17382701761078306; -0.03863101938513884 0.07985602633466621; 0.9999997649613781 -0.1621224354256505; -0.9999978715369142 0.9999972788072958; 0.029114857663500224 -0.2658040035318585; -0.6117712502864447 -0.9999997562161788; 0.9999996988407109 0.9999972207517726; -0.006208746657830448 0.9999908450152165]
8,1058,300,0.6298554235884243,[-0.8819287853253363 0.05598524040908648; -0.01689009330677726 0.9061604598354159; 0.04472200281323591 -0.059440955347206635; 0.953210414081419 0.025825681019740403; -0.999999472998575 0.9999996153539054; 0.9999941142475579 -1.0; -0.05623575627676022 -0.9896300267586567; -0.9999999595191351 -1.0; 0.9999988016840776 0.9999998467775641]
9,1696,300,0.6288653830433648,[-0.040821924630483584 0.9392292829645583; -0.9999999999658 0.9999999997608766; -1.0 -0.9999999999303698; 0.910585835917119 0.054020624978967376; -0.0251899721190807 0.009723647560855184; 0.9999999999999011 -0.9999999998003624; 0.07083254465433658 -0.9300458633033728; 0.9999999996682272 0.9999999999570441; -0.942199193442783 -0.0586340913377391]
10,1209,300,0.6280502798734114,[-0.9999989910386188 0.9999999900120109; 0.051009563489661076 -0.988307086961863; 0.9999999998811885 0.9999999975479011; 0.0016558423968109062 0.9888897360737537; 0.8518195275262352 0.023061639337335772; 0.999999604793465 -0.9999998631026974; -0.9999967677412778 -0.9999920903560616; -0.9071458862923029 -0.027582635274179985; -0.05603898874629984 -0.016438941765752172]
11,1549,300,0.6277242708180472,[0.02995743690689924 0.9044411833952055; -0.9999999999932688 0.9999999999996625; -0.9669596867322807 0.02401637552163393; 0.9999999999999998 -0.9999999999717434; -0.006801720179355861 -0.9175821862696707; 0.9398278154873552 -0.013205890725221018; -0.025398724350113082 -0.01417646006471546; 1.0 0.999999999999217; -1.0 -0.9999999999999535]
12,1737,300,0.6275998794708283,[0.02247413633642375 0.889941924558557; -0.9712088042362734 0.024070944739205773; 0.9571683266027399 -0.005357353714504834; 0.9999999999994632 0.9999999999993061; -0.004343081273392104 -0.025599129080541374; 0.9999999999982133 -0.9999999999918207; -0.9999999999999195 -0.9999999999909679; -0.00668666607659501 -0.912192937783972; -1.0 1.0]
13,2020,300,0.6290784389149346,[-0.9800265123892137 0.04808153312993767; -0.999999999997595 -0.9999999998704432; -0.9999999997216401 0.9999999997505395; 0.9999999999915017 0.9999999999740795; -0.02254789858275998 -0.9108423291474632; -0.030692753472028895 -0.0037055339236215633; 0.9222490055373147 -0.054789268115473695; 0.07957804974404263 0.9115688660086606; 0.999999999997828 -1.0]
14,554,300,0.6284352189704485,[0.05134777159861282 0.8468860178248345; 0.9989153936755591 -0.022939661486526625; -0.9999978608756811 -0.999999457445223; 1.0 0.9999999999004868; -0.9999874239291239 0.9999977316900708; -0.04569313540420847 -0.8951599379636913; -0.9942730503487054 0.0708808455760449; 1.0 -0.9998979557914973; 0.013169761367612913 -0.04322259994927546]
15,1081,300,0.6278084075248145,[0.024746439312891194 0.9904253639597462; -0.9120151538981925 -0.012074369254311016; -0.9999999994591757 -0.9999999982085562; 1.0 -0.9999999998676593; -0.9999999999280315 1.0; -0.03957970016382101 0.008455553765563322; 0.8632373729046771 -0.00983127478252078; 0.025288699818146288 -0.9688247343405711; 0.9999999997980908 1.0]
16,1105,300,0.6287624175953037,[0.044185164159080116 0.8386994944430315; -0.9999999138245868 0.9999999934457916; -0.03847487956742055 -0.9114384929433081; 0.9999951499649105 0.9999993232358229; 0.9923929849945442 0.002216024373071571; -0.005951795105595379 -0.037588602764693314; -0.9999998984483581 -0.9999998238769272; 0.9999999999999999 -0.9999999816737045; -0.9923698835442104 0.08159624133203366]
17,2647,300,0.6281759935738943,[0.9974323225921827 0.012465314344924459; 0.037661532586599246 -0.8513754429288812; 0.9999999958447823 0.9999996032766997; -0.9999999997773933 -0.999999990211525; -0.00516986808372042 0.021707262613053203; -0.04478294145659667 0.8975978716547214; -0.9999999834580071 0.9999999946634329; 0.9999999993643854 -0.9999999275613543; -0.9883295091599741 -0.0672531208357332]
18,1948,300,0.6296833266414065,[0.9999999974956627 -0.9999999992216455; 0.925046045908009 -0.016842694509776282; -0.08627391938015946 -0.9978555531907449; -0.04886050651499474 0.9995668098332369; 0.03348945433657468 0.00667060232672451; -0.999999926583974 0.999999988712306; -0.8169304739468954 0.024419332552556367; -0.9999999957851212 -0.999999997451467; 0.9999999971147961 0.9999999889582032]
19,1258,300,0.627302855337347,[-0.9999999999781015 0.9999999996384258; -0.028773634481746926 0.9987951986024053; 0.880523217295356 0.019229415629859373; 0.9999999999878448 0.999999999870595; 0.01094082043160965 -0.9999353476240563; -0.9999999999449575 -0.9999999997933922; 0.025988243587410354 -0.0062699501322900164; -0.8597892652839492 -0.02142047613616003; 0.9999999999477557 -1.0]
20,1200,300,0.6274615909070523,[-0.033534427713899286 -0.8725796349753713; 0.03250009102050556 0.8663340208066673; 0.9999999999995965 -1.0; -0.006253760853073436 -0.012382164923275076; 1.0 0.9999999999999307; -1.0 -0.9999999999997543; 0.9988010643105266 -0.030569819388202118; -0.9999774749698567 0.03407128728532521; -0.999999999996919 1.0]
21,1166,300,0.6289528270268766,[-0.9999999943053909 -0.9999999969143019; 0.999999866972102 -0.9999999999970235; 0.9322419753986196 0.01654875504742757; -0.039541945680325034 0.957646724903193; 0.05026825171666568 -0.8959026018755988; -0.006332898866389237 0.051894080861635626; -0.939421750639226 -0.07285937356330971; 0.9999999492485018 0.9999999991714703; -0.9999999742803496 0.9999999999835367]
22,1596,300,0.6672801316397732,[0.9999999968988562 0.8784550654520095; -0.9999999961701366 -0.04818187969090331; -0.09830184487242496 -0.2500628876004924; 0.3294810352913021 -0.9999999996628296; -0.9969617818593769 -0.9999999871672088; -0.9999999409916465 0.9999999847185141; 0.2011201675957293 0.11212271409774353; 0.038875761761444506 0.9999999982157164; 1.0 -0.3805953376807185]
23,957,300,0.6294829818208227,[-0.0977069118712206 0.9871777746683711; 0.039171036411382275 -0.023276042507319628; -0.8353797305586124 -0.06226089012929944; -0.9999930969203833 -0.9999963473309056; 0.012840298543239084 -1.0; 0.9100948127975008 0.05534198409871605; 1.0 1.0; 0.9999999994119783 -1.0; -0.9999925429201417 0.99999939818911]
24,1677,300,0.6289682632129417,[0.8321901031979886 -0.027623271259532962; -0.9999993072463531 0.9999999925333892; -0.03493364626780564 0.011977729270942095; -0.9999998584063513 -0.9999999922286259; -0.9218539359590708 0.008743746429383522; 0.9999999764331673 0.9999999796633638; 0.999999983461722 -0.9999964130904225; 0.03599631790919567 -0.9832983268380223; 0.07247615856623425 0.9998695137561849]
25,1371,300,0.6302902808823206,[-1.0 1.0; 0.9063660084725428 0.06255054692732329; 0.9999998882456704 -0.9999998298404379; 0.9999998645382271 0.9999999240960666; -0.9999995803188846 -1.0; -0.9475783865566585 0.04502115829173511; -0.017805207368742467 -0.08899201519118788; 0.03510204199162041 -0.9960581875363688; 0.009840735011464865 0.8819677725646818]
26,2360,300,0.6282342404276203,[0.999999999999998 0.9999999999757094; 0.05209278686682621 0.8800675576179797; -0.9999999998549807 -0.9999999998850229; 0.9995138246711123 -0.0626606813131184; 0.9999999999995716 -0.9999999999657471; -0.05532567610647838 -0.8553498031866001; -0.999990844471638 0.042360149823788426; -0.9999999999629652 0.9999999999941409; -0.0028813248675365346 0.03236080573475846]
27,1331,300,0.6273982599223108,[-0.03396632500281179 0.0049828382139273115; 1.0 -1.0; -1.0 -1.0; 0.020902812478729424 0.999777070133543; -0.8931894598424011 -0.0029781697126529012; -0.9999999999365405 0.999999999981667; 0.9999999999961163 0.9999999999999275; 0.017673602748199697 -0.9905041153891487; 0.8550898720684723 -0.005680764822653698]
28,1311,300,0.6287749094171635,[0.9999999999809074 0.9999995388420992; -0.9216069646757893 -0.02464762040602924; 0.9999996330390328 -0.000672753253239974; 0.9999997989175251 -0.9999991921893419; -0.022410887065568694 -0.8907683613555689; 0.052865484689127745 0.03483540083301295; -0.9999995551717326 0.9999978364051845; -0.999999989650298 -0.9999999979917479; -0.05022014746515538 0.9195946331229418]
29,2441,300,0.6286854165831329,[-0.9999999998864288 -0.9999999999588001; 0.9999999987521809 0.9999999999999519; 0.006519705649003065 -0.046689686665530965; 0.999999999991944 -0.9999999999707638; -0.037265873445652395 -0.9999997778444554; -0.9999999999793964 0.9999999982248646; -0.8905501091462616 0.05789536673376204; 0.9128650416032699 0.01115038427269334; 0.01201346841148902 0.9276166794460217]
30,219,300,0.6285694176254375,[-0.0219753204165929 0.9592229529363777; 0.9985360651007488 1.0; -0.9993231974845596 -0.9995143282889174; -0.9998629691529537 0.9989734911417759; -0.0025293837322015495 -0.9944390217623624; 0.9997194315879656 -0.9999926133933208; 0.04339835155530815 -0.07698873982372761; -0.8749508532493441 -0.006248610402648396; 0.9063614756209321 0.014828903365561977]
31,901,300,0.6298920905609877,[0.9999993949472538 0.9999999567351504; -0.05166521537901889 -0.8800269704733531; -0.9999999995181413 -0.9999999999994713; -0.9076094258907944 -0.022470175172383394; 0.9999999997577346 -0.9999998462703406; 0.9999999995985631 -0.04854230120724794; -0.034700620325266565 0.9445322843490586; 0.0697519860727275 0.03297110992168401; -0.9999999990436067 0.9999998027107431]
32,1167,300,0.6294845223925148,[-0.8637480821395548 -0.04448322690256033; -0.018852070130324847 -0.9303655357866095; -0.9999999999898034 1.0; 0.05937247890594459 0.0673111877684702; 0.99999998687896 0.9999976870169353; 0.9394968876792911 -0.014599078113774432; -0.05709744991406734 0.999956027532037; 0.9999996502713631 -0.9999998552711388; -0.9999999222031868 -0.9999992215014433]
33,2240,300,0.6300318807151774,[0.819845759002495 0.0408812741262602; -0.9999996331679606 0.9999993140600677; 0.09505406546208124 -0.9924574375169184; 0.9999928129193556 -0.9999885063377618; -0.05174591324232373 0.018932190887425343; 0.9999999999999653 0.9999999749402135; 0.034981526143193005 0.9940123825761717; -0.9999990128146387 -0.999999571628999; -0.9308985034009459 -0.024811913647091847]
34,725,300,0.6274424636124374,[0.9999996034575244 -1.0; -0.8900886974045471 -0.006105916025011068; -0.006856914211707432 0.9867918271008909; -0.026672014578604745 0.03329608738152452; -0.9999931398204652 -0.9999993136308656; 0.0056936437764873084 -0.9752481665382163; 0.8826041277363134 0.006579998028591619; 0.9999984097816672 0.9999987818650937; -0.999999502843668 0.9999999999624071]
35,1227,300,0.6287655732619267,[0.9999999999989029 -0.9999999996821229; -0.042539918813716666 -0.002725849760978543; 0.8476770875735337 -0.054450960457252014; -0.9999999999998109 -0.9999999999999732; -0.999999999999418 1.0; 1.0 0.9999999999991945; -0.900078963103513 0.05693272414424052; -0.02680889552226917 -0.9970763936710884; 0.08068279800932751 0.9876598572606607]
36,1514,300,0.6281462196447938,[-0.007860984343044466 0.024886179147736647; 0.9985058605761837 -0.03746183491292231; -0.9999995041738018 -0.9999991250083847; -0.9955944979074672 -0.049986141683501725; -0.009129935757470488 0.9077300769051769; -0.9999999369762432 0.9999999338508259; 0.0038904651291490682 -0.8372472365292049; 0.9999673352937521 0.999999327907281; 0.9999913301249058 -0.9999998474805865]
