nPsoRun,n_iter,S,fgbest,optDes
1,6467,300,1.518959746115974,[-0.9999999999853244 0.6774493564093812 -0.6617465511092452; -0.9999999999483976 -0.5685027462949669 0.9999999999965651; 0.9793381047332048 0.6771173863021244 0.9999999999947746; -0.47898206248707614 0.8886319544390475 0.6122745436081098; 0.7207862965624162 -0.9999999999937836 -0.9258526725771672; 0.08916976225424626 -0.3470030637439719 0.057892263676813195; 0.9999999999783314 0.2930240112899715 -0.338989369675005; -0.994262326037175 -0.9580386960271386 -0.17744506390905043; 0.5149943233815572 0.9999999999927475 -0.5459709086521949; 0.566078085263628 -0.9863195420042159 0.9999999992412653; -0.053051480796847114 0.1964004015321415 -0.9999999999999929]
2,5149,300,1.516591661997749,[0.10320677638476033 -0.5161861054145787 -0.05105202642248383; 0.5331672583915977 0.9999999855369126 0.8991669972488002; 0.6678971796750524 -0.9727861000252901 -0.9999999837397155; -0.9999999999794007 0.5631417328259379 0.705372817376497; 0.9999999422316402 -0.9999996040179565 0.9999999617285827; 0.12357346730454634 0.0846797783843922 0.9999999980827529; 0.9999900950700158 0.32058357408660654 0.31627555232785715; 0.903249087496045 0.8888801787164409 -0.9999999964947427; -0.9999870287699608 -0.21374523379234742 -0.9999999981534695; -0.7722957183737293 0.9994613773630525 -0.777719589238362; -0.9994503078757683 -0.9729524561097724 0.14759680722744573]
3,1602,300,1.8248463156108479,[-0.46877771677093405 -0.9370907418300896 -0.06921871416612858; -0.8767311140952432 -0.4940196626640497 -1.0; 0.9999755365384041 0.4948508403554061 0.8771183155820935; 0.2909211714139853 -1.0 0.999981487553136; -0.17594854112046704 0.3431956067482032 0.8096064132842623; -1.0 -0.46207695831599493 0.9917569461928251; -0.9997040685726949 1.0 1.0; -0.7621461013034414 0.27990535116954673 -0.29134659445518557; 0.6880612716703884 0.034110106868917994 -0.9998106946881377; 0.2284818014987397 0.9999984470045261 -0.38946910239605487; 0.9999982065455769 -0.9235979862871392 0.07398067242996886]
4,2117,300,1.518002495227646,[-0.5517078755343704 0.9996227638904097 0.999999992393061; -0.9999808323424549 -0.8426472165046631 -0.9999918650509309; 0.2945011104165092 -0.9999274663652838 -0.3390158518715642; 0.8745080222290806 0.5312385655414317 0.7725737711720779; 0.7714197009865567 -0.9898693839749348 0.9999424426323967; -0.3860332053804134 -0.15438677268366582 0.12838219294084494; 0.6122527318652309 0.9999993837406037 -0.6825549461959336; 0.9999979907474333 -0.48646032461026306 -0.6460633892546895; -0.9999999999743677 0.9280667447887121 -0.08178222587855231; -0.9998624088073451 -0.7232373255761674 0.9607107652374987; 0.28848085400725554 0.10492300540245628 -0.9998771289868785]
5,1603,300,1.7340595661634663,[-0.994682897952391 0.9773008193361776 0.7625035698735974; -0.9450796565323606 -0.22750193999642235 -0.9860333291248615; -0.8351989374998532 -0.9992337298949042 -0.0199180699692061; -0.0007711181115345395 -0.9994728923401424 -0.9998961505051261; -0.24343061677486677 -0.11989806204077923 0.5956917618571592; 0.5359866570003688 0.753000765041714 -0.3241594328654958; 0.9999927948080587 -0.6904899407242022 -0.9908582814291786; 0.967491277614662 0.959118255767458 0.9998945376801774; 0.840048754829651 -0.5746407781159258 0.43355538551310485; -0.8925459889291659 -0.9999951897184777 0.9999999600340433; -0.7167638594245422 0.9999964427962348 -0.9157421352337337]
6,637,300,1.5492134745289812,[-0.8774204490868385 -0.4373383616601381 -0.9978171260730156; 0.99921938891708 0.9999966859829522 0.387483911670094; -0.998973245763018 -0.06187387211392443 0.015431186350676062; 0.992867035732341 -0.4630916242542199 0.49194691925527567; -0.3888881888228398 -1.0 -0.4681850466795853; -0.42935910410960354 -0.9322715953571221 0.9972410844930453; 0.40803197434112876 0.7816458258900099 -0.999994772394476; -0.8553393124396799 0.9997053852886365 -0.1954686382326419; -0.16082405657149307 0.8963005072104494 0.9993990972294761; 0.025431956185788324 -0.003532829465152079 0.20851353469219122; 0.9938154782227315 -0.6625501143212746 -0.9965384072818906]
7,5367,300,1.5570191653106575,[0.9999998906043409 -0.29651710006031007 0.0349860692335919; 0.9990663839918185 0.32386288725690543 0.9999991737560474; 0.5793568491356498 -0.9999999737493105 0.4971886575316076; -0.9999997572433839 -0.896286227263897 -0.49584565445505724; 0.02140984374999324 -0.7717494115143992 -0.9368869587913606; 0.8295862111746913 0.9999999999331554 0.4134966953186891; -0.9413837667824327 0.7977149293770778 -0.7038205096087898; -0.043524671526647636 0.27086149036122054 -0.24996889135261868; -0.9977930288172905 1.0 0.9980852053581781; 0.9251666428779972 0.6346416442055475 -0.9999999970518256; -0.5572764249692946 -0.4543475471997186 0.8884822553356246]
8,499,300,1.5430828605585942,[0.9925749192532713 0.793538898679593 0.05682383409108042; -1.0 -0.8880460625221465 -0.9863530185054435; -0.50004983195466 -0.996646591437762 0.6468329943156278; -0.9995537573133433 -0.1781226958883041 0.9993972542608534; 0.3186459084735638 -0.32594339627176133 -0.08241509870663684; -0.8398067421126918 0.665393105518282 -0.4513616175442211; 0.4693993981473181 0.9246390622785303 -0.9993124855165145; 0.14304783174616648 0.017387499638090238 0.9999609789203773; 0.998117285836097 -0.9847854685586283 0.6478994290460635; 0.5872052316055538 -0.9054027151379491 -0.9988540234215694; -0.13407479437826056 0.9990482051885026 0.7550204597550809]
9,8243,300,1.5606976369490257,[-0.9999994798482303 0.08357597620043825 0.24391569660423779; -0.8960931079591913 -0.9999999990473465 0.9999999929105733; 0.999999999997777 0.9922574918669111 0.46308331717250584; -0.763980593672091 -0.9999999990266834 -0.3681805310908308; 0.9999999118697991 -0.6535903714971882 0.5029539756101713; -0.14696827759003767 0.9906736047698887 0.9999992694165873; 0.4120083388085543 0.7259617317224573 -0.9988703000163744; 0.017244720215253004 -0.2420264365019569 0.3627441455997639; -0.998866861868343 -0.1736574811533785 -0.9999999997877121; -0.8005755084384577 0.9999999987898732 -0.13456701426664944; 0.9734036269407712 -0.9654074677233232 -0.9999994220237648]
10,3525,300,1.6619078855235345,[0.9999999962630899 -0.45467817847796194 -0.9999999612846228; -0.990852556177706 -0.9999306895288268 0.9994835561081797; -0.7084186275761963 0.927284476194285 0.9456022566698249; 0.9518322279355339 -0.6477239735345132 0.996277156602053; 0.8880279799309635 -0.9998979122631113 0.03211448446813246; 0.8557982075122517 0.9999963817932617 0.9999999989795199; -0.9999999406368859 -0.240410692139989 0.15361038899248186; -0.1660116262060659 -0.011703171540097772 0.4303649830945751; 0.7760508178435842 0.8090142252717522 -0.601993570651423; -0.981154886965521 0.7738027042196783 -0.9999884033523778; 0.06273927088741721 -0.8697198981752197 -0.831989692777756]
