nPsoRun,n_iter,S,fgbest,optDes
1,6172,300,-19.81201360465646,[0.9999999999999988 -0.9999999966250193 0.2867881641078604; 0.8457954868207477 -0.9101834590165803 -0.9999999999999968; 0.350570594022685 0.9999974077605593 0.757001789474806; -1.0 0.9999999999999989 0.9979386106167459; -0.9999999999999998 0.9995848439206937 -0.9999999999995527; 0.9999999999999977 0.9971356947646294 0.9999999999999994; -0.9336668013332637 -0.9999999999999972 -0.9999998480715421; 0.14065128125604784 0.9900391401314262 -1.0; -0.9748280756853901 -0.28972789671066146 -0.5387600355527934; -0.99634655374067 -0.16397282119328194 0.9999999992682993; 0.7444466728706611 -0.9874713546158628 0.9999999999999858; -0.9999999999999991 -0.9999999999999981 0.6417490138517602; 0.9999999999999997 0.9999999999335215 -0.9864863542592472]
2,8661,300,-19.11320413699365,[0.7839740161339405 0.9999999999999996 0.02839625757911433; -0.9999999999990338 0.999999999999995 -0.9998963823221415; 0.5752819483864375 -0.9459020575264986 -0.9999738351188238; 0.9999999999999982 -0.9804829460941065 -0.5481342840860199; 0.8587033296717593 0.9972699785551126 -0.9999999999999988; -0.8315903766905708 -0.16218354853473907 -1.0; -0.9672813007853216 -0.9999999999999888 0.9999999999999937; 0.011270422409191981 -0.9862074620423271 0.3136843811248611; 0.9999898555344148 0.9987819145362238 0.9999999999999994; -1.0 0.09149142226082382 0.8423609752379048; -1.0 -0.9999999999999954 -0.8631481238561608; 0.9999999999999993 -0.9935699351937879 0.9999997574894797; -0.9439992146712232 0.9999999999999991 0.8903442426126632]
3,10000,300,-18.84997016532327,[-0.9999999999999617 -0.9999999999971831 -0.71973786554955; -0.7609963640241968 -0.38867584076477435 -0.9983393266057905; 0.8618021510302698 0.4372267170602421 -0.3665696848711642; 0.9402473139844693 -0.9942195370772806 -0.08296755410716798; -0.9999999999997087 0.999999999999798 -0.6633843374655842; -0.900763879705064 -0.8794339367068271 0.9942165278180782; -0.999999956661736 0.8513257524052619 1.0; 0.9999999999990336 -0.9999999999958624 -0.9999999992359676; 0.9999999999988317 0.8478249442653026 0.9999999999971139; 0.46415258304202345 0.9986159734509975 0.6999281958625239; -0.28237974659731263 0.9999999999991801 -0.9938542252419899; 0.9999999999962415 0.9999999974234274 -0.9999999999999807; 0.7658538486681407 -1.0 1.0]
4,1975,300,-19.421221988516766,[-1.0 0.9482696250919916 -0.9999967379401263; 0.9999475605364595 -0.99999991246194 0.9994322967074516; 0.9986028312540004 0.9999999918410021 0.13332233670506244; 0.9971750812284119 0.9994992200906283 0.9999805690413774; -0.9999651976328761 -0.9999999999999436 -0.9999929389080773; -0.2185051312506779 -0.5960582966881186 -0.9992052081688223; -0.9999789055085722 -0.28523767105612075 0.9991225807329537; 0.9999999995592302 -0.9999289551862285 -0.9999992219905887; -0.9776024701410269 0.9999377724087513 0.9460253670944959; -0.9999793380419254 -0.9997991540036288 0.9386150814732409; -0.31605964401426184 0.9999999491251634 -0.8526469308449294; 0.9999882350067355 0.8449816750486353 -0.9999997370364836; 0.9999953440396038 -0.6523629504632747 0.25378935727284824]
5,10000,300,-17.939693735252607,[0.9999029561967351 -0.9999999999942267 -0.9999999999985674; -0.9987895280014913 -0.9999497342861453 0.999978540857897; -0.9999890664121653 -0.9999999999999997 -0.7080323892220663; 0.9999999999994925 0.9999999999901225 -0.9999999999999963; -0.934755527587367 0.6836120159644774 0.9999999999999998; -0.05774067286448088 0.9999998796485131 -0.9999343161646717; -0.999999999999985 0.10431120681133776 -0.999999999999935; 0.9999994800123166 0.9999999999991386 0.9999999999999988; 0.2511955095145498 0.031993867414100145 -0.8902313175649972; -0.9999999999968906 0.9999999999999916 -0.44391964510711523; 0.9999999999999922 -0.9999999999997872 -0.05572947713201481; 0.94191723392789 0.9133207008841212 0.07146125552013642; 0.9906544484518672 -0.9999998144048333 0.9999999999967264]
6,10000,300,-19.81146225256022,[0.9999999998540847 0.8942107039229023 -0.012932679518158605; -0.31619219451827874 0.999999999966201 -0.9101199002216287; 0.9999999958380951 -0.999999999928251 -0.8598260351551974; -0.9999999999111839 -0.9999999999992136 -0.5721827886257453; -0.9999999997681347 -0.9999999999894258 0.9999999999597297; 0.999999999896521 -0.09850947402213214 0.9999999999896976; -0.9999999999999978 0.903418460875311 -0.9999998497346537; 0.7605895464568508 0.9999999999999997 0.9999999988396368; 0.9517048560518906 -0.9999999998303454 0.9509577748713695; 0.9999999996308352 0.9999726520388355 -0.9999999999979493; -0.9999930310479942 0.9999999999450683 0.9999999994298483; -0.7398489918073745 0.10730400943067478 0.7625502879639839; -0.20175038225906322 -0.8064627596028899 -0.9999999998785615]
7,10000,300,-19.610338347508744,[-0.9999999999958359 -0.9999999997254015 0.4782307114218162; -0.9977174440153902 -0.9996053413030423 -0.9999999999226286; 0.9999999999286304 -0.9999999999999682 0.9936393655822687; 0.9999999997806496 0.999999999999996 0.9999999999994391; 0.9999999999964762 -0.1933712642326431 0.8305213529144636; -0.9999999999996395 0.8412155338143827 -0.9999999999944764; -0.3059238209515852 -0.7796203216786765 0.999999999968811; -0.9964979587341272 0.9911912874651773 0.9999999996217365; 1.0 0.9999999999988513 -0.8709855676294617; -0.8276427217929535 0.9986557112380999 0.5272022153345589; 0.9999965217409905 -0.018911243170548663 -0.9999999999998668; 0.9975532358745385 -0.9999999999999407 -0.9975709262980916; -0.07591436704693534 0.9467245871409561 -0.8521528802072534]
8,6256,300,-20.227479447389122,[-0.9999999999999991 1.0 0.9999999999999998; -0.5151906841855601 -1.0 0.9999999999999988; -0.9355154726145757 -0.9999999999999961 -0.9999999999999949; -1.0 0.9999999999999997 -0.8992966714891139; 0.8830419530557828 0.41218755462877116 -0.7584979641744385; -0.9999999999999956 0.24842018427708515 -1.0; 1.0 -1.0 -1.0; -0.13885499834284157 0.9999999999999956 0.9999941930226584; -0.9999999999999988 -0.7577253558874084 0.3221097539089783; 0.6176898142844497 -0.9999999999999998 0.12945050427039342; 0.9988033872074832 1.0 -0.9475444748585923; 1.0 -0.9322346434700843 0.999999999999996; 0.9999999999999999 0.9690554693243605 0.9999999994198447]
9,1259,300,-18.937254099945235,[-1.0 0.019177003442675443 -0.9999775795804221; 0.9953467676753617 -0.9999999045260322 -0.9761182904704476; -0.4119474696915468 -0.9999999764475977 0.9999892232412124; 0.999995005716345 0.6899651990483052 0.8100018812761454; 0.9556553762489483 1.0 -0.9999753599680933; 0.034427325735106235 -0.22900502166760678 -0.20163054402899752; -0.9999883554943924 -0.8777327866283744 0.24054791293959496; -0.9999886080694829 -0.9999974866756014 -1.0; -0.8703035397492863 0.9999812832854283 -0.9999448674547224; -0.9999991631705867 0.9999659844585708 0.9920718347272082; 1.0 -0.9979757076974365 0.9999846912906678; -0.2353430563971681 0.9999878543248393 0.9999839259844041; 0.9484591622802203 0.04294875411262291 -0.9999990439964298]
10,6255,300,-19.16547615350291,[0.47630569328150435 -0.8335563780419136 0.6869846419747342; -0.9999999999999978 -0.9999999999999987 -1.0; -0.9999999999999994 -0.46834607732964834 0.9999999999999984; 0.9394055708628252 1.0 -0.9999999999999739; 1.0 -0.9999999999999177 -0.817523619397348; -0.9981279981044601 0.9999999999999986 -0.9999905284661204; -0.9402394470395264 -0.8594385788427022 0.3980497411392075; -0.7771069124902247 0.9999999999999948 0.8956503672729293; -0.9999707704090307 0.04279735158935405 -0.9368159185734164; 0.9999996045879692 0.792042717067638 -0.4872421235100973; 0.535352263330121 -0.8121254272314173 -0.9999426841649446; 0.9999999999999953 -0.8217447327354486 0.9999999999999983; 0.8310850289013836 0.9999999999999736 0.9999999999999949]
