nPsoRun,n_iter,S,fgbest,optDes
1,2038,300,0.7425978184763711,[-0.958941067310119 0.8963105378684547 -0.9999999913797327; 0.7355457689097679 0.9997982073114406 -1.0; 0.9979459577144886 -0.9447078945210848 -0.9999999141540298; 1.0 0.17694994615851123 -0.493037061221029; 0.9999999995333783 -0.9999999427018277 0.944936309774285; -0.8959600824212832 -0.9999313768721119 -0.9999919316003338; -0.12413163016674862 -0.9999990258425029 0.2413216661585735; -0.9766821773448092 -0.33616842115910467 0.999997193405131; 0.07618097347195452 0.055228379574057226 0.9446247847140394; -0.821476206015386 0.9998948892976278 0.38822734727577163; 0.020215746550472768 -0.06134114852737265 -0.396068849028769; -0.9999998890005963 -0.3710307450994406 -0.027472531109577425; 0.844726492899332 0.9999970283047543 0.9708409463938583]
2,5381,300,0.7258693286427543,[-0.9999999935157811 0.8986398531394237 0.9999999991484373; -0.9999999969158228 -0.7645006588966606 -0.9999526551910419; -1.0 -0.8819644265652082 0.9032202212019107; 0.9879293141326465 -0.9999999927951366 -0.9886705749054359; -0.9999999999113582 0.9618998768165806 -0.5725548193154962; -0.04271515210816913 -0.10669646681546306 0.04316913091222912; -0.06631911133334496 0.9999999995833269 0.015467170111509243; 0.9983655495428673 0.9862347256581824 -1.0; 0.8648910971585829 -0.047848661698505664 1.0; 1.0 -0.3290442275249512 0.003136190694800804; 0.9639023995051532 0.9999999997601785 0.9863076560490613; 0.10295381417313539 -0.014611900668096131 -1.0; 0.4768456133501586 -0.9999999997596459 0.9992627743291733]
3,1452,300,0.7021702323796191,[-0.8349618224139121 0.9999721047528303 0.9765429388341443; 0.20652184944269333 0.394157262054461 1.0; 0.579116649912354 0.4252187959134534 -1.0; 0.9998528732745335 -1.0 0.9999791966663507; -0.9999985399490281 -0.10039338576872542 0.34203359854803306; 0.01575419352279248 -0.13195552843884026 0.013554282070608409; -0.15704758114094763 -1.0 -0.3865195885366445; -0.999999864015797 -0.9646608681220605 0.9999989426186348; -0.999963869761599 -0.9999805726066169 -1.0; -0.9999595838675881 0.7115245252480472 -0.9141573749289309; 1.0 -0.9958155878689523 -0.9341361506646799; 0.9999962140783601 0.5835875875785093 0.4560848832297948; 0.5181987152802547 1.0 -0.24468341886912767]
4,1720,300,0.7159064982226941,[0.9514381643838299 0.828433017737451 0.9999900669064288; 0.9999961779126432 -0.9999961408307116 -0.7636608018984359; 0.12012067161906949 -0.1030282263899487 -0.9999975639046796; 0.9999999942671798 0.3285723513597317 -0.19253245336550048; 0.037711088842698394 -0.6866157522125349 0.5866775390374481; -0.9999995267985414 -0.9972890987601178 0.9994523762683823; 0.26903211830163093 0.9999999887419302 -0.9999999472306951; -0.9919705837616669 -0.9999997757924592 -0.9747728427789857; -0.9992150671148989 0.8502688376202049 0.999999618696169; 0.9999987843722736 -0.9999632443150047 0.9999988803613632; -0.35939047362805887 0.9999921542554401 0.028315479304828098; -0.06958237175822482 -0.04224511311927114 0.08432006020773118; -0.9999999765654733 0.3044991016539606 -0.5890636295724728]
5,4619,300,0.7157237711974624,[-0.9999599316680765 0.9965948815877917 -0.8953787505445504; -0.5972685081476822 0.9999999996661165 0.9998124197282627; -0.2064254621711422 0.24308331352376075 0.9998683770800836; 0.9115475402731957 -0.9945307465015545 0.9999999999228834; 0.49906254626033514 -0.19697535237116726 -0.9999999999935423; 0.7843585954778743 0.9999999999160336 -0.6952914060097699; -0.14377826230374752 -0.9999999999992434 -0.09250835542933586; -0.9999999998582056 -0.9319116412054042 0.9999834831350363; -0.7295775107898027 -0.9999999984797022 -0.9999999997923351; -0.01204203604141803 0.10121503602512937 0.06094310576542227; 0.9999999999984556 0.7682781159426377 0.8447166862259082; -0.9999999999998177 -0.12770497665241876 -0.05058736591597368; 0.9999999999902672 -0.943963415280139 -0.4285547517986572]
6,8269,300,0.7152524916300782,[-0.9155555199022322 -0.7483236967105555 0.9999999999998427; 0.9999999999999973 0.982237163212898 -0.9975098758741363; 0.9999999999960371 -0.7916561066845167 -0.44576306313401637; -0.14456887978470426 0.9594054885922161 -0.0566355714563711; 0.751595618006304 0.999999999997191 0.9826140579770289; 0.04796139565605814 0.017823292088319193 0.08590353799544298; 0.07124350929364713 0.23104011595212873 -0.9999999999999959; -0.29089744800408485 -0.9999999985903446 -0.9999999999999998; -0.9999999999977525 0.9999999986285745 0.9999999999992576; 0.9999999999972526 -0.041221197230608804 0.96382977693144; 0.7229277063493594 -0.9999999999999561 0.9411457790333349; -0.9999999999992532 -0.584118786345959 -0.28682039451267066; -0.9999999999997168 0.970343694656295 -0.9999999999976928]
7,1694,300,0.7195282510893644,[0.9999997989887067 0.9002813595322146 0.4727539655391361; 0.5718229431453186 -0.02930151102035661 -0.965595029652389; 0.14972525452254667 0.4035548528136701 0.9999698548949083; 1.0 0.9999620055989634 -0.9999830897504973; 0.4293818440810291 -0.14729976969985023 -0.04162071164627753; -0.3938827536539571 -0.9999980107352477 0.47546817523129203; 0.9042517274226805 -0.9999977750703254 -0.9083948436426362; -0.9805582010923105 0.8876987439661299 -0.9989221360133885; -0.9999977023145443 -0.34229087411692777 0.08897045590763286; -0.13466628481465237 0.9999285122963482 -0.015270988967313678; -0.971654248259683 -0.9999909411562174 -0.9999051734301694; 0.9999663469910502 -0.9962017641565118 0.9999219872918499; -0.9999998949871335 0.6414571961894768 0.9188732752905867]
8,6557,300,0.7122345218014895,[0.9999999995785309 -0.16376414196187178 -0.8301170406512199; -0.17941158738538177 -0.08375572879322359 0.09796063135970685; 0.6873173532643893 0.9999999997200938 -0.9999999999994205; -0.9999999999973008 0.9999999994298794 -0.7718155239463107; 0.27903349440249336 -0.9999999988783059 -0.9999999999770258; -0.9288211199394429 0.9868194847575656 0.9999999832204116; -0.9999999998009726 -0.7187462409645587 0.9545601843819246; -0.9999999999999997 -0.8363534554782023 -0.8597237366854092; 0.9999999988521339 -0.9999999995291287 -0.050122193074265776; 0.789478801287599 0.4436711054832052 0.9999999987033183; 0.6705453146214302 0.9999999985186644 0.3455567439339959; -0.19105929792006407 0.1272304674805646 -0.28269872353786796; 0.6219209189844886 -0.9881982190935189 0.9999999997545768]
9,879,300,0.7565139872131696,[-0.9993792116578994 0.9999959194085907 -0.9966828643370942; 0.7554599498117864 0.9525828118411231 0.999992912442285; 0.8389097564724577 -0.9998891245680862 0.9311487975388941; -0.33045913275061334 -0.018471061967285467 0.21745391562331864; -0.9998467893072082 -0.9706217949815388 -0.7641688687858543; 0.99999999981852 0.5009765999366664 -0.9999989430810009; -0.1363269205978676 0.9996515516395234 -0.20490246344421773; -0.9560742504750572 -0.9912659756071973 0.9905446527027723; 0.9636027369461689 -0.09720242095838016 0.21009879890388783; 0.9489090217072365 0.9999990482443281 0.000984942291356873; 0.9999548177328038 -0.9999989461577935 -0.8540071545140994; -0.9999728085816424 0.7866891067363949 0.9968781039765817; -0.01294027809509966 -0.3409024576301748 -0.9299544340778351]
10,2167,300,0.7278418063740603,[0.9998510115826142 -0.15122973742175655 -0.39873088131345413; -0.8514235803637674 -0.9982549624689431 0.9996851589953867; -0.9999999967273641 -0.9305673833860225 -0.0893372604555553; 0.5847517816902443 -0.9999837208871095 -0.7743414819529414; -0.9999999850208191 0.9554503131534652 -0.8080790458199365; 0.9995559275716807 -0.9999323567912801 0.9620772142732298; 0.9994848412287295 0.9999408619102345 -0.9826901782550209; 0.10025247443951227 0.14466500599454618 -0.05671927883362551; -0.5228094599502533 -0.5930041102495794 -0.999998697046665; 0.9999213690929885 0.9999981605190851 0.9999403175315223; 0.09206358860674461 0.9999999379830425 0.21629081003650846; -0.20008657942156866 0.06718218690380964 0.843205381518911; -0.9999997381229104 0.7667998280823324 0.9999451804489793]
