nPsoRun,n_iter,S,fgbest,optDes
1,10000,300,-22.23451767634913,[0.02605764591345942 0.9999999992323813 -0.9999999999997893; -0.2265366806893545 0.7518495301203499 0.8663641029584948; 0.9999999999793835 -0.9999988320631329 0.291147548029735; -0.033825483510561256 -0.9999999999194155 0.9999999999999987; 1.0 0.36105571046118057 0.9999999999995078; -0.9999999998159024 -0.9999999986813449 -0.3928457287563369; 0.9221825653324001 0.6406289789261874 0.06941098886492375; -0.9336357505911149 -0.1266655517586196 -0.74844158009483; 0.6304642768724575 -0.9999999999492822 -0.9974988611616125; 0.9999999992762165 0.07346779205156853 -0.9999999959638102; 0.9999999573278961 0.999999999688689 0.9999999999043905; -0.9999999948964136 0.9999999999933946 0.9999999999706265; -0.9999999999995545 -0.7428266781247563 0.967374069368469; -0.9999999999999999 0.9999999996255848 -0.7120627483439909]
2,10000,300,-24.978107510687913,[1.0 1.0 0.9806028471255931; -0.298033497124178 -0.9999999999937655 -0.9832831315007895; 0.1302916125673797 0.7953974178633499 0.9998410814668688; 0.8848651675600742 0.3807984928757417 -1.0; 0.9999999999999966 0.9999999999999951 -0.7128255671088011; -0.9999999999996202 -0.40011906419532434 0.8594573724254909; -0.9999999999999722 0.9956357771024132 -0.9999999999999902; -1.0 1.0 0.9999999999994884; 1.0 -0.5753044285709144 0.37955175239373046; -0.7274636043933093 -0.9999999999999637 0.9935658817117199; -0.9999999999999354 -0.9638551273049192 -0.9999999999989189; 0.9999999999978123 -0.9979405032804876 -0.8623984228399204; -0.9764790527424572 0.9996051467641976 -0.31862180856571354; 0.9984982065481743 -0.9999999999999764 0.9999999999999802]
3,6812,300,-23.745159023798376,[0.9788572169603925 -0.8454547251296919 -0.9999999999999899; -0.9999999999999994 0.9999999999999947 -0.9999999999999768; -1.0 1.0 0.9999999999999984; -0.9999999999999994 -0.9999631475499025 -0.20708148095969253; 1.0 0.9869695452267999 -0.9999999998541141; -0.978178938327843 -0.9999999999999962 1.0; -0.9980015454472628 0.5969606409522391 -0.043126346045033036; 0.9999999999999997 -0.9999999999999992 -0.035421253922402286; -0.010953090112750504 1.0 0.9999999999999998; 0.9999999999999913 -0.6949335280425339 1.0; -0.9852436110462192 -0.984276490990601 -0.9999999999999961; 0.15424704966101693 0.9935015809817751 -1.0; -0.7565700882652345 -0.2901996897092092 0.9949652262344606; 0.9999999999999986 0.9999983430156918 0.9094799652132456]
4,8985,300,-24.16673149473958,[0.29599487279528053 0.9647738938187082 -0.604554547452305; 0.26477173298612994 -0.9999999999898259 -0.999991760656409; 0.9999999999999921 -0.7808916832161578 -0.8596266965745494; -0.9999999999999988 0.9999999991745168 -0.9999999999999972; -0.9999999999999779 -0.9993511631544494 0.9999999999999992; -0.6260679861486391 0.9999999999999993 0.9999999999999957; 0.999999999999988 -0.9999999999999989 0.9999999999999618; 0.9999999999999994 0.9999923862288559 -0.9999999999999993; -0.9985285892265332 0.9504179640895365 0.2173090772389454; 0.9999999999999988 0.9999999999999994 0.9999999999999448; 0.9999999999999958 0.4485524117594632 0.9817104648013375; 0.19867574461209073 -0.786294594464575 0.9999951486778571; -0.9999999988708173 -0.999999999999995 -0.0054280492672296714; -0.9999922506737419 -0.304957688154921 -0.9999999999999959]
5,4927,300,-24.819706209388638,[-0.9998962030254631 -0.9999999999997251 -1.0; 0.24097767493334685 0.9037287040885333 -0.9831511805150103; -0.999999999999872 0.9999991554662179 0.9999999999997347; -0.9999999999941599 0.3241680913857202 -0.9999999999902183; 0.9999999999989017 0.9999999999724687 -0.9998691817283649; 0.9718415143931614 -0.9999999999703965 -0.9999999999881793; 0.9999999999984929 0.999999999979853 0.9998631717723416; -0.9999999999996705 -0.9999973622773062 0.9999999999973379; 0.1290227495424239 0.9268394270879822 0.9999876146309905; -0.9970702411127442 0.999999999999828 -0.12038832671447605; -0.9738843624150213 -0.9266348813482196 0.23909634478516628; 0.9915669756566893 -0.24316496490212638 -0.7831710128505687; 0.9999999421325981 -0.9999999999875735 0.9164064094466405; 0.9985215712933733 -0.44979908543262387 0.9782084485233461]
6,6518,300,-22.461336650062037,[-0.1672213702596856 -0.9999999999999518 0.9999999999999996; 0.9999999999999998 1.0 0.3921827499988545; 0.9999999999999999 -0.9999999999999993 -0.9999999999999981; 0.9830697792836544 -0.44567714502219025 0.4854965646457034; -0.6408464710531867 0.9999999999999999 -0.993713539544465; 0.04171072364297832 0.9999999999999999 0.9999999999999996; 1.0 -0.9999999914635302 0.9999999999999994; -0.7951818330618311 -0.8542240951696698 -0.052866318237602315; -0.9999999999999918 1.0 0.6844415812446838; -0.9999999999999997 -0.07015624017051912 -0.9999999999999998; 0.999999999999999 0.9999999999999963 -0.9999999999999992; -0.5572564705459097 -1.0 -0.9999999999999999; 0.6900114136574518 -0.17092786652935807 -0.9980835977430315; -0.9999999999999998 -0.5920020095347465 0.9999999999999999]
7,3685,300,-23.544089975866186,[0.8090306371718557 0.1987531683522813 0.8042233877931754; 0.9999999997704329 0.31024882228781014 -0.9999999993307744; -0.9621465213347362 -0.737023850553503 -0.9999999999992354; 0.9999999999658394 -0.7517051077667213 -0.17688488982488224; 0.030307815590412464 -0.9999999814504965 0.9999706160406158; 0.9999999988470958 -0.9999999999999634 0.9999999985594142; 0.8861421622337639 0.9999999991446702 0.9999999997325413; 0.9977931878529576 -0.9999999987633645 -0.999999999206912; -0.9999999997994786 0.9961103544511082 -0.9999930699173829; -0.9823137102759844 -0.9999999996353703 -0.07887969384544749; -0.9999995366786504 -0.0467032515310503 0.9935785876903179; 0.9999999551972178 1.0 -0.3385235061727286; -0.2534045111955581 0.8547883176636258 -0.925241731327726; -0.9547350126174159 1.0 0.9996235962524871]
8,8894,300,-23.724113891799536,[-0.9999999983456911 -0.9999999999999905 -0.9999999999999785; 0.9999987468259164 -0.9999999999999968 -0.9924423707981527; 0.7584894685718807 -0.2650041645446093 -0.8315762779149646; 0.9976350307729472 -0.9998738149567673 0.5900570883424379; -0.9863185047420869 -0.6465489735232041 -0.5246316022454465; 0.9999999999999929 0.9999998092163123 -0.9999999999999999; -0.999589039734077 1.0 0.8113796812990489; -0.05630795372242937 0.9998132572745679 -0.9999045045490584; 0.46842067924044145 0.9981257157694327 0.999999999999998; 0.9975543915085212 0.9904391286524223 0.04863943924126753; -0.9999999999999972 0.9697490412294912 -1.0; 0.9996695328415959 -0.11722097905615068 0.9999999999999987; -0.9966314911332567 -0.20436257678988426 0.9964073366488511; -0.8759903561709415 -0.9999999999999966 0.9999550240144437]
9,5914,300,-22.358160657511842,[0.46237006557928456 -0.9999999999999974 0.503652447207317; 0.0795956324442005 -0.9999999999999593 -0.9999999999999999; 0.9999999999999998 0.028126411311088416 -0.6420171828382154; -0.9999999999999993 -0.9999999999999937 1.0; -0.9965739940174672 0.9999999999999994 -0.9998525837990481; -0.9999999999999997 -0.9999999999999998 -0.2613060367165636; -0.9308669549325068 0.11056237410652642 -0.9999999999999933; 0.9996561384222686 1.0 -0.9999999999999993; 0.9999999999999996 -0.7487225015599054 0.9999999999999991; -0.9999999999999994 0.9999999999999797 0.9936000282978433; -0.712306618763175 0.20429584943447363 0.9999999999999891; 0.9999999643488834 -0.9999999999999986 -0.9999999999999787; 0.9991810717908453 0.9999999999999996 0.28173143602309975; 0.9898774154066197 0.9999748101140765 0.9999999999999997]
10,10000,300,-24.70558374258001,[-0.9731561978000468 -0.1743305221302873 0.9906806298872; -0.9614923231216458 0.8793243721627025 -0.27397157965878277; -0.4594611321991029 -0.9422633130589761 -0.9999263367510935; 0.6742202944072258 0.6286264580029224 -0.999584112924806; 0.5358204061550567 0.9994151241061617 0.9952213129917139; 0.9892805798161769 -0.9999999977185042 0.9999999999999998; 0.9999999999998114 0.6221648718042185 0.9999999999999025; 0.9849544915347918 -0.9990141918524595 0.1730352030315764; -0.999999999998954 -0.9999999996941914 -0.9935854888709941; 0.9999999999985532 0.9999999999999805 -0.9999999999999999; -0.9999999999995638 0.9954176304641039 -0.9999999999071847; 0.9999999999999855 -0.9171876640400397 -0.9999999999999677; -0.9999999999995245 -0.9999999999987066 0.9830978429012562; -0.9999999999994416 0.9999999999992595 0.9999999999999956]
11,5443,300,-23.64436797114783,[-0.10660908174142457 0.9989877347034558 0.6895081759201085; -0.5331649814945559 0.9997406499950112 -0.9999999999999997; 0.9999999999999999 0.9999999999999998 0.9791027130916836; 0.9999999999999999 -0.29858772088545293 -0.9999999999999958; -0.9999999999999992 0.708850448037846 0.9999999999999987; -0.9999999999999999 0.9999999999999989 -0.23696237763443695; 0.7531187639499386 -1.0 0.9862023794323252; -0.7061683848626198 -0.9523109610552113 -0.9999999999999992; 0.9999999999999999 -0.9999999999999998 -0.9780241781719116; 0.9999999999999998 0.9999999999999993 -0.9993104588531736; -0.9999999986641667 -0.9999999999999996 -0.33265720384885705; 0.09911771352356302 0.0409337361315764 0.18574562402316463; 0.9971581548789018 -0.16257458665969798 0.9999999999999993; -0.9999999999999983 -0.9999999999999947 0.9999999999999986]
12,10000,300,-24.804791851876,[-0.9999999996680181 0.9999999999905665 -0.9924313110853951; 0.7859105386211315 0.35591397961751836 -0.9999999999998853; 0.8607958362724591 0.02121012980378784 0.641298111114902; -0.8170479775548491 -0.9999999999997922 -0.9999999999926358; 0.9999999999979542 0.9999999999915589 0.9999999999999847; -0.9999999999963912 -0.9712327005493793 0.3691934687689499; -1.0 0.7466938286301477 0.9890276220153634; -0.99999999993103 0.3324230257209546 -0.9999999999455248; 0.9993326604764684 0.9999999999997697 -0.45679059278339285; 0.6499559752573562 -0.9999999999999788 -0.4086427574132355; 0.9999999999990838 -1.0 0.9999999643101894; 0.9999999999973312 -0.9999999998416683 -0.9999999999915431; -0.3151993020611375 -0.9999999998508884 0.9999999999468405; -0.3812851750691137 0.9999999998403407 0.9744811900788132]
13,8639,300,-23.21844132770392,[-0.2729582794383385 -0.9999999999999972 0.7456687075104048; -0.9999999999999992 0.9999999999999999 -0.9991177883415537; -0.9999999999999992 -0.999999999999999 0.9844714197062451; -0.9999999999999999 -0.9999999999999992 -1.0; 0.9999999999999961 0.9999999999999982 -0.18502651813517357; 1.0 0.9998820088934957 1.0; 0.7844771531311728 -0.9019204763383106 -0.9999999999999998; 0.6518295460810656 0.9999999999999996 -0.9999999999999998; -0.9999999999999966 0.010713681081053927 -0.9610730738627073; -0.2777531981997294 0.9999999999999984 0.6092445248404794; 0.9999999999999976 -0.9999999999999929 -0.22686518123319604; 1.0 -0.8133333612622506 1.0; -0.999999999999977 0.9999999999999994 0.9999999999999999; -0.7210268946303576 -0.03578378399215343 0.9999999999999941]
14,10000,300,-23.035843077027444,[0.9995917136397141 -0.999999999999938 -0.31585749778326205; -0.07865535665138935 -0.6109859555245247 0.9881502574203838; 0.9999999999997576 -0.8657138361433446 -0.9999999999999999; 0.028559760427154357 0.9977140124016106 0.9327328078901829; -0.9999999999999992 -0.9999999999999601 0.9999385677132513; -0.9999999999999962 -0.999999999999831 -0.999999999999739; 1.0 0.9999999999999993 0.9999999999999915; -0.9769215257220718 -0.18428828505972844 -0.9999999999998322; -0.999999846715661 0.999999999999961 -1.0; -1.0 0.9999999999999936 0.7133573136375463; 0.9999999999999739 -0.9999999998396004 0.9999999999999928; -0.9988115234458941 0.016774846005067824 1.0; 0.999339509349312 0.9967882118363545 -0.03094478247572358; 0.9999999999994942 0.9999493419843946 -0.9999999999999933]
15,9615,300,-23.246030849922803,[0.7063595060613452 -0.9999999999999888 -0.49435989473040165; 1.0 0.9999999999999972 -0.34937627579533503; 0.9999999999999972 -0.07310625589644192 -0.780308070344976; 0.9999999999999992 -0.9999999999999983 -0.9999999999999971; -0.9999999999999998 0.9999999999999979 -0.9991775426810139; -0.9999999998834902 0.0483926856690443 -0.9999949910432108; 0.9999999999999998 0.972778750722028 0.9999999999999991; -0.999999999999994 -0.9999999999999998 -0.9619703141798689; 0.9999999999999991 -1.0 1.0; -0.9999999999999999 0.8799289674743465 0.9999999999999993; 0.6759954772676148 0.9999999999999992 -0.9999999999999998; -0.10218474655557991 0.9999999999999997 0.8885558289762644; -0.1174359094003919 -0.9999999999999993 0.9999999999999949; -0.9999999999999994 -0.9999999999999752 0.9574049644222766]
16,7677,300,-23.15724194476418,[0.9999999999999998 -0.7827749985012112 0.9506564769573133; -0.4458239165241023 0.9999999999999927 -0.8224038399657698; 0.9999999999999322 0.9999999999999972 -0.9999999999999993; 0.24822435562930006 -0.9999999999999982 0.9999999999999991; 0.5653173154701643 0.12520655769207567 -0.9972080701256743; 0.4761862519409149 0.9995353878929258 0.9999999999999992; -0.9999998354344273 0.9999999999999992 0.9999999999931599; 0.999999999999999 0.9312292136639576 0.3749678582808776; -0.999999999999996 -0.999999999999981 -0.9144696504053593; -0.9999999999999984 0.391738217134288 -0.9999999999999994; 0.9999999999999996 -0.9999999999999998 -0.9999999996612047; -0.9999999999999998 -0.8266990624790946 0.9999999999999958; -0.999933151299371 0.42007615152620303 0.3775230064429954; -0.062281256688474826 -0.9999999999825111 -0.8944775449334832]
17,1218,300,-25.318842759700185,[-0.9999994754158327 -0.9999999993494065 -0.9998814321247451; 0.999999520246672 0.9999968842987885 -0.9999970568327854; 0.15217765307483952 -1.0 0.9989162332379936; 0.9999794567447532 -0.9767674902376725 0.9999998355427818; 0.9999307694888641 -0.6798164740108027 -0.860859876346598; 0.9994460919702104 0.9993411036545323 0.22191488984104069; 0.34544012139221775 -1.0 -0.999989604304443; -1.0 0.999916557405719 -0.99988040873619; -0.02219972805241772 0.5330068653586824 -0.9912726810607726; 0.9989416379719319 0.9406739396784041 0.999989271389908; -0.9999952195186843 0.9999236314327927 0.2252613961728329; -0.999991232030928 -0.871395742175004 0.9999444321499068; -1.0 -0.44842610497720703 -0.33922221421060084; -0.8030733012111085 0.6199470043931272 0.9999975749005153]
