nPsoRun,n_iter,S,fgbest,optDes
1,3626,300,0.584672174690398,[-0.9999999564827948 -0.9999993155418233 -0.4134115350321958; 0.37375678241880544 0.9999977283296343 -0.44085046911870185; 0.9999999780742063 -0.05450865345392686 0.7059568795910576; -0.9999952655165737 0.9999999998917452 -0.9324000397335914; 0.9999999999468141 0.5592114869274746 -0.9999843834156376; 0.3195735380862706 -0.9999997874992832 0.9999954355696211; 0.9999993682232826 -0.9999999999742579 -0.06927610393952442; -0.9999998527919951 -0.868640697390422 0.999999957631456; 0.5581420649237476 -0.9999989182621276 -0.9999997837921129; 0.7565852498782477 0.9999999906762459 1.0; -0.698187640945845 -0.21012322980154488 -0.9999368347108721; -0.11442169206507623 0.03133820371318302 0.0888551558411976; -0.9999999399752605 0.9999987372451868 0.9999795227879095; -0.3921741450865539 0.23935153207937532 0.35916103519392906]
2,4549,300,0.5360497567406953,[0.997445610108039 -0.006772992627433069 0.0030846505659191796; 1.0 0.9999999988144074 1.0; -1.0 1.0 0.9999999449739826; 0.011591571983389469 -0.9966275924462321 0.0009227339440843936; 0.9999999999996333 1.0 -0.99999999932402; 0.005621815103044223 -0.0038327963376221324 -0.9943305354407042; -0.9999999652347219 -0.999999994282946 0.999999999947748; 0.9999999998862129 -0.9999999999957426 0.9999999628926466; -1.0 -0.9999999847376775 -0.9999999999925083; 0.9999999997225938 -0.9999999941555243 -0.99999999940321; 0.00905323196370549 0.9935557588214707 0.003861801265370913; -0.9999999997186975 0.999999966915988 -0.9999999999697441; -0.9926420231755791 -0.005124787265884863 0.0027330193301695837; 0.013408814758776259 -0.009378903208647923 0.9959067951913004]
3,907,300,0.5741306535032135,[0.9999299163586746 -0.9999973492038697 0.6238539238328873; -0.999975009743605 -0.9999993164192972 -0.36045700792576724; 0.018507944948021906 -0.8246040551629791 -0.8166254372340428; 0.9999911522006675 0.8272308148673359 -0.2878866885377672; 0.20848942231598042 0.9885157958140679 -0.9999813160406584; 0.06858201492748497 -0.024409900816130637 0.0514687489034387; 0.057532153336540416 -0.02329113098362257 0.05094871119862882; -0.5340801945502547 -0.9999926436240377 0.9591623559745309; 0.9999995362362966 -0.8542402362808673 -0.9999492300410374; 1.0 0.4448878849388569 0.9998949858146711; -0.9999892224037146 0.10206987149498585 -0.9998944011683656; -0.9998545968164614 0.9999443795190072 -0.05846672778166566; -0.1823579902388981 0.9999178303838694 0.9999924233683866; -0.9999912942054363 0.10181370821120186 0.9998210282196943]
4,3920,300,0.5803708360938628,[-0.17805271918941473 0.9921605468045909 -0.9999999999998109; 0.00828506979824718 -0.04972219257461079 0.049068587416414206; -0.9999999994534291 -0.9999999974850659 -0.08272675468099543; -0.09356127566960765 -0.9999999999964142 -0.9999999953675591; 0.9999999944464025 0.12291817744073616 0.9999999921255674; 0.9582582249501201 -0.7165935636323979 -0.6228232844511584; -0.7104087623929022 -0.6949249041348391 0.9999999525980375; 0.008548436201914806 -0.052180659204463166 0.045157279103090274; 0.9719316675085308 -0.9999999993490672 0.99452452804; -0.9999999929738602 -0.19643884600363307 -0.9999999943980725; -0.8605177555805011 0.8905119753755486 0.9999999999948195; 0.5670739925210102 0.9999999999993416 0.4806631260752341; 0.9999999990204601 0.8393688951539717 -0.9999985323680526; -0.9999999999986929 0.8911549869891824 -0.17288655899393454]
5,2661,300,0.5885712860990974,[-0.9999999022323282 -0.1436542588224286 0.9999995067776952; 0.9999999060480113 0.9999999841481716 0.999999842655463; -0.04222253044144254 -0.12344149760332189 0.05407453493491595; 0.9999991417045686 -0.9999998407821935 0.8577541492801003; 0.999998692139517 -0.9999991592127637 -0.9999999670772556; -0.05512049587316039 -0.15229328062487563 -0.9990212142794451; -0.9999979461768383 -0.984563497269786 -0.9999999573991187; 0.9945341823445394 0.08926658459405169 0.12588910351306648; -0.7557006930421597 0.9999999882559271 0.8087491061957451; 0.08085571371585414 0.9999999990483276 -0.38137732732393476; -0.9999999517620635 0.9999752123913663 -0.9999989172851844; -0.18996267193630162 -0.9999999856888486 0.9999999637070222; -1.0 -0.9999999769317577 0.1537185251003337; 0.9999999264486326 0.9999999740531506 -0.999999882932624]
6,5282,300,0.6139674039965614,[-0.9999957935360422 0.9999990200469814 -0.553742190004573; -0.07963281062114412 0.43842045552382924 0.4138555940937921; -0.4067818807171667 -0.999994083184222 -1.0; 0.9999997314280104 0.9408560484531806 -0.9999998762263077; 0.6787695889381407 -0.21137384859180453 -0.19993531146718654; 0.9987981285336779 0.9999927407469318 0.5859783615221392; 0.9615281382099685 -0.9999999967990802 0.9281053174138175; 0.9999998195376638 -0.9999953242376508 -0.9999585305165145; -1.0 -0.801213867478018 0.9999906926016431; -0.9999999882190982 -0.3864549188683104 -0.35753854746980973; -0.015503092745561766 -0.9999998101624682 0.2288145170113877; 0.9998085414881055 0.08645865234096309 0.9999999954400212; -0.8516595760608344 0.999999999818254 0.999999998388782; -0.12506253496008352 0.43443601112503577 -0.9999998435722088]
7,5572,300,0.6092749239384542,[-0.4162067075715815 -0.9999999991488904 0.03424824415728707; -0.9999999999541624 -0.9999999999999885 -0.999999993203132; 0.999999999202219 0.2420102685018515 1.0; -0.9999999983100372 1.0 0.9999999947709862; -0.9972635111848568 0.08491870219996037 -0.048276372849430316; -0.877034481109931 -0.655036186317085 0.999999999999639; 0.24823081266656585 0.7106967005973128 -1.0; 1.0 0.9999999915293619 -0.7445651072657671; -0.9999999999702861 0.9999999996105606 -0.999406554639481; 0.0040914294522755214 0.03975008367565296 0.11217029928947696; 0.9999999999999983 -0.7230187177235299 -0.47918325801443407; 0.12300499177885747 -0.6153161151765258 -0.9999999994401779; 0.3857534869396 0.9999999996559278 0.6058631427313139; 0.9145428578066183 -0.9999999978484158 0.9999999996858056]
8,2818,300,0.5886943804372723,[0.03477555273038054 0.13338922236164785 -0.23784003622097066; 0.9999479037503984 0.9999997192863619 -0.9998906996669101; -0.35582593337900387 0.9999999407973705 0.9999867230766388; -0.9999992388626904 -0.6248035777424342 -0.9999974210178354; -1.0 -0.35606428035970794 0.9999153749304092; 0.5243023295359089 0.1827006880563847 -0.05174139368707368; 0.9999999439918562 0.9999999215158581 0.792363599765268; 0.32663849751835566 -0.29598352414696105 0.9999998903541036; 1.0 -0.8241000064031773 -0.9999992974048599; 0.9999942831685756 -0.9999678546328999 0.6999452718096681; -0.11571439392059757 -0.9999999757047311 -0.7870148044690026; -0.6181388877008306 -0.9999975272480311 0.2889516369003563; -0.99999278315996 0.6087782147798877 0.07018381884655352; -0.8277005800135505 0.999999896535621 -0.9999979835957737]
9,5180,300,0.5879060800083253,[-0.9999999832588842 -0.062051585657059934 0.34982651685646654; 0.999999999929624 0.4521267142046917 -0.008346840148778819; 0.13921268604745649 -0.025806931337839054 -0.9999999997688049; -0.5329059958445046 -0.9167355929127448 0.9999999355593608; 0.9999999999982871 -1.0 0.9874770114197695; -0.011538475095430389 -1.0 -0.355138963385352; 0.8324254705196873 0.9999999953233252 -0.9999999954178617; 0.7670367363964196 0.6002078306768608 0.9999999999995116; -0.5145977094754903 0.9999999607597659 -0.4004093586723597; 0.06501426030755082 -0.044531386902467135 0.12761144200658256; -0.999999354627794 0.2905149513779163 -0.9999999715600923; -0.9999999941653104 -0.9999999724302976 -0.814308216527164; -0.7254413481347143 0.9999999983737826 0.9999999999952203; 0.9999999900513417 -0.9794549201136116 -0.9999986648463683]
10,3466,300,0.5772205344757073,[0.9999999809484085 0.027870680947169327 0.9886160623229564; 0.9999999924879632 0.9999999827952896 -0.36338811669095405; -0.22424690266580388 -0.8675605005802594 0.9999999606451491; 0.2674978108412591 0.9999999907054855 0.9328476086497319; -0.04479390756209334 0.021441877447919658 0.021621919427959362; -0.04443148216309162 0.022587835144174312 0.02136407109582075; -0.9955326946103417 0.7643247349024826 -0.3227377390912355; -0.9999981688638766 -0.9908359886633695 0.19610145002244975; 0.9491318789326499 0.055946387235780305 -0.9999990987196274; 0.9999999773693122 -0.9999998637563677 0.3828204489765984; -0.9999999997310731 -0.7233648245785695 -0.999999980854516; -0.26760220613146585 0.9999997515933733 -0.9999995678505119; -0.999999997327484 0.6672022557023828 0.9999994427828258; 0.34875876909052306 -0.9025221823316764 -0.6956594291737821]
