nPsoRun,n_iter,S,fgbest,optDes
1,10000,300,-27.42571269856177,[-0.9823170960956671 0.9999999999910133 0.9999999999999791; 0.9999558685424675 0.9999999999998305 -1.0; -0.9999999999927868 -0.9999999999998461 -0.9721171397949705; -0.999999999999988 -1.0 1.0; 0.9999999999965 0.999999999994992 0.9999999999999942; -0.353096941718933 -0.9152930010237603 1.0; 0.9999999999988739 -0.9999999999987659 -0.9750173184064267; 0.9902493024100236 0.9999999888124634 0.16439188005078154; -0.8608022806984605 1.0 -1.0; -1.0 0.1021495045349815 -0.9998858210206674; 0.9999999995643439 -0.20671457903740104 0.9999999982686967; 0.9999999999980119 -0.9999999999940348 0.9999999967205153; -0.09011801586088188 -0.8766670286971217 -0.9282788316955771; 0.9276364639104178 -0.07464025720085356 -0.892820360656852; -0.9995627208098203 0.9620822002915476 0.41943154066044375]
2,8856,300,-27.096481971445463,[-0.9999999999999256 -0.9885681851286903 -0.9999999999999539; 0.9976643339128201 -0.32473328225143205 -0.9888602473994469; 0.9999999999989683 1.0 -0.9999999999957706; 0.43579232077631425 0.8803506602463832 -0.8697804665051323; -0.5503663215523875 -0.9999999999995477 0.9994086633753102; 0.9999999999999991 -0.9999999999999966 0.9989666290375243; -0.9995325049456423 0.9860998612807743 -0.33210862405992503; -0.28594510041266996 -0.9998755033445186 -0.913050648632048; -0.9226516010935683 -0.8290130354220552 0.12591425995643718; 0.9999999999999964 -0.9999999999999997 -0.9999684498475996; 0.9832825861752036 0.0060576375973135374 0.9938947487326233; -0.9999999999999996 0.9994346239945412 -0.9999999999999977; -0.9999999999999966 -0.00577165127202307 0.9999999993422055; 0.9999999999999973 0.9999999999999983 0.9942481288267976; -0.3109492038964754 0.9999966893060408 1.0]
3,10000,300,-27.12281599747817,[0.9999996894970975 -1.0 0.9999999999999959; 0.999999953230429 -0.8253249097018376 0.07536635954523065; -0.5606266327390313 0.999999999999998 0.9999999999999979; 0.999999999999998 1.0 -0.9999999999999764; 0.1571249424250044 -0.799140749656798 -0.9999999999999997; -0.998871302264065 -0.9999999999999988 -0.017776820310451396; -0.9999999999999971 0.21946171475134535 0.9999999999999999; 1.0 0.9999999999999996 0.9995659945664868; -0.9992675145353092 -0.9999999999999996 0.9999999999999966; -0.9999999999999998 -0.9999999999999956 -0.9999999999999982; -0.47653580982303767 0.9887396990613909 -0.999475734080838; 1.0 -0.9999999999999999 -0.9999999999999968; 0.9999999999996814 -0.06477599218022184 -0.9993566719317741; -1.0 0.9999999999999944 -1.0; 0.9196325120285709 0.069804740595985 0.999999999999997]
4,9687,300,-28.93303140528318,[-0.9999999999997689 -0.9863298149161374 0.9999999998222426; 0.9999999999999989 -0.9999999999993793 0.9999999999999603; 0.9999999999999662 0.9999999999987321 -0.9999999999999719; -0.9999999999240834 0.3660942330404677 0.9999999999971314; 0.44831092329091804 -0.9463178885651153 -0.9999999999999787; -0.3339059138351127 0.9953781095974371 -0.9999877149249825; 0.996820247416727 0.3305211232517785 0.9380582711185826; -0.9924157209022555 -0.9173635495713931 -0.18644534675880908; 0.023501118144623797 -0.9389986849850765 0.7186646292411274; 0.9999999999371003 0.3474272013184884 -0.7053803895541801; -0.9999999999976169 -0.9999999995776097 -0.9999999999999659; 1.0 -0.9999999999674413 -0.4927017135103505; -0.9999999999977126 0.9952877530834031 -0.9999999999999853; 0.9999999998470176 0.9999999999141179 0.9999994754135411; -0.5150468734507587 0.9999999999999974 0.8286348975689548]
5,5187,300,-29.923540838331608,[0.9999999999999989 0.9999999999999976 0.9999999963352941; -0.7458378414559685 -1.0 0.9998075881773607; 0.849498663798539 0.5000991126612536 -0.9999996754836393; -0.9999999999999961 -0.44267671482271875 0.9911233564808145; 0.9999999999999997 -0.9999999999999987 -0.9999999999999993; -0.9999999721239876 0.9999999999999999 0.9999999999999994; -0.1500901067721081 0.9826179185451377 0.81389588742889; -0.9999999999999957 0.9999999999999993 -0.9999999999999992; -0.9999999999999987 -0.9999999999999964 -0.9999999999999983; -0.9999972341197625 0.7743089353378764 -0.6015779329224483; 0.9576251461445893 -0.9999999999999984 0.9999999999999993; 0.8906753149461466 -0.9971252175462225 -0.15835150679432253; 0.8513381824664694 -0.007226699702759497 0.9542343432257929; 0.9999985128074569 0.9999999999999994 -0.40998512372173757; -0.37924173889514046 -0.9847088501833127 -0.9907477281208964]
6,8780,300,-28.75172857732214,[0.9339168602120744 -0.9999999999999984 0.3794728665116163; -0.9999999999999983 0.993986011873487 -0.9999999999999947; -0.9998323220801999 -0.39823044881466063 0.9999999754817159; 0.2982302439318653 0.9415530693666754 0.9323046486609708; -0.9999999999999999 -0.9876662555171446 -0.9309447621604048; 0.9999999999999959 -0.9999999999999987 -0.9999999999999881; 0.9999999999999994 0.9999999999999994 -0.999999999999998; 1.0 0.9999999999999993 0.9999657383972841; -0.2982371972704438 -0.9999999999999938 -0.999746370957595; -0.9466496727875601 0.8202677705249838 -0.064297036622501; -0.14638291185041985 1.0 -0.9999999999999994; 0.9999999999999998 0.10319284657871305 -0.8093708692544226; 0.9999999999999284 -0.769107896041122 0.9999999999999993; -0.9999999999999994 -0.9999999999999977 0.9985157817140866; -0.9999999999999978 0.9999999999999984 0.9999999999999994]
7,10000,300,-28.886022141002172,[-0.9637604826494108 0.9999999999987003 0.9999999999999788; 0.9999999999991146 -0.17581128363940202 -0.9999999999999857; 0.9999940934935991 -0.946044377605166 0.5286586541418355; -0.29213737242937293 -0.37694532542347364 0.9998564312949746; 0.9997428704801601 0.9999999999998781 -0.999999999999919; 0.22797949301211973 -0.998446516695837 -0.999847537658271; -0.9999999999997692 -0.9856580775582446 -0.9999999999999825; 0.9999999999998772 0.28834488367979216 0.9179094543824534; 0.9999579515195077 0.9999999999999991 0.9926755213868567; -0.8736550330521263 -0.997065263371693 0.21427117767971632; -0.9999999999995492 0.39220221261170934 -0.8984933154630835; -0.999976306588419 0.9889497537097564 0.4273025170674153; 0.9999999999989446 -0.9999999999999841 0.9999999999999991; -0.1883217571115022 0.9999999999999905 -0.9823212749638394; -0.9999999999999307 -0.9999999999999712 0.9999999999999954]
8,6702,300,-28.919290804273132,[-1.0 -0.995421824525934 0.9999999999999993; -0.9999998758304558 0.12887987721133282 -0.9141197001873387; -0.9999942159818678 -0.9999999999999999 -0.9999999999999994; 0.9999999999999882 -0.9999999999999994 0.9999999999999999; -0.9921256214439981 -0.9555766966252882 0.05584129750298447; -0.45068879924357075 0.9999999999999984 0.9516521827646859; 0.9999999988644778 -0.9217953313777532 -0.12575331278453772; -0.16936053487268488 -0.9081356652257991 0.999991303214945; 0.9999999999999944 0.9999999999999993 0.9999994526794643; -0.9999999999999983 0.9994743070542491 0.9999999999999999; -0.9995646945791873 0.9999999999999994 -0.9988400759799008; 0.5133052181979292 0.9999988067847051 -0.9935176019339257; 0.8826226945732871 0.4533723531209601 0.9317225494909169; 0.660047504199835 -0.9974614343526376 -0.999999999999994; 0.9999999999999999 0.3707019239392 -0.9999999999999998]
9,10000,300,-28.468129162295934,[-0.9999999999988405 0.9999999999995254 0.9999999999993026; 0.9999999999998418 -1.0 0.999999999985473; 0.25449313695939774 0.9381663244698577 -0.887163311398953; 0.9999999999996769 0.9999999999979491 -0.9999999999768282; -0.9955417382890808 -1.0 -0.37945403348457263; -0.9999999999990025 -0.9999999999981417 1.0; 0.9999999939690756 0.9999999999999872 0.7777708656624969; 0.9999996605647794 -0.3873171176508394 -0.6248066417655478; -0.9809692101474619 0.27575743507746964 0.9494063374258196; -1.0 0.6345261984682913 -0.9999999999997685; -0.64696538603479 -0.9998927903330125 -0.9999999999928202; 0.9421206858562446 0.3235783363506604 0.9998991856564445; -0.999999999999943 0.9973831052129777 -0.42295084577381215; 0.9889120004064771 -0.999999999999607 -0.9999999999994431; 0.4497406569295748 -0.987219228419512 0.7271665089413061]
10,10000,300,-28.49075017273663,[-0.9879822184255797 -0.1795056041169981 -1.0; 0.01993999986901935 0.9999999999995037 -0.9999999999999752; 1.0 -0.1411554329071709 0.9999922115232385; 0.9999999999991723 -0.1722755426184698 -0.9999999999999964; -0.9381181713290448 -0.9999999999999941 -0.14579061079810152; 0.3139782910495789 -0.9999999999988773 -0.9999999999947321; -0.9999999999997327 1.0 -0.5341016859059956; -0.23537018863026168 0.7184306345356969 0.8291230271812082; -0.9999999999999903 -0.3108144335590714 0.9999999999992025; 0.9999712009971764 0.9999999999999662 0.9999999999998633; 0.9999999999985061 -0.9999999999939995 0.033094473903359005; 0.06646498586911634 -0.16283159933288335 -0.08278801274264308; 0.9999999999998281 0.9999999999998043 -0.15147443288604928; -0.9999999999998528 0.9999999999999715 0.9999999999979181; -0.0970523813431866 -0.9999999999999769 0.9999999999999674]
