nPsoRun,n_iter,S,fgbest,optDes
1,6979,300,0.49278519541499616,[-0.9999999999998446 -0.9999999999992315 0.6686858406207713; 0.19224684166753955 0.9999999999946947 0.952361381023143; -0.0003708270413493429 -0.03197741428367643 0.028795032732537508; 0.3793540260572708 -0.9999999999965877 1.0; 0.9999999999795093 0.9999999999084294 -0.13550103681382303; -0.5861909841235002 -0.04080754162363353 -0.1839610286843699; -0.9999999999974727 -0.8150822880716602 -0.9999999998770019; 0.9999999999478529 0.07690409195682263 -0.9999999999747391; 0.9999999999979169 -0.9999999999886551 -0.08008342767701769; 0.23274611725907574 -0.9999999997266639 -0.9999999999856352; 0.045642158612117976 0.9999999978966659 -0.9999999999858589; 0.9999999999999689 0.09081676647208965 0.9999999999996603; -0.9999999999979546 0.5062669769505115 0.9999999999803451; -0.003913740764483893 -0.023521989306491343 0.03410668473104913; -1.0 0.9999999999844766 -0.5935480139804831]
2,1758,300,0.5011371442419006,[0.9998763852572351 0.9998882888846206 0.22843588824786448; -0.04951124772756576 -0.01192790279892269 -0.26445357859151225; -0.999892853444725 -0.9999972594352917 -0.9999443320638548; -0.9998175173825886 0.9999885940054793 0.9998156950317422; 0.9999999472736034 -0.9999939501003403 0.9121536168424571; 0.5783928479823295 0.8854213380399547 -0.9997609403056738; -0.07273586854376775 -1.0 0.24991977594435355; -0.11577477412970932 -0.01773889909647714 0.9999126954719724; 0.5746797326417248 -1.0 -0.9999579039947195; -0.308709560028714 0.999981907612886 0.2849028151460041; -0.9999184320927821 -0.9996297219520772 0.9999833846651105; -0.9998513018268791 0.9292712099585573 -0.9999936378601316; 0.9999953094642683 -0.22157848910635483 -0.4223532799761315; 0.861496852607768 0.4161519885125445 0.9998774604307623; -0.9998469725894875 -0.15962787428975242 0.00360006537062086]
3,2857,300,0.5017443634308913,[-0.9999970096278973 0.99999959359476 -0.3707670950904692; -0.2789316356332242 0.9996695203536012 0.7046039198569393; -0.9999999998994832 0.2539667227294685 1.0; 0.04682902938199888 -0.04866578008876806 -0.04408831333944676; 0.9999977910087617 1.0 1.0; -0.9999999889218765 0.13883692677587556 -0.9999998434811365; 0.2899691785189528 0.999999933753087 -0.999999261994469; -0.30104903415091777 -1.0 -1.0; 0.9999561662086474 0.6490981068076502 -0.4126059975397035; 0.055952706624751956 -0.046159478054591294 -0.05279727904112413; -0.4376991246623486 -1.0 0.9999999955141705; 1.0 -1.0 0.42370090439834246; -0.9999888023570903 -0.8681357382512493 -0.031132113375056943; 0.5687069828818132 -0.09054209505415872 0.9999942946027451; 0.9999999871244977 -0.8317303844119901 -0.9999991766777016]
4,2648,300,0.4474703605829422,[-0.9999999893468718 -0.030911738248655788 0.007735900201527793; 0.004277123506403045 0.9999999600045547 0.015942155487824544; -0.99999985813827 0.9999999889524811 -0.9999999968097466; -0.9999999654795378 -0.999999986532195 -0.9999985169993364; -0.013572657606017268 -0.0007069380771709523 0.9999999497208737; -0.0022770650225531755 0.00333055261679727 -0.0037148981117242114; -0.039682305896026976 0.018666330022268664 -0.9999998902877834; 0.9999999682342076 0.9999998619267052 0.9999996568000797; 0.04775995505635509 -0.9999999444199116 -0.0028989257492130433; 0.9999999929790686 -0.9999932564761527 0.9999993988787701; 0.9999999986275782 -0.9999982291597188 -0.9999993687697977; 0.9999996189419206 0.014007358900757985 -0.01956308439354025; 0.9999898166341504 0.9999999953595636 -0.9999993944647289; -0.9999998268803595 -0.9999996925511465 0.9999999839544814; -0.9999914294339658 0.9999953302912847 0.9999987154627262]
5,1725,300,0.44754712681389414,[0.9999999274935539 -0.9999999189947696 -0.9999999363334966; -0.018952708698563213 0.9999999682607462 0.0356704912136835; 0.9999998104221638 0.9999999853231526 -0.9999999357210752; -0.9999999940175147 -0.9999999979208939 0.9999994329524692; -0.9999999859721438 0.9999999755051373 -0.9999999543667624; 0.9999999192709189 0.9999999107842371 0.9999999959505866; -0.9999999784114655 0.0019954917540211505 -0.05226061849754481; 0.0057532359719679824 0.002005119135703473 0.9999999588577642; 0.001972006343794523 -0.003966242867417027 0.00926051713099553; 0.9999999930356129 -0.014566117222287766 -0.006876868971615711; 0.999999985188003 -0.999999892232175 0.9999999652384121; 0.050506572929249365 0.009768351992311417 -0.9999999974082919; -0.9999999684407797 -0.9999999309818378 -0.9999995261618863; -0.03525618827720741 -0.9999999611354508 0.027754719901723096; -0.9999998722939092 0.9999999291034222 0.9999999944324849]
6,5482,300,0.44756105907627225,[0.015924106742552742 0.9999999898012231 -0.016036488121958386; 0.9999999999989995 0.999999999648303 0.9999999999964327; -0.9999999999962018 -0.9999999999981165 -0.9999999914643545; -0.0024328276698477066 0.05873541136072487 0.9999999999989435; -0.9999999990671683 0.9999995948894924 -0.9999999998584319; 0.9999999961291427 -0.99999999331572 0.999999988405364; 0.000900850376059929 0.00017874559673280172 -0.004016368842707269; -0.013370494817234194 -0.017923576853847007 -0.9999999992766431; -0.9999999999322451 -0.9999999976892665 0.9999999999725633; -0.9999999999996236 -0.011114139025823973 -0.018786457427425476; 0.999999999966951 -0.02769575635503628 -0.029386869985001025; -0.0006367311108533909 -0.9999999999785035 0.061012064744610406; -0.9999997585395496 0.9999999999988032 0.9999999983111864; 0.9999998524356332 0.999999999994856 -0.9999999933929397; 0.9999999999999819 -0.9999997717487465 -0.9999999735053612]
7,4988,300,0.509793844050534,[0.5706120326115551 -0.6280937476145558 0.9999999999994942; 0.9999999999997427 0.09087334752130777 -0.7995203278148212; -0.7465691957905815 0.9999999999953033 0.636421700966557; -0.05685945196596545 -0.003821421962496254 -0.1071884255561861; -0.9999999999994625 -0.8272927038585066 -0.9999999999907154; 0.6051574197676703 0.8446268639723432 0.9999999999963363; -0.999999999977445 0.09088767403041412 0.7321311651740652; -0.06468848390796142 -0.0011671889948124793 -0.07828977724405499; -0.9999999999958635 0.8097605094154503 -0.9999999999958278; 0.9999999999988376 0.9999999999949867 0.022989101569225262; 0.6000260092055583 -0.9999999999900506 -1.0; 0.9999999999968854 -0.9999999999881265 0.2614770395230003; 0.3182922203826936 0.9999999999984907 -0.9999999999614857; -0.4095294288057065 -0.9999999999974596 -0.09807269063306671; -0.9999999999783261 -0.9999999999881823 0.999999999978656]
8,4453,300,0.5048445800978513,[0.16875861697048417 0.9999999684499984 -0.9999998787832229; -0.6213930470694254 0.6190025310156819 0.000210420116726359; -0.48891894102007716 0.9999999812279106 0.99999996747357; -0.9999995382395038 -0.9999999909690778 0.022429246479862323; -0.99999964057848 0.8019876608749213 -0.9999999985209963; -0.08200151507147607 -0.9999999993820868 0.9999999999999948; 0.05279537124579524 -0.11572131075021087 -0.05373097032908201; 0.9999999726918118 0.9999999999707576 0.3620497209843207; 0.7828856405114262 0.23359568458136498 0.9999999406314684; 1.0 -0.9999999477192631 0.581759831018212; -0.7248233417539192 -0.6400215798287703 -0.9999973794550425; 0.05417529555164543 -0.11556144612467238 -0.05601274288590578; 0.9999999398629505 0.27748752786109787 -0.9273152104222375; -0.9999999837679888 0.008056756197285323 0.9999999981279436; 0.7574242212562611 -0.9999999982927281 -0.9999999999998902]
9,6321,300,0.49455597284245917,[-0.9999999983397156 0.9999998890741287 -0.38949027381983353; 0.005144244845063795 0.9999999967677552 -0.999999999997443; 0.9999999963014683 0.9999999999999124 -0.38976331814455917; -0.9999999998828455 -0.004922782927052178 -0.9999999937219383; -1.0 -0.9999999980701172 -0.3896084088749887; 0.9999999996076627 -0.9999999949990221 -0.38997616791389483; -0.9999997919227029 -0.9999999750474414 0.9999999997407572; 0.00144395403202293 -0.0018410053644472588 0.6870079498643747; -0.9999999924112285 0.999999988882776 0.9999999998590772; 0.9999999999768987 0.00040245853039429496 -0.9999999961654792; 0.9999986342971072 0.9999999791217803 0.9999999999959964; -0.00035967355325630375 -0.9999999996853218 -0.9999999928678505; -0.002288291947381271 -0.0013332853798381189 0.1331629911817344; 0.9999999949958787 -0.9999999969141059 0.9999999999157405; 0.0006943792506268805 -0.003640165478464156 0.12907337762105647]
10,4939,300,0.44740324399680453,[0.0032604475317585787 0.02554902734200811 -0.9999999999999566; 0.0039370176193492265 0.01534941130840588 0.9999999999557483; 0.0002881185086796811 0.0029984499737202475 0.0023595374803117115; 0.9999999999997325 -0.0286856948285829 -0.02100404736983734; 0.9999999999312347 0.999999999991032 0.9999999999697503; -0.01287281868114621 -0.9999999999991155 0.01671153705288628; -0.9999999999986291 -0.01061575442104252 -0.021442755360706032; -0.9999999999366813 -0.9999999990577435 -0.9999999998787397; 0.006315903233264488 0.9999999999968088 0.027731767613568686; -0.9999999999998512 0.9999999999470723 0.999999999994977; 0.9999999998881615 0.9999999999518722 -0.9999999999991356; 0.9999999999961128 -0.9999999999999234 0.9999999999844091; -0.9999999999987894 0.999999999999985 -0.9999999999917064; -0.9999999999957918 -0.9999999999718229 0.9999999999690506; 0.9999999999946931 -0.9999999999969165 -0.9999999999999963]
