nPsoRun,n_iter,S,fgbest,optDes
1,10000,300,-31.891544143413917,[0.9630142628280883 -0.24577706106886762 0.43022380100020885; -0.9729478406450169 0.0433707698149271 -0.9999999999999725; -0.9999999920084587 0.3790488753100811 0.9975620673867234; 0.32005948413968266 0.9993995898590478 -0.8412531873644018; -0.9999999999913601 0.9999999999999978 -0.9652987330852875; 0.14732942840142643 -0.9952972631747983 0.9999999999622885; -0.6194537730626348 -0.9999999999995125 -0.9999999999659593; 0.9999999999999146 0.9999999998375818 0.5622505714537839; 0.999999999999483 -0.9999999999917133 -0.9999999973894366; 0.999999999999916 -0.9999999999653518 0.9999999999972238; 0.9999999999916777 0.9999999999989202 -0.9999999999774042; -0.9857197969034954 0.9999999999920347 0.4862207512495368; 0.8697449156658149 -0.531394548948503 -0.9999998801996066; 0.97728132761845 0.9999999999986926 0.9999999999975309; -0.9999999999317039 -0.999999999999999 0.999999999991725; -0.9718957482718225 -0.8512477202108342 0.050329343674861374]
2,10000,300,-32.76302309687547,[0.2163979536266125 -0.9999999897367094 0.9126449927388571; -0.999999999942023 -0.9999999999930793 -0.9999999999951238; -0.9999999424382493 0.9795976326927752 -0.15936139365838978; -0.9947343168220931 -0.2248704467150631 0.9999936496072143; 0.8337951225829923 -0.9961292292930839 -0.41065683769827005; 0.9999999999992306 -0.9999999999494704 -0.9999999719905103; -0.9999999999999993 0.9999999999057162 0.9999999997022285; 0.7902518038402193 0.5962919209952265 -1.0; 0.9999999976100513 0.9999995976785996 0.9246838954376613; 0.08246795665500672 0.9400557105994679 0.933896412602481; -0.9997828022976973 -0.9999999950453289 0.5182498474652875; -0.9999157551636704 0.99999999995923 -0.9999999999960617; 0.9999999941860801 0.11557378107788219 0.9183125890843895; -0.8980353577121167 -0.41378007652564763 -0.9661749325510945; 0.999999999985994 -0.9999999999999889 0.9999999999999964; 0.9999999999862866 0.99999999999252 -0.9999997089475711]
3,5147,300,-32.080857099456985,[0.9999882703368359 0.93856039875676 0.33621124685410564; -0.21167611268061723 0.9999997706073511 0.9999816686958297; 0.9999999064936071 0.9999880784774369 -0.9999993332506923; 0.6729031758785564 -0.49513256921047216 -0.9998927439443918; -0.9999999928058904 -0.09736881725742366 0.9997701624110067; 0.9999994984543208 0.9143617428991614 0.9999863579559858; 0.9918687544080202 -0.999986615029086 0.9999969390933419; -0.9952950386981676 -0.9999840095513322 1.0; 0.9999999401245101 -0.9999999786946604 -1.0; -0.9999715322200569 -0.9999989586112861 -1.0; -0.9242861948740012 -0.9999966736598411 -0.2947387416738702; 0.24628724789973852 0.9503746210444679 -0.9996316166879482; -0.9999995477052719 0.9999998462095436 0.9999999893942106; -0.9999999928176215 0.9999680400925294 -0.9971897481928844; -0.9988174314258914 0.12570056762439732 -0.9999999919245847; 0.9999826527427451 -1.0 0.4290551596845498]
4,4828,300,-32.67491355770465,[-0.572615581989169 0.6364404532245941 -0.958641406687742; 0.9999999999999998 -0.9999758901393487 -0.33288333446750606; -0.9999999999999987 -0.9999999999999937 -0.9999999999999926; 0.9999999999999967 0.9998721384862299 -0.9999999999999927; 0.9999999999999976 -0.9999999999999987 0.9999999999999999; -0.999983084040906 0.986159089056085 0.9999999999999973; 0.9248989958789245 0.9999999999999972 -0.08517101639131895; 0.997629615725638 0.08349791416288169 0.9472282594387504; -0.9999999999999853 -0.9398925834289141 -0.10451479214459139; -0.998058670518819 0.9999893831917636 0.48236053077582586; 0.01229909891173091 -0.9986944556829257 -0.9999999999999953; 0.9976418518939877 0.06277713985634556 -0.9999999999992372; -0.9999999999999976 -0.9999999999999991 0.9999999999999993; -0.9999999999999993 0.9999999999999984 -0.9999999999999994; 1.0 0.999999999999999 0.9999999999999987; -0.11242514936669892 -0.9889760203904182 0.8925070449435254]
5,10000,300,-31.950091412652135,[-0.9999999996821146 -0.9987626983422093 0.9999999999986415; -0.20790102824755172 0.865476417158321 -0.9751986129067928; 0.9243868949209191 0.05016295503252439 -0.9935089659713351; -0.06171272173668724 -0.9999993958690284 -0.914979708404513; 0.9999999999994394 -0.9573626097225414 0.9999641578627044; 0.9999999999997389 0.9999999999999993 0.45913626193004564; -0.9999999999963691 0.9999999992365894 0.3708523896298605; 0.07833083952121983 -0.14167585177706987 -0.09068092689850989; 0.5657583655843685 0.714346120766298 0.9999999999999907; -0.99999999999595 -0.9827690624216732 0.32155215869593556; 0.9999999999999989 0.9999999999998411 -0.99999999999981; -0.9999999999999991 0.36684252167071035 -0.9999999999789008; -0.9975947433162741 0.9997464576989761 0.9999999999999973; 0.9999999999991709 -0.9999999999996412 -0.9999918381115948; 0.5171115640950775 -0.9946101732086412 0.9999999998445885; -0.9999999999999865 -0.9682171918317011 -0.9999999999999352]
6,7099,300,-32.31009825939354,[0.9986115623511385 -1.0 0.9999999999999958; -0.19465641309461196 0.5366866999643698 -0.9998315307624525; 0.922113467041848 0.9080054689968149 -0.3100455642327415; -0.3317324728850889 -0.6183964371500592 0.9933807594313545; 0.9999999999999998 -0.5323978890133396 -0.9999999999999992; 0.999999999999999 -0.35897394096703417 0.9654606678839559; 0.7286552555676015 -1.0 -0.6928944784176464; -1.0 0.9590015408940682 -0.18788643801227015; -0.9996554299035714 -0.9827899871604096 -0.41158525508045496; 0.9565667625678225 0.9999999999999992 0.9999999999999998; -0.9999726616338048 0.3349936651886086 1.0; -0.2653928814900231 0.9999982453599213 0.9999999999999996; -1.0 -0.9999999999999978 -0.9999999999999968; 0.9999999999999994 0.999999999999999 -0.9999999999999986; -0.9999999999999983 0.9999999999999994 -0.9999999999999999; -1.0 -0.9999999999999549 0.999999999999998]
7,8064,300,-30.478621294982474,[-0.9999999999153599 -0.9999999999999984 -0.9738927990787868; -0.9999999999999981 -0.9999999999999986 0.9512136334347436; -0.9705668089498791 -0.12734116674127105 0.9990050026159091; 0.9999999999999996 -0.949844790884496 1.0; 0.13784740724744166 0.059383161137541336 -0.4541873637223351; 0.12050615575004797 -0.9999971692877561 0.9999657660979163; 0.9530602181862602 0.9842496332724991 0.242715769914972; 0.9999999999999953 -0.99995609084704 -0.37945311264541975; -0.8541848612626894 0.9994665502999281 0.11369271802097639; 0.9789842432276135 -0.9999999999999046 -1.0; 0.9999999999999998 0.9999999999999999 -0.9999999999999999; 0.12762114434431557 0.9579537695340211 -0.9999192358253546; -0.9999999999999993 0.9999999999999982 -0.9999999999999986; 0.9999999999999991 0.9698322910184644 1.0; -0.9913977540254748 -0.4403598023124379 -0.9999999999886614; -0.72816756155001 0.9999999999999986 0.9999999999998865]
8,10000,300,-31.694055387970156,[-0.999999999994286 -0.942865733110174 0.4283959460119539; 0.9999999998898101 0.9999999999995669 -0.9438850753852643; 0.9999999999735311 -0.9999999999975252 0.9999999999999702; 0.954514401003314 -0.9384003239929609 0.08702697795170652; 0.9058078081867508 0.2444391865551997 0.9655766422441937; -0.9495079717603999 0.9999997592692044 0.5594487702698919; -0.9999998256050932 0.19042986579957602 -0.9973641292500652; -0.9999999999580449 0.9999999999851242 -0.9999999999999905; 0.38383009172459515 0.9997439617432728 0.5174374188752893; -0.999999999999755 -0.9999999999587297 -0.9999999861663186; 0.9999999999996199 -0.9989578500124888 -0.9999999999994691; 0.5117370140535135 0.9999999946770252 -0.9999999999919882; 0.9999999999997986 0.9999999999977037 0.9999999999999166; -0.01972906189582143 -0.9423639163868199 -0.999999999949571; -0.37117156504879845 -0.9814033227187572 1.0; -0.9999999987756468 0.9397533408984171 0.9999999999999947]
9,7838,300,-29.23421687444825,[1.0 0.9999999999999268 0.9999999999999774; -0.1336089695237807 0.9997377506224677 0.999983842666556; -0.9999999998647982 -0.9999999998936022 0.9999749236684994; -0.9999999999999981 -0.290534361551672 -0.9999999033134503; 0.9995104237368418 -0.9893464741192717 -0.22477067651996058; 0.99999999999968 0.6718568943606175 -0.9999999999961038; 0.8604820009140269 1.0 -0.09310706213534388; -0.017416640790279898 -0.15495328948902914 1.0; -0.9999999998955698 0.9999999999856629 0.9998258764008344; -0.9999999999988626 -0.5008908469353265 0.9999999075445458; 0.9999154589906162 -0.9999999999946159 -0.9999999999986525; -0.69581602890422 -0.9999999999998638 -1.0; -1.0 0.9999999999522737 -0.9999999999999901; 0.022265580815996795 0.9999999999324561 -0.9999535834529679; 0.9999999999942579 0.0005935462468557876 0.9998770888764704; 0.9999999999945489 -0.9999999999997532 0.9999999999972847]
10,5417,300,-29.720233918947947,[-0.9963787478938003 0.5982714371410547 0.9999999999872448; 0.40824850657911693 0.9999999999999234 0.9999999998962992; 0.9999999999994021 0.002584940280853362 -0.9999999999995097; 0.978275591050776 -0.9999999999999882 0.29227327362707406; -0.9999999999980371 -0.9999999999999583 0.9999999999998171; -0.999999999992588 0.16143123238351728 -0.9872560322079174; -1.0 -0.9916207029884127 0.14791366596574915; -0.6947060775310392 -0.9997309135503176 -0.9999999999993135; -0.9999999999999972 0.9999999999996643 0.1039446763270636; -0.37112884923078865 0.9999999999998639 -0.9999999999999908; -0.1327681269307445 -0.32337889439521306 0.5893318954937748; 0.9999999999996597 -0.9452881857231585 0.9999999999936166; 0.915750175028921 -0.9999999999995554 -0.9840040919344389; 0.9999999999996478 0.583314147452002 0.9999999999999966; 0.7239993763788884 0.5461057578790679 -0.21769598750674896; 0.9999999999999587 0.9999999999965296 -0.9999999999893552]
