nPsoRun,n_iter,S,fgbest,optDes
1,2537,300,0.4202181737172028,[-0.008399985197805675 -0.05029720503193557 -0.9999999556329207; 0.015166261448975166 0.002721373528225094 0.0014693495489258356; 0.9999993105200428 0.9999996389022552 -0.9999998695906556; -0.9999998053826846 -0.9999999813711172 -0.9999987880901795; 6.942768644758084e-5 -0.9999994092842246 0.07860104590920768; 0.99999996680981 0.9999999212973822 0.9999998781269908; -0.999999889754873 -0.9999999311641118 0.9999999995057519; -0.9999997736300853 -0.0016174411031814782 -0.018113180384386723; -0.9999999899613681 0.999999836733692 0.9999947806713477; 0.9999995894828287 0.009257309425684536 -0.045804858318615915; 0.9999998689198649 -0.9999995066369803 -0.9999999161374343; -0.01199086864575079 0.9999998731365831 -0.01585603963744925; -0.9999999053741214 0.9999997836714964 -0.9999999879853972; -0.01835236791659616 -0.011907026458921671 -0.007572472486336865; 1.0 -0.9999992364671817 0.9999991823026825; 0.018944999773574393 0.044577540172299965 0.9999999745488398]
2,4419,300,0.42633224407311976,[-0.9999999999043228 -0.999999999994807 0.99999999995785; 0.9999999999999368 0.999999999993316 0.9999999999547188; -0.9999999999999677 -0.9999999999878886 -0.9999999999641276; 0.9999999999974912 -0.9999999999990582 0.9999999999976106; -0.009176319574813073 0.9999999999891537 -0.046079770912740764; 0.9999999999727693 -0.0264678843799513 -0.17286374656497774; -0.028694715366202248 0.010004740864691119 -0.999999999998917; 0.9999999999987378 -0.9999999999466559 -0.999999999998669; -0.9999999999752697 0.9999999999618423 0.9999999999778355; 0.959700860157289 0.017354829208019035 0.998868449107771; 0.9999999999853444 0.9999999999443853 -0.9999999999865633; -0.016871977164651646 -0.009937285769698257 0.028157885856411123; -0.9999999999986092 0.015168223600777844 -0.07821041040177486; -0.07137905044461006 -0.999999999991988 -0.050811420967031534; -0.2342043755897778 0.008972461049828757 0.9999999999973389; -1.0 0.9999999999447227 -0.9999999999791411]
3,3256,300,0.4202633578496896,[0.5547232094791649 -0.9999999999943543 0.9999999999827414; -0.05346397444416281 -0.06522493959717782 0.05407068579676896; -0.9999999999707777 -0.9999999999740667 -0.5367597685029094; -0.050766420944049866 -0.06583160106822353 0.060293560964132575; 0.9999999999843437 -0.9999999996608745 -0.23181538391361278; 0.999999999851185 0.2963157033002439 0.9999999999909628; -0.9999999999950436 -0.9999999999653679 0.9999999999966782; 0.12136176877010085 0.9999999999929032 -0.9999999999652321; -0.9999999982978447 0.9999999999981143 -0.16746696117354432; 0.9999999999518111 0.9999999999171889 -0.1811922635743228; 0.21762641902242816 -0.9999925103343231 -0.9999999999987617; -0.9999999999474903 0.4411782052859124 0.9999999999990624; -0.04850659831891675 -0.06490399080798545 0.059079236148927225; 0.16736376380410728 0.999999999995824 0.9992279075561922; 0.9999999999957223 0.17968772543044956 -0.9999999999995483; -0.999999999997564 0.277834328982148 -0.9999999999804873]
4,2981,300,0.4264719384028363,[-0.9999999993010096 -0.9999999976551489 -0.999999977718358; 1.6642007908720524e-5 0.9999999983512105 0.07877684495138913; 0.9999999994224457 0.03133310378841107 0.041768389105028975; 0.9999999975076299 0.9999999856024381 0.9999999983427181; -0.9980394369578588 -0.007477735413994942 -0.9996064358776401; -0.9999999999234656 -0.05756225502857564 0.18851489631102156; -0.9999999900723304 -0.9999999907519727 0.9999999996698644; 0.9999999923210524 0.9999999998725355 -1.0; 0.03652672917180661 0.006413223997704552 0.9999999997092677; -0.9999999346466033 1.0 -0.9999999993092441; -0.017304863929126696 0.007708995441369943 -0.020286453825857347; 0.999999998068441 -0.9999999965021333 -0.9999999947346203; 0.11800906392963555 -1.0 0.03596290282601844; -0.9999999948675363 0.9999997031545043 0.9999999913554086; 0.9999999984119766 -1.0 0.9999999994426565; 0.1906905274699683 0.030988026031938152 -0.9999999952237918]
5,4662,300,0.4231650407822957,[0.6460567789516876 -0.9999999999846166 -0.9999999898193282; -0.9758091025210592 -0.999999940099052 -0.8797828316834853; -0.053751746765934555 -0.07888171497026604 -0.025714788002471102; 0.9999990892839694 -1.0 0.13918381120046144; -0.9999996135966958 -0.9999973851546472 0.7215201751094564; -0.044991028221682515 -0.07973821421951506 -0.023337430807938164; 0.9999999994655487 0.12166596945283971 0.9999999999950484; 0.009652606500285252 0.9999999983558208 -0.9999999922743221; -0.049369455507743853 -0.08311012483483751 -0.03211135837139519; -0.9999999989863588 0.43456028466190033 0.999999985126851; -0.9999740608674612 0.9999902861299996 -0.06507674713946085; 0.1785199747738592 0.9999999990394088 0.9999980332574521; 0.9999997329208208 0.3858461592837536 -0.999999998037033; 0.2576849878556741 -0.9999980753913008 0.9999999092671231; 0.9999929663880492 0.9999991777467895 0.15585656369784892; -0.9999998776564953 0.24853453491277572 -0.9999989933829991]
6,2964,300,0.42208735060294006,[0.0748039868613126 -0.036805119049031144 0.006246573255888984; 0.015198309233442982 0.006564993517936008 0.9999999999993726; 0.021776348595879392 0.04240932543061161 -0.9999999999999263; -0.8156388505537693 0.19787804254208802 -0.006159901782873033; -0.9999999999982491 -0.9999999999957844 0.9999999999997202; 0.9999999999998042 0.999999999999653 0.9999999999990754; 0.9999999999997183 -0.03360796456452918 -0.008430792237799037; -1.0 -0.13764986045412225 -0.013272740049399864; 0.03554425381883083 0.9999999999981983 0.029997793479132957; -0.9999999999967712 -0.9999999999979559 -0.9999999999999892; 0.9999999999970248 -0.999999999999332 0.9999999999986048; -0.006403016344088111 -0.9999999999996181 -0.0046033726012763435; 0.9999999999981223 -1.0 -1.0; -0.9999999999983892 0.9999999999990158 -0.9999999999994605; 0.9999999999997634 0.9999999999998972 -0.9999999999996788; -0.9999999999992993 0.9999999999999456 0.9999999999999072]
7,4989,300,0.42291651226984894,[0.06345788451350078 0.9999999968245469 -0.9999999999914805; 0.8559389355066472 -0.999999988738356 0.9999999991124673; 0.0018203445137909434 -0.0756454675233196 0.07368417243008524; 1.0 0.5096505540699344 1.0; -0.9999999993721812 0.3259503527551912 -1.0; 1.0 -0.999999999981163 -0.27774732713415207; -1.0 0.99999999280698 -0.11586239985352519; 0.9999999970867313 0.05717042586260769 -0.9999998795453473; -0.9999999426920523 0.2444905896569502 0.9999999973079523; -0.11947774640969912 0.9999999999895844 0.9999909864155535; 0.0705405248836155 -0.9998151819036643 -0.99999999893266; -0.00358784440124523 -0.07400879655419926 0.07240223625703157; -0.7995650794180775 -0.9999999999883679 0.9999999328382588; -0.9999999464367841 -0.9999999989241289 -0.5234663032855241; 1.0 1.0 -0.28957228881839914; -0.004015815449864556 -0.07272175704101053 0.07313570441228885]
8,3061,300,0.42632753335965573,[-0.02962408254497576 0.0013038131434419753 0.025359485113093994; -1.0 0.017347991174819232 -0.21064530669811207; -0.9997624890374981 0.01897958341631466 0.9935026417988339; 0.16793594310767743 -0.017362728309011435 0.9999999999878493; 1.0 -0.9999999999999828 -0.9999999999999999; 0.07568548719775496 -0.9999999999999992 -0.0423381121432995; -0.9999999999942548 -0.9999999999999136 -1.0; 1.0 -0.9999999999999842 0.9999999999994283; 0.08432746579193838 0.9999999999974132 -0.023216844477754406; 0.020533397665122802 -0.009107562907455359 -0.9999999999965993; 1.0 0.9999999999968444 0.9999999999992832; -0.9999999999994916 1.0 0.9999999999958498; -1.0 0.9999999999999288 -0.9999999999998662; 0.9999999999999528 0.012340519065827817 -0.056320072626636984; -0.9999999999885059 -1.0 0.9999999999397802; 0.9999999999958428 0.9999999999877001 -0.999999999998514]
9,4981,300,0.42173694053366345,[-0.29956041178581955 0.9999999976266214 0.999999999951185; 0.06783471005934313 -0.05579715406638524 0.022552908714526056; 0.9996194708459999 0.9999999750400284 -0.0975759620152092; -0.9999999899839096 0.15366713195270693 0.999999999961763; -0.3601000744522302 -0.9999999997895743 1.0; 0.06540712732144252 -0.055593654446929805 0.015039020316903504; 0.06906062452923267 -0.057890710665638494 0.022800686321311728; -0.1522771760553162 0.9999999994181961 -0.9999999957543755; 0.9999999999998734 0.5151989583530954 0.9999999840728487; 0.9999999306971524 -0.999999997984693 0.8535590277991564; -1.0 0.99999999999998 -0.12723332707419832; 1.0 0.3090490654476579 -0.9999999929430463; 0.9999999263259872 -0.999999953019018 -0.693080605661243; -0.3855843246402806 -0.999999992184784 -0.9999999999771589; -0.9999999997659976 -0.9969994924980203 -0.006626725964582836; -0.9999999999980096 0.15851952076296807 -0.9999999733423186]
10,3201,300,0.4536873962050846,[-0.9999998081829533 0.9999999991263039 -0.16628046873789998; 0.9981947309252127 -0.9978804261852465 -0.9999999688621368; 0.9999999635557903 -1.0 0.99999996038889; -0.9999999714193729 -1.0 -1.0; -0.6974574142091383 0.9999999764311656 0.9999999980187168; -0.9999999692771783 0.14946925904806313 -0.9999999656945677; -0.9999994647609424 -0.12108595097619801 0.5138783687457671; 0.9999999876085105 0.9999999870645104 0.40911307321152396; -0.14046284835617914 1.0 -0.9999999861785782; 1.0 -0.7547518826428172 -0.02782722669505206; -0.09199304006334198 -0.9999999461729759 -0.08021079312717691; 0.6241533329956531 0.4611148219012422 0.9999999927148749; 0.07156570441546801 -0.08689315175920113 -0.4231883214126772; -0.7930506254873767 -1.0 0.999999981922073; 0.017648725334539 0.018264996925028257 0.029529551761687554; 0.9999999030234868 0.8226926328448286 -0.9127473307451821]
